Date,Open,High,Low,Close,Volume
29-Nov-16,269.80,270.70,260.90,267.80,7008855
28-Nov-16,295.30,302.00,273.20,274.80,10219774
25-Nov-16,288.50,290.45,286.10,286.10,1750397
24-Nov-16,288.20,289.70,286.80,288.40,2075150
23-Nov-16,288.40,290.64,286.90,287.80,3224631
22-Nov-16,286.00,289.00,284.50,288.20,3367388
21-Nov-16,285.30,286.90,283.20,284.60,2662668
18-Nov-16,287.60,291.00,283.10,286.00,3678780
17-Nov-16,289.00,290.10,287.40,288.00,3464610
16-Nov-16,295.60,296.00,288.40,289.00,2939622
15-Nov-16,289.90,299.40,289.90,295.40,3452694
14-Nov-16,291.70,293.70,288.60,289.00,5735548
11-Nov-16,309.80,310.00,286.90,288.40,7092838
10-Nov-16,313.90,324.70,310.10,310.20,4565909
9-Nov-16,300.60,311.60,298.88,310.20,3715803
8-Nov-16,305.90,312.20,305.70,311.30,2005910
7-Nov-16,308.00,311.80,300.10,306.50,4019182
4-Nov-16,306.90,306.90,298.70,304.60,3222305
3-Nov-16,305.00,316.50,305.00,307.00,4865295
2-Nov-16,314.30,315.04,305.20,306.00,3330652
1-Nov-16,321.20,321.20,315.70,316.10,1848960
31-Oct-16,322.80,322.80,319.70,320.20,2089872
28-Oct-16,318.00,323.50,315.00,322.90,2895523
27-Oct-16,317.20,319.20,314.30,318.20,3125632
26-Oct-16,320.30,321.70,314.60,317.10,3038982
25-Oct-16,324.40,324.40,319.70,320.10,2246893
24-Oct-16,323.70,325.40,319.92,322.40,1984539
21-Oct-16,323.80,324.30,321.00,321.50,1587881
20-Oct-16,326.00,328.50,322.60,323.80,2825852
19-Oct-16,329.80,332.40,326.00,329.40,2511034
18-Oct-16,322.50,329.80,322.50,329.00,1970890
17-Oct-16,324.50,328.00,319.70,320.70,2300116
14-Oct-16,326.80,328.20,325.30,325.30,2792166
13-Oct-16,335.30,336.00,324.80,325.50,2743444
12-Oct-16,339.50,341.80,336.10,338.00,2253360
11-Oct-16,342.20,345.30,339.20,340.50,2011756
10-Oct-16,342.50,343.00,337.70,340.80,2248670
7-Oct-16,339.90,344.80,336.32,340.40,3349147
6-Oct-16,344.20,344.20,337.80,337.80,3853393
5-Oct-16,348.80,350.80,344.50,348.60,3088050
4-Oct-16,344.90,354.40,341.02,348.40,4062692
