Date,Open,High,Low,Close,Volume
29-Nov-16,404.20,415.70,403.90,407.70,1531061
28-Nov-16,406.90,410.40,395.50,406.70,1222980
25-Nov-16,425.60,425.60,408.50,409.70,694141
24-Nov-16,426.50,431.60,418.70,421.20,959986
23-Nov-16,444.00,444.00,429.10,433.00,1119956
22-Nov-16,435.90,446.90,430.60,434.40,1470328
21-Nov-16,420.00,430.90,417.48,429.70,1677363
18-Nov-16,434.90,438.50,419.60,433.20,1468438
17-Nov-16,440.90,443.30,435.80,437.40,1005055
16-Nov-16,452.70,453.60,437.80,440.50,1358063
15-Nov-16,435.20,453.20,426.50,450.30,1636004
14-Nov-16,431.20,436.20,414.90,420.00,1405269
11-Nov-16,454.70,454.70,422.60,425.40,1773020
10-Nov-16,433.90,458.40,428.20,450.70,2469066
9-Nov-16,415.40,429.10,405.07,428.40,1771556
8-Nov-16,427.70,427.70,406.80,414.60,1309805
7-Nov-16,420.70,426.30,416.40,419.40,1303924
4-Nov-16,420.00,425.20,406.10,414.10,1649068
3-Nov-16,420.00,431.50,417.46,419.70,2105558
2-Nov-16,432.40,433.40,413.00,420.00,2912375
1-Nov-16,435.30,448.20,428.40,437.50,2173076
31-Oct-16,444.90,454.30,442.35,447.20,3320881
28-Oct-16,455.60,483.42,436.72,452.00,3463569
27-Oct-16,530.00,530.00,452.10,465.90,7358449
26-Oct-16,585.50,589.66,569.10,585.50,1294695
25-Oct-16,597.50,598.50,583.50,591.00,1305541
24-Oct-16,601.50,601.50,590.68,594.50,1061281
21-Oct-16,602.00,605.00,588.50,600.00,1133017
20-Oct-16,600.00,606.90,591.00,605.00,1188161
19-Oct-16,594.00,601.00,582.00,597.00,1655158
18-Oct-16,596.00,603.50,590.10,592.50,1236861
17-Oct-16,610.50,610.50,590.50,593.50,1384070
14-Oct-16,607.50,616.00,603.00,613.00,909408
13-Oct-16,596.50,609.50,591.50,605.00,1300983
12-Oct-16,613.50,618.00,599.00,603.00,1856046
11-Oct-16,624.50,631.00,612.00,615.50,1560133
10-Oct-16,605.00,622.00,595.50,619.50,1750560
7-Oct-16,597.00,620.50,588.03,608.50,2858343
6-Oct-16,583.50,597.50,575.50,592.50,1843415
5-Oct-16,592.50,598.50,579.00,586.00,1586258
4-Oct-16,582.00,599.50,581.00,586.50,1961946
3-Oct-16,561.50,585.18,561.50,576.50,1134192
30-Sep-16,558.50,582.50,556.00,571.50,2037471
29-Sep-16,582.00,591.00,547.82,568.50,2061933
28-Sep-16,545.00,559.00,539.50,542.50,1455551
27-Sep-16,563.00,565.50,541.50,545.00,1286119
26-Sep-16,557.00,565.00,545.50,560.00,1009061
23-Sep-16,566.00,574.00,554.00,567.00,1043422
22-Sep-16,553.00,576.50,553.00,569.50,1044666
21-Sep-16,545.00,551.50,541.00,550.00,1309705
20-Sep-16,540.00,542.44,529.20,538.50,1869520
19-Sep-16,538.00,548.00,538.00,543.00,1072601
16-Sep-16,543.50,548.00,533.00,535.00,3710922
15-Sep-16,540.50,547.00,528.00,547.00,1771850
14-Sep-16,538.50,549.00,531.20,542.50,1527124
13-Sep-16,551.00,553.00,527.00,531.00,1969628
12-Sep-16,563.00,567.50,541.00,553.50,1765880
9-Sep-16,582.00,588.50,574.50,576.00,1446026
8-Sep-16,574.00,590.00,569.50,585.50,1390456
7-Sep-16,566.00,575.19,564.37,570.00,1523115
6-Sep-16,584.50,592.00,566.50,567.50,1340123
5-Sep-16,581.50,596.00,574.00,586.50,1214999
2-Sep-16,561.50,584.50,555.50,582.50,2489231
1-Sep-16,538.50,560.00,530.00,544.50,1673990
31-Aug-16,551.50,556.00,540.00,541.00,1477587
30-Aug-16,564.00,570.20,553.00,557.00,1460486
26-Aug-16,550.00,579.50,544.00,572.50,1914069
25-Aug-16,537.50,541.00,528.00,537.00,732218
24-Aug-16,549.00,553.50,540.50,543.50,1177463
23-Aug-16,545.00,556.50,538.00,554.50,924700
22-Aug-16,550.00,556.81,536.50,540.22,794579
19-Aug-16,542.00,557.50,532.55,551.00,1185342
18-Aug-16,528.50,543.76,523.98,540.50,824002
17-Aug-16,528.00,533.20,518.50,527.00,1632041
16-Aug-16,518.00,564.00,513.00,531.00,1795220
15-Aug-16,523.50,528.50,505.50,517.50,1097785
12-Aug-16,510.50,527.00,510.50,523.00,1677294
11-Aug-16,505.50,508.00,490.00,507.00,1692920
10-Aug-16,517.50,517.50,500.50,502.50,1615072
9-Aug-16,460.00,535.50,449.15,521.20,3206102
8-Aug-16,459.90,473.00,456.74,466.40,1254363
5-Aug-16,444.30,462.55,440.60,460.40,1561400
4-Aug-16,433.50,456.40,433.50,440.40,1231676
3-Aug-16,417.60,441.00,417.60,436.10,1210088
2-Aug-16,427.00,430.90,414.20,422.60,1290631
1-Aug-16,450.10,458.70,434.20,437.00,937382
29-Jul-16,447.40,454.08,432.90,445.90,1356169
28-Jul-16,461.80,472.90,450.80,450.80,1156248
27-Jul-16,458.60,482.40,457.02,472.50,1633259
26-Jul-16,449.70,458.50,442.10,457.50,1625952
25-Jul-16,472.20,475.10,453.50,454.10,1352173
22-Jul-16,482.00,488.10,471.20,474.50,695834
21-Jul-16,469.30,491.70,458.05,487.50,810731
20-Jul-16,475.00,481.80,461.70,473.40,972789
19-Jul-16,477.50,485.36,457.60,473.30,1106314
18-Jul-16,480.00,491.20,477.40,482.40,790350
15-Jul-16,477.80,482.70,471.20,480.00,955433
14-Jul-16,477.20,483.10,465.88,479.50,983476
13-Jul-16,472.80,488.20,468.10,470.40,1167314
12-Jul-16,466.00,481.30,461.70,476.00,1288784
11-Jul-16,461.60,466.10,446.20,462.50,1675532
8-Jul-16,441.50,460.80,435.60,457.80,1400912
7-Jul-16,425.70,453.40,425.70,444.60,1410900
6-Jul-16,431.90,436.58,416.70,423.00,1559018
5-Jul-16,481.40,481.40,434.70,434.70,2202979
4-Jul-16,499.00,501.75,486.00,487.20,1371300
1-Jul-16,491.70,495.20,462.50,494.10,1607902
30-Jun-16,450.10,490.70,442.81,490.00,1934113
29-Jun-16,434.00,455.80,427.10,455.30,1253932
28-Jun-16,425.80,440.80,425.13,426.70,1437978
