Date,Open,High,Low,Close,Volume
29-Nov-16,2420.00,2520.00,2402.00,2517.00,807580
28-Nov-16,2430.00,2446.10,2392.36,2428.00,404899
25-Nov-16,2449.00,2473.00,2413.78,2420.00,470764
24-Nov-16,2454.00,2458.00,2420.00,2442.00,304538
23-Nov-16,2545.00,2592.44,2422.00,2448.00,1415525
22-Nov-16,2533.00,2594.00,2532.00,2544.00,427085
21-Nov-16,2540.00,2556.00,2487.30,2512.00,559816
18-Nov-16,2496.00,2560.00,2484.00,2537.00,927151
17-Nov-16,2423.00,2491.00,2419.00,2478.00,419539
16-Nov-16,2482.00,2496.00,2402.00,2419.00,623074
15-Nov-16,2445.00,2531.00,2434.72,2482.00,631298
14-Nov-16,2428.00,2457.76,2398.88,2427.00,593559
11-Nov-16,2401.00,2429.00,2373.00,2404.00,437661
10-Nov-16,2439.00,2498.00,2377.00,2390.00,832513
9-Nov-16,2300.00,2422.00,2286.00,2415.00,770436
8-Nov-16,2369.00,2392.00,2339.00,2355.00,386738
7-Nov-16,2378.00,2393.00,2340.00,2376.00,387310
4-Nov-16,2432.00,2435.00,2321.45,2345.00,839142
3-Nov-16,2373.00,2485.00,2318.00,2427.00,1418509
2-Nov-16,2358.00,2406.00,2352.00,2381.00,579349
1-Nov-16,2371.00,2398.50,2334.00,2390.00,758193
31-Oct-16,2367.00,2379.10,2338.00,2359.00,634466
28-Oct-16,2330.00,2391.00,2309.00,2374.00,879304
27-Oct-16,2350.00,2361.03,2289.00,2330.00,678759
26-Oct-16,2355.00,2355.00,2300.00,2350.00,610865
25-Oct-16,2400.00,2417.00,2348.00,2357.00,569535
24-Oct-16,2468.00,2477.00,2382.00,2393.00,544562
21-Oct-16,2475.00,2491.00,2434.45,2453.00,364223
20-Oct-16,2529.00,2533.00,2458.15,2478.00,438221
19-Oct-16,2462.00,2527.00,2450.60,2513.00,533209
18-Oct-16,2426.00,2464.64,2397.00,2458.00,562585
17-Oct-16,2442.00,2452.00,2389.80,2406.00,665241
14-Oct-16,2431.00,2489.00,2417.00,2446.00,459265
13-Oct-16,2384.00,2471.00,2359.00,2425.00,683701
12-Oct-16,2440.00,2499.65,2379.00,2391.00,719532
11-Oct-16,2394.00,2456.00,2372.00,2432.00,557544
10-Oct-16,2450.00,2463.70,2352.00,2390.00,923774
7-Oct-16,2573.00,2582.39,2444.00,2455.00,1075777
6-Oct-16,2567.00,2594.00,2561.00,2567.00,462055
5-Oct-16,2566.00,2605.99,2543.00,2575.00,511235
4-Oct-16,2604.00,2626.00,2581.00,2590.00,708807
3-Oct-16,2570.00,2610.00,2506.35,2570.00,534147
30-Sep-16,2494.00,2584.00,2439.00,2580.00,823076
29-Sep-16,2598.00,2605.00,2497.87,2506.00,465543
28-Sep-16,2566.00,2593.00,2563.00,2574.00,337547
27-Sep-16,2557.00,2557.00,2511.92,2544.00,451913
26-Sep-16,2615.00,2625.00,2536.00,2546.00,440238
23-Sep-16,2595.00,2669.00,2582.00,2623.00,463027
22-Sep-16,2620.00,2647.00,2589.00,2599.00,498008
21-Sep-16,2630.00,2680.00,2600.00,2600.00,389011
20-Sep-16,2621.00,2625.00,2578.00,2603.00,545037
19-Sep-16,2583.00,2624.00,2560.00,2617.00,484465
16-Sep-16,2563.00,2593.00,2528.00,2553.00,3622318
15-Sep-16,2571.00,2588.00,2524.00,2569.00,752286
14-Sep-16,2621.00,2633.00,2575.00,2576.00,679566
13-Sep-16,2638.00,2673.00,2618.00,2625.52,501634
12-Sep-16,2630.00,2655.00,2608.00,2628.00,531499
9-Sep-16,2715.00,2747.00,2651.00,2658.00,578486
8-Sep-16,2702.00,2765.00,2698.00,2724.00,574309
7-Sep-16,2773.00,2813.76,2687.00,2698.00,1046313
6-Sep-16,2676.00,2836.00,2650.00,2783.00,1191041
5-Sep-16,2760.00,2770.00,2690.00,2690.00,657584
2-Sep-16,2784.00,2784.00,2637.00,2749.00,1362098
1-Sep-16,2664.00,2818.00,2650.71,2775.00,1107747
31-Aug-16,2575.00,2689.00,2557.00,2672.00,983751
30-Aug-16,2661.00,2696.20,2577.00,2595.00,737447
26-Aug-16,2683.00,2708.00,2660.00,2660.00,425633
25-Aug-16,2698.00,2721.00,2670.00,2680.00,444363
24-Aug-16,2638.00,2728.00,2611.00,2720.00,753011
23-Aug-16,2566.00,2714.00,2564.79,2649.00,1007214
22-Aug-16,2492.00,2559.00,2481.89,2550.00,627232
19-Aug-16,2512.00,2512.00,2460.00,2487.00,409941
18-Aug-16,2515.00,2570.00,2492.00,2505.00,610268
17-Aug-16,2493.00,2518.00,2466.00,2491.00,535677
16-Aug-16,2480.00,2538.00,2476.00,2497.00,546282
15-Aug-16,2550.00,2553.00,2477.00,2493.00,545335
12-Aug-16,2519.00,2555.00,2489.36,2539.00,530711
11-Aug-16,2529.00,2529.48,2428.50,2515.00,675098
10-Aug-16,2631.00,2664.00,2588.41,2613.00,769662
9-Aug-16,2662.00,2688.00,2610.00,2650.00,396245
8-Aug-16,2660.00,2716.00,2639.00,2657.00,633786
5-Aug-16,2599.00,2692.00,2596.90,2658.00,551201
