Date,Open,High,Low,Close,Volume
29-Nov-16,449.80,449.80,439.65,442.55,28453154
28-Nov-16,453.85,454.40,447.00,452.25,20576903
25-Nov-16,458.25,459.00,454.25,454.95,12779552
24-Nov-16,458.05,460.55,456.45,458.85,10975260
23-Nov-16,459.90,463.15,455.05,458.15,18653500
22-Nov-16,460.45,464.55,455.15,456.25,26613961
21-Nov-16,451.95,459.65,448.33,456.25,30618195
18-Nov-16,447.20,449.40,441.85,447.65,25067500
17-Nov-16,441.80,450.00,441.12,447.20,22285031
16-Nov-16,448.20,448.70,433.45,441.90,23335458
15-Nov-16,439.45,447.10,433.45,444.80,30813092
14-Nov-16,438.40,439.85,432.15,433.45,24018173
11-Nov-16,450.35,451.15,434.15,435.35,30259887
10-Nov-16,453.75,460.95,448.25,448.90,30632372
9-Nov-16,443.05,458.10,441.00,458.10,30446521
8-Nov-16,453.90,457.50,452.00,456.55,19773243
7-Nov-16,454.90,455.00,450.00,453.45,23901280
4-Nov-16,450.00,451.35,443.10,446.45,22939751
3-Nov-16,459.30,463.60,450.80,451.35,24159885
2-Nov-16,463.55,475.53,456.70,457.30,33424560
1-Nov-16,479.00,483.70,460.40,462.05,41105754
31-Oct-16,486.40,487.80,482.30,483.70,24362912
28-Oct-16,491.20,492.35,483.45,492.15,22078432
27-Oct-16,486.55,493.50,484.05,493.50,24779648
26-Oct-16,492.00,492.45,483.01,487.95,24164640
25-Oct-16,487.00,498.45,487.00,495.15,19184298
24-Oct-16,494.00,496.35,486.95,486.95,17904029
21-Oct-16,489.60,493.70,488.02,492.75,22558093
20-Oct-16,486.60,491.70,486.55,490.05,19708748
19-Oct-16,485.95,492.54,485.70,490.15,18879511
18-Oct-16,489.00,491.65,485.20,485.90,20225889
17-Oct-16,489.45,489.50,482.23,483.75,19884530
14-Oct-16,484.65,493.05,484.63,489.50,19087715
13-Oct-16,482.90,494.00,480.85,485.00,25860955
12-Oct-16,486.95,492.75,483.00,484.80,28705868
11-Oct-16,493.50,498.45,483.70,486.75,26283487
