Date,Open,High,Low,Close,Volume
29-Nov-16,195.00,201.10,195.00,199.00,210688
28-Nov-16,199.00,199.78,196.50,198.60,394750
25-Nov-16,201.50,201.50,197.10,197.70,208822
24-Nov-16,198.50,201.40,197.90,199.90,257952
23-Nov-16,202.20,203.54,197.90,199.60,200757
22-Nov-16,199.40,200.80,198.08,200.00,198147
21-Nov-16,205.70,205.70,196.50,197.70,327854
18-Nov-16,202.90,203.10,197.40,202.10,328070
17-Nov-16,198.60,200.80,194.60,199.50,190784
16-Nov-16,199.60,199.60,195.41,196.80,324554
15-Nov-16,198.00,199.00,196.90,197.90,383977
14-Nov-16,197.60,198.70,195.28,196.80,315022
11-Nov-16,194.00,194.70,190.00,194.70,351730
10-Nov-16,190.00,194.00,189.94,192.00,305336
9-Nov-16,187.50,191.70,179.20,190.30,367116
8-Nov-16,193.40,193.50,188.10,188.60,219122
7-Nov-16,191.20,192.06,188.70,191.60,303311
4-Nov-16,199.60,199.60,189.60,190.80,332741
3-Nov-16,193.80,201.50,189.40,196.20,356407
2-Nov-16,192.60,194.82,188.80,189.50,256745
1-Nov-16,190.60,195.70,190.60,192.50,259240
31-Oct-16,193.60,193.70,189.40,190.70,277349
28-Oct-16,194.60,196.10,189.40,194.30,311554
27-Oct-16,187.00,193.70,185.90,193.20,716915
26-Oct-16,188.30,188.70,183.50,187.40,371943
25-Oct-16,188.80,191.09,185.50,186.00,330645
24-Oct-16,192.50,193.72,190.20,190.70,221461
21-Oct-16,192.30,193.00,189.80,191.70,227497
20-Oct-16,189.50,194.20,189.50,191.50,282952
19-Oct-16,190.80,193.40,185.50,191.60,346621
18-Oct-16,191.90,198.20,189.42,194.00,443249
17-Oct-16,191.00,191.90,186.20,188.50,573901
14-Oct-16,188.40,191.70,185.60,191.00,613310
13-Oct-16,196.00,196.24,187.30,187.40,542250
12-Oct-16,205.70,206.58,197.90,200.40,642092
11-Oct-16,192.50,210.73,190.00,205.00,1934714
10-Oct-16,185.80,186.40,175.76,175.90,716232
7-Oct-16,199.60,199.60,185.23,185.40,594566
6-Oct-16,195.00,196.50,194.30,195.30,609007
5-Oct-16,194.30,198.50,194.30,196.00,580941
4-Oct-16,184.30,199.90,184.30,194.30,983620
3-Oct-16,186.00,192.40,186.00,189.10,386110
30-Sep-16,183.30,191.03,182.40,189.90,319953
29-Sep-16,187.90,188.20,184.80,187.50,366828
28-Sep-16,180.00,189.60,180.00,187.00,269812
27-Sep-16,185.00,186.20,177.81,179.80,387275
26-Sep-16,183.30,185.80,181.10,184.80,504482
23-Sep-16,188.70,190.20,184.70,187.30,571505
22-Sep-16,188.80,190.50,185.67,189.50,642839
21-Sep-16,190.10,190.90,185.00,188.40,983106
20-Sep-16,185.90,191.50,185.60,190.00,237950
