Date,Open,High,Low,Close,Volume
29-Nov-16,245.30,248.10,242.93,248.10,1573984
28-Nov-16,251.10,253.01,245.00,247.60,1035623
25-Nov-16,253.90,255.18,246.10,249.80,1192002
24-Nov-16,251.80,255.84,249.60,251.40,821027
23-Nov-16,255.80,258.60,251.70,252.10,979559
22-Nov-16,254.90,256.56,251.90,255.80,1086394
21-Nov-16,255.70,261.20,249.88,254.00,1625458
18-Nov-16,256.30,256.80,250.50,255.10,967929
17-Nov-16,252.70,260.12,251.20,254.00,958899
16-Nov-16,258.60,262.68,252.30,254.30,1123251
15-Nov-16,257.30,260.80,257.30,260.00,1398516
14-Nov-16,255.30,258.90,253.10,257.60,1550732
11-Nov-16,255.50,255.90,251.00,251.60,1410073
10-Nov-16,251.60,259.40,248.40,253.60,1934278
9-Nov-16,240.20,250.30,238.30,247.70,1669362
8-Nov-16,243.80,247.62,241.30,244.70,1105841
7-Nov-16,244.30,247.30,241.40,246.20,1528834
4-Nov-16,253.00,255.48,242.12,242.80,2158108
3-Nov-16,250.20,258.60,250.20,254.40,2079794
2-Nov-16,253.30,254.80,250.30,250.90,1896298
1-Nov-16,251.50,256.60,248.10,253.40,2184890
31-Oct-16,252.10,253.70,247.40,251.10,1158085
28-Oct-16,249.20,255.80,246.70,254.10,1564375
27-Oct-16,251.90,251.90,246.30,248.40,1124008
26-Oct-16,248.40,253.08,246.90,250.80,1117694
25-Oct-16,250.00,252.20,248.30,250.00,892348
24-Oct-16,251.80,255.60,250.30,250.80,1235111
21-Oct-16,250.40,250.40,247.40,249.90,856682
20-Oct-16,252.60,259.64,248.11,249.70,1302413
19-Oct-16,251.00,253.60,248.50,252.80,1297282
18-Oct-16,247.50,253.90,247.50,252.30,1535017
17-Oct-16,246.00,251.21,245.10,246.80,1253079
14-Oct-16,241.40,249.90,240.48,248.20,1873704
13-Oct-16,246.80,246.80,239.94,241.10,2010406
12-Oct-16,250.90,251.80,245.60,247.70,1247936
11-Oct-16,249.40,251.00,246.40,250.50,1578712
10-Oct-16,254.60,254.60,245.07,248.00,1854737
7-Oct-16,253.70,256.20,249.90,251.20,1212942
6-Oct-16,257.20,257.84,251.60,252.50,1192778
5-Oct-16,255.00,259.71,250.70,253.90,1489882
4-Oct-16,254.00,261.20,252.00,255.80,2068518
3-Oct-16,248.00,252.80,248.00,251.00,1364168
30-Sep-16,250.90,252.12,245.50,247.90,2687948
