Date,Open,High,Low,Close,Volume
29-Nov-16,164.10,166.10,163.20,164.80,1985930
28-Nov-16,166.50,168.20,163.30,165.10,2185528
25-Nov-16,167.50,168.00,164.90,167.20,1719983
24-Nov-16,162.40,168.90,162.40,168.00,2558672
23-Nov-16,161.20,163.40,159.40,162.80,3102292
22-Nov-16,163.10,163.90,159.30,161.10,3525387
21-Nov-16,161.10,162.30,158.80,160.00,3903874
18-Nov-16,163.80,164.00,158.80,159.10,4428482
17-Nov-16,165.70,166.50,162.60,163.90,3361337
16-Nov-16,165.70,167.90,163.40,164.10,4161219
15-Nov-16,165.00,169.40,165.00,166.30,6307841
14-Nov-16,163.90,165.90,161.60,163.10,5111267
11-Nov-16,163.30,164.25,160.70,162.10,5868734
10-Nov-16,158.50,167.60,157.38,163.60,7246904
9-Nov-16,145.00,158.50,144.51,152.65,7172562
8-Nov-16,148.30,149.40,146.60,148.00,3463222
7-Nov-16,147.00,147.80,145.70,147.20,2973988
4-Nov-16,145.50,145.50,142.70,145.00,3066179
3-Nov-16,144.40,148.80,144.00,145.00,5093024
2-Nov-16,143.40,145.70,142.78,145.40,4327872
1-Nov-16,142.60,144.50,141.70,144.30,4761516
31-Oct-16,143.40,143.80,140.90,142.90,6452579
28-Oct-16,145.40,146.06,140.90,144.90,6645571
27-Oct-16,143.90,145.40,140.90,145.00,4984927
26-Oct-16,145.00,148.10,141.50,144.80,6363011
25-Oct-16,141.80,146.90,135.60,145.90,13385615
24-Oct-16,136.50,141.10,129.80,139.70,22677522
21-Oct-16,160.90,162.50,160.10,160.60,3905560
20-Oct-16,161.00,161.40,158.60,160.90,4137337
19-Oct-16,161.80,162.20,160.30,161.50,4494499
18-Oct-16,162.20,164.13,160.10,162.00,4388411
17-Oct-16,165.80,166.40,161.30,162.00,4370405
14-Oct-16,168.30,168.50,165.90,166.80,3994469
13-Oct-16,167.90,168.50,165.40,167.30,3361167
12-Oct-16,170.50,170.80,168.00,168.10,2701877
11-Oct-16,171.00,172.40,169.70,170.20,3078490
10-Oct-16,173.20,173.20,169.50,170.60,5442454
7-Oct-16,170.90,173.60,170.10,171.90,6156892
6-Oct-16,173.70,175.80,170.70,170.90,5770411
5-Oct-16,175.10,176.80,174.00,175.40,3900537
4-Oct-16,171.60,177.80,171.60,175.30,6116180
3-Oct-16,166.70,172.80,165.91,170.80,4094002
30-Sep-16,168.50,168.50,165.70,167.70,4812670
29-Sep-16,169.80,171.60,168.80,169.40,2406088
28-Sep-16,166.70,169.40,166.20,168.20,2727071
27-Sep-16,167.90,167.90,162.70,165.90,3786877
26-Sep-16,168.70,169.10,166.90,167.40,2813414
23-Sep-16,169.10,169.80,167.40,169.10,2239116
22-Sep-16,170.30,170.30,167.70,168.80,3236900
21-Sep-16,170.70,171.50,168.80,169.30,2912792
20-Sep-16,170.60,171.70,168.50,169.50,3461855
19-Sep-16,171.60,172.00,169.30,170.40,2088201
16-Sep-16,169.70,172.90,169.00,169.20,13553096
15-Sep-16,170.30,171.20,168.10,170.60,2791891
14-Sep-16,171.80,172.80,169.60,170.00,3775198
13-Sep-16,171.60,172.70,167.90,171.50,3425360
12-Sep-16,167.60,171.30,167.10,170.70,3843656
9-Sep-16,168.00,170.90,167.40,169.10,4031802
8-Sep-16,169.90,170.30,166.60,169.50,4593481
7-Sep-16,167.30,169.30,165.57,169.00,2641496
6-Sep-16,169.20,170.40,167.40,167.80,3085480
5-Sep-16,164.60,171.01,164.60,169.50,3444573
2-Sep-16,164.00,166.00,161.80,164.60,3661223
1-Sep-16,161.50,164.60,160.30,163.40,3005805
31-Aug-16,161.10,163.17,160.50,161.70,3963357
30-Aug-16,160.10,161.60,159.20,161.10,2791512
26-Aug-16,158.30,161.30,157.60,160.60,1862565
25-Aug-16,160.00,160.00,156.20,158.30,2790454
24-Aug-16,160.30,161.80,159.90,160.20,3537787
23-Aug-16,161.60,162.20,160.00,161.30,3015781
22-Aug-16,161.80,162.30,159.50,160.70,2908231
19-Aug-16,160.60,162.78,159.80,162.40,4138952
18-Aug-16,161.10,163.72,159.30,160.20,3299514
17-Aug-16,167.80,171.30,160.20,160.90,6846391
16-Aug-16,160.00,163.60,158.70,160.30,3654771
15-Aug-16,160.50,162.30,154.80,160.80,3587282
12-Aug-16,160.80,162.90,159.40,161.80,3717142
11-Aug-16,160.00,161.30,157.10,160.30,6692237
10-Aug-16,158.40,160.20,156.90,159.30,6759312
9-Aug-16,162.20,164.00,158.50,161.80,4854209
8-Aug-16,164.30,166.90,160.80,162.10,7469385
5-Aug-16,167.10,167.70,159.60,163.30,7934958
4-Aug-16,163.60,167.72,152.90,165.80,13286070
3-Aug-16,167.10,168.00,163.40,168.00,5086323
2-Aug-16,170.50,171.80,166.30,167.20,3620133
1-Aug-16,171.30,177.70,168.80,171.90,4631886
29-Jul-16,173.00,173.00,170.10,171.10,3899680
28-Jul-16,173.20,175.87,171.50,172.20,3003928
27-Jul-16,170.40,174.30,169.30,173.00,2722780
26-Jul-16,168.50,169.70,166.50,169.50,2676619
25-Jul-16,167.80,169.20,166.40,168.60,2137451
22-Jul-16,170.70,172.30,167.60,168.60,3312839
21-Jul-16,166.20,174.22,166.20,171.20,5238485
20-Jul-16,165.50,167.10,162.30,166.20,3222068
19-Jul-16,163.80,165.60,160.60,164.30,3726143
18-Jul-16,166.20,167.40,163.60,165.20,2772660
15-Jul-16,164.60,166.30,161.70,165.70,5084300
14-Jul-16,165.80,165.90,160.60,165.10,3620659
13-Jul-16,162.80,166.70,161.90,164.70,4244040
12-Jul-16,164.80,166.10,160.60,163.40,3652871
11-Jul-16,160.30,165.68,157.90,163.90,3903892
8-Jul-16,155.50,158.00,155.10,158.00,6514675
7-Jul-16,156.90,160.20,155.29,156.20,6110933
6-Jul-16,155.00,158.44,154.20,156.30,5468445
5-Jul-16,157.50,158.50,154.20,155.90,4252622
4-Jul-16,161.20,162.00,155.80,157.50,3107879
1-Jul-16,163.40,163.40,153.80,157.80,5907890
30-Jun-16,159.60,159.60,155.50,157.30,8701319
29-Jun-16,154.80,159.80,153.90,159.00,8425624
28-Jun-16,154.10,156.40,145.70,150.40,9525294
27-Jun-16,148.90,150.70,140.70,142.40,9688790
24-Jun-16,147.50,155.10,136.56,151.00,12790010
23-Jun-16,152.10,157.60,150.20,155.80,7691366
22-Jun-16,146.60,149.90,143.60,149.10,5548960
21-Jun-16,149.60,149.60,142.90,146.50,6615340
20-Jun-16,147.50,153.90,146.00,148.70,7697867
17-Jun-16,139.00,145.00,139.00,143.50,13507464
16-Jun-16,138.40,139.40,135.97,138.80,5601188
15-Jun-16,136.50,139.10,133.00,136.60,5503594
14-Jun-16,136.00,138.00,134.70,136.60,6922040
13-Jun-16,137.50,138.90,134.40,137.00,5220147
10-Jun-16,141.50,141.80,135.80,137.90,6422787
9-Jun-16,143.00,143.60,141.00,142.20,5193649
3-Jun-16,136.50,140.70,135.70,139.00,5643547
2-Jun-16,139.90,139.90,130.00,137.00,9403892
1-Jun-16,166.60,169.90,161.80,162.00,5903670
31-May-16,163.70,164.50,162.00,163.45,4695245
27-May-16,165.00,165.70,162.40,164.40,2181628
26-May-16,165.40,168.90,163.70,165.00,1487201
25-May-16,164.00,165.20,163.74,164.50,3683251
24-May-16,161.10,164.90,160.10,163.80,2045039
23-May-16,160.30,162.40,156.86,162.00,3873802
20-May-16,164.10,165.00,160.70,161.30,3831285
19-May-16,161.70,164.90,160.70,162.50,2457815
18-May-16,163.60,164.40,159.40,163.40,3193919
17-May-16,163.10,165.90,162.50,164.80,3515960
16-May-16,160.00,162.90,159.70,162.90,2203912
13-May-16,161.50,165.80,160.20,161.60,3731690
12-May-16,161.20,165.50,160.35,161.60,3078178
11-May-16,162.90,163.20,159.20,161.70,3041080
10-May-16,162.20,165.30,160.60,164.10,2398754
9-May-16,165.00,166.30,162.10,162.10,2297324
6-May-16,158.70,164.90,156.00,164.40,3885358
5-May-16,156.00,159.20,154.56,157.60,3154940
4-May-16,150.80,158.20,146.30,157.60,4547053
3-May-16,153.90,157.90,148.96,150.00,5600268
29-Apr-16,160.90,163.05,153.00,154.00,6492478
28-Apr-16,173.20,173.20,161.10,163.10,6687931
27-Apr-16,177.30,178.40,173.00,174.50,5140316
26-Apr-16,172.00,183.18,169.40,177.60,9177067
25-Apr-16,213.40,215.62,212.10,214.90,2379026
22-Apr-16,212.10,215.00,211.20,212.90,2821240
21-Apr-16,211.10,215.80,210.40,215.80,2382099
20-Apr-16,210.60,212.60,209.50,211.40,2689351
19-Apr-16,207.00,212.50,207.00,210.90,2495742
18-Apr-16,205.60,210.72,205.30,208.00,1988340
15-Apr-16,207.00,207.80,205.00,207.20,1407214
14-Apr-16,206.90,206.90,204.30,206.40,2032972
13-Apr-16,206.20,208.00,205.00,205.80,3819120
12-Apr-16,203.90,204.20,200.90,201.60,1767287
11-Apr-16,206.40,206.40,202.30,204.30,1814419
8-Apr-16,200.90,206.50,200.90,205.90,2425741
7-Apr-16,205.50,205.90,200.57,201.00,1995567
6-Apr-16,206.40,207.10,203.20,204.80,1630952
5-Apr-16,207.00,209.30,205.90,206.60,2391723
4-Apr-16,209.80,211.00,207.10,207.70,2720818
1-Apr-16,216.10,217.51,206.80,209.30,2538611
31-Mar-16,219.60,220.72,217.00,217.10,2724817
30-Mar-16,217.80,221.50,217.80,220.00,1958500
29-Mar-16,214.60,216.10,213.40,216.10,1692946
24-Mar-16,212.60,215.50,212.00,215.00,2044043
23-Mar-16,215.50,215.70,214.00,214.90,2531869
22-Mar-16,216.00,216.50,213.25,214.70,2670607
21-Mar-16,219.80,221.00,216.50,217.10,1530110
18-Mar-16,218.80,221.35,217.70,219.90,3670160
17-Mar-16,217.10,218.20,212.10,217.30,1949435
16-Mar-16,217.40,217.50,214.20,215.80,2835059
15-Mar-16,213.60,217.30,210.70,216.60,2773001
14-Mar-16,215.40,215.40,213.10,214.00,2188625
11-Mar-16,213.90,215.60,211.46,213.40,2580396
10-Mar-16,221.60,222.14,211.20,211.60,3464766
9-Mar-16,224.20,224.20,218.90,221.00,3139728
8-Mar-16,228.50,228.50,221.80,223.40,2552334
7-Mar-16,234.90,234.90,228.00,228.60,3272985
4-Mar-16,236.30,236.60,226.40,234.10,4659734
3-Mar-16,243.90,246.00,231.10,239.30,7236942
2-Mar-16,262.80,264.00,255.80,259.00,2724499
