Date,Open,High,Low,Close,Volume
29-Nov-16,171.70,175.20,166.10,169.10,582686
28-Nov-16,178.40,181.64,173.90,174.20,413304
25-Nov-16,167.00,182.40,164.20,178.00,1173919
24-Nov-16,178.90,182.55,165.90,168.91,1452353
23-Nov-16,190.00,201.11,189.40,193.90,1004214
22-Nov-16,197.20,206.20,197.20,204.60,342556
21-Nov-16,202.80,231.97,193.10,231.97,366460
18-Nov-16,201.40,202.98,199.00,200.00,322684
17-Nov-16,197.00,203.00,197.00,200.20,257766
16-Nov-16,200.40,201.00,194.30,196.00,330142
15-Nov-16,196.80,206.52,196.80,200.40,388179
14-Nov-16,200.90,204.20,197.30,198.80,453874
11-Nov-16,200.90,205.60,198.40,202.30,406680
10-Nov-16,193.40,202.10,192.60,197.80,337432
9-Nov-16,186.30,192.80,178.86,192.10,342819
8-Nov-16,187.20,191.20,187.20,189.10,272860
7-Nov-16,181.50,190.40,180.50,190.40,426989
4-Nov-16,187.50,187.50,178.10,179.10,500882
3-Nov-16,183.30,191.00,180.84,185.50,558526
2-Nov-16,182.10,184.70,181.10,184.70,268222
1-Nov-16,179.70,184.55,179.40,183.20,251196
31-Oct-16,180.10,181.80,175.90,180.20,429953
28-Oct-16,181.60,185.80,179.30,181.80,506410
27-Oct-16,183.50,186.50,179.40,182.80,643248
26-Oct-16,186.20,186.40,181.20,185.30,791194
25-Oct-16,197.40,197.40,183.70,186.00,1251899
24-Oct-16,199.20,205.20,199.20,202.00,237172
21-Oct-16,204.00,206.70,197.00,204.70,472934
20-Oct-16,205.50,209.90,202.23,205.25,478056
19-Oct-16,193.60,206.80,192.80,205.70,622380
18-Oct-16,188.20,199.72,188.20,198.60,491411
17-Oct-16,195.00,198.00,189.20,192.20,471231
14-Oct-16,197.90,203.60,196.50,197.50,332394
13-Oct-16,203.60,204.20,197.20,202.20,311808
12-Oct-16,212.10,212.10,200.40,202.10,441768
11-Oct-16,198.70,210.90,198.70,207.60,479769
10-Oct-16,206.70,206.70,198.90,200.60,614358
7-Oct-16,205.40,208.50,198.50,201.00,710325
6-Oct-16,221.30,221.30,206.90,209.90,508020
5-Oct-16,227.70,227.70,215.00,216.40,358575
4-Oct-16,219.50,230.80,219.50,224.30,769314
3-Oct-16,216.40,219.70,215.03,217.70,224005
30-Sep-16,211.40,216.40,209.00,216.40,352437
29-Sep-16,221.90,221.90,213.99,216.60,220010
28-Sep-16,220.30,221.20,215.00,219.20,313552
27-Sep-16,213.20,216.60,209.18,216.10,345003
26-Sep-16,224.60,224.60,213.30,216.00,263215
23-Sep-16,215.40,221.30,214.20,220.60,164804
22-Sep-16,225.90,227.40,215.17,219.10,481839
21-Sep-16,227.70,229.30,225.70,226.30,199853
20-Sep-16,230.60,232.90,224.80,227.30,225530
19-Sep-16,235.50,237.60,228.40,234.40,212055
16-Sep-16,232.60,240.10,229.70,235.50,535312
15-Sep-16,227.90,231.21,224.20,229.10,291268
14-Sep-16,232.10,234.71,226.50,232.00,300419
13-Sep-16,245.40,245.59,235.62,236.50,314265
12-Sep-16,245.50,249.97,238.60,242.50,227310
9-Sep-16,259.30,265.80,249.80,250.60,371633
8-Sep-16,260.50,265.10,256.10,263.30,371964
7-Sep-16,254.00,267.90,254.00,265.20,542175
6-Sep-16,262.80,264.05,256.70,259.20,420805
5-Sep-16,270.40,272.10,258.97,263.65,371124
2-Sep-16,272.10,272.10,260.00,267.30,366116
1-Sep-16,265.70,274.60,263.90,268.60,160481
31-Aug-16,265.00,267.32,260.00,262.10,345313
30-Aug-16,266.50,266.50,258.68,266.00,349705
26-Aug-16,266.70,267.04,258.00,262.70,295361
25-Aug-16,265.40,267.75,259.60,263.80,507321
24-Aug-16,252.10,279.54,249.78,271.40,407875
23-Aug-16,244.00,258.70,244.00,257.40,195549
22-Aug-16,240.50,250.70,240.50,245.70,292622
19-Aug-16,245.00,246.03,240.00,241.40,301060
18-Aug-16,237.10,246.30,237.10,240.90,292738
17-Aug-16,240.40,244.20,238.20,240.80,163216
16-Aug-16,243.10,252.10,236.40,244.50,347033
15-Aug-16,243.80,244.90,234.38,238.70,278315
12-Aug-16,229.00,246.90,229.00,240.80,401839
11-Aug-16,238.30,238.74,230.10,232.90,258935
10-Aug-16,236.00,240.86,236.00,238.40,567715
9-Aug-16,239.40,244.00,237.00,239.90,187058
8-Aug-16,240.80,256.00,240.80,243.40,148381
5-Aug-16,235.40,254.00,235.40,244.80,381063
4-Aug-16,230.00,239.30,227.40,238.00,388006
3-Aug-16,227.10,232.60,225.55,230.30,427616
2-Aug-16,233.20,234.10,224.70,230.00,689195
1-Aug-16,247.80,249.55,227.50,231.50,725116
29-Jul-16,259.40,264.28,244.60,248.00,557922
28-Jul-16,242.00,290.40,231.90,263.20,1128508
27-Jul-16,235.80,250.00,235.80,247.30,277947
26-Jul-16,237.90,242.40,233.20,237.90,500120
25-Jul-16,239.10,246.00,237.20,241.80,224989
22-Jul-16,246.40,246.90,230.70,240.00,605765
21-Jul-16,250.30,256.20,245.00,252.70,230458
20-Jul-16,248.70,257.00,243.40,254.70,272906
19-Jul-16,245.30,254.80,244.20,251.10,493322
18-Jul-16,244.00,251.70,244.00,248.60,256506
15-Jul-16,255.30,258.60,242.50,246.10,379520
14-Jul-16,258.60,267.40,253.74,259.90,250246
13-Jul-16,262.40,266.10,253.80,254.20,620116
12-Jul-16,255.50,262.10,252.72,260.50,454258
11-Jul-16,240.00,257.60,238.80,257.00,434296
8-Jul-16,229.60,239.80,229.60,238.00,417240
7-Jul-16,232.00,234.20,229.00,234.20,544788
6-Jul-16,233.50,233.70,221.00,227.00,578737
5-Jul-16,239.60,239.60,227.00,229.00,490856
4-Jul-16,249.90,249.90,237.70,238.90,192291
1-Jul-16,250.60,250.60,240.00,245.10,404324
30-Jun-16,249.30,252.80,245.00,245.60,408861
29-Jun-16,253.00,256.90,245.00,249.70,527916
28-Jun-16,256.00,262.23,239.40,250.00,595892
27-Jun-16,275.90,277.77,226.00,250.00,1144487
24-Jun-16,315.00,315.00,260.52,279.40,991485
23-Jun-16,339.60,351.90,337.40,351.90,475366
22-Jun-16,343.90,352.40,341.10,341.60,339779
21-Jun-16,345.90,345.90,337.30,339.10,432045
20-Jun-16,337.30,351.00,337.30,341.50,334927
17-Jun-16,323.90,333.70,318.10,333.70,724644
16-Jun-16,323.10,328.50,316.50,316.50,348036
15-Jun-16,334.60,334.60,326.90,326.90,181007
14-Jun-16,334.10,339.50,326.50,329.80,180774
13-Jun-16,345.60,348.20,334.50,338.00,209973
10-Jun-16,364.50,368.90,345.80,346.80,269489
9-Jun-16,364.50,370.50,364.40,369.00,185374
3-Jun-16,369.90,374.30,366.00,370.00,133746
2-Jun-16,366.60,372.70,366.60,370.00,169853
1-Jun-16,372.70,372.70,366.60,370.00,259121
31-May-16,375.00,375.00,365.00,370.00,867873
27-May-16,365.40,372.70,365.40,370.10,177519
26-May-16,365.00,372.70,364.18,369.90,134080
25-May-16,365.00,372.70,364.40,370.70,206965
24-May-16,368.10,372.90,367.60,370.60,186785
23-May-16,357.70,374.50,357.70,371.70,218821
20-May-16,353.40,361.30,352.50,357.80,177349
19-May-16,365.00,365.00,355.40,358.60,361161
18-May-16,353.80,362.50,353.80,362.50,384726
17-May-16,355.90,360.60,353.50,358.40,318444
16-May-16,354.00,354.00,347.90,351.80,144341
13-May-16,348.80,350.40,340.10,350.40,219653
12-May-16,355.20,356.20,349.70,352.90,170741
11-May-16,358.20,358.20,351.00,354.00,172369
10-May-16,362.00,362.00,352.90,355.00,121166
9-May-16,355.60,358.00,355.00,355.70,127358
6-May-16,356.40,360.00,352.20,355.74,112442
