Date,Open,High,Low,Close,Volume
29-Nov-16,54.85,56.15,54.80,55.60,1590401
28-Nov-16,55.80,57.23,55.00,55.00,2517298
25-Nov-16,57.45,57.45,56.25,56.70,884812
24-Nov-16,57.00,57.20,56.70,56.85,842195
23-Nov-16,57.00,57.80,56.70,56.95,1856959
22-Nov-16,57.70,57.71,57.10,57.40,1971798
21-Nov-16,58.00,58.00,56.70,57.10,2581575
18-Nov-16,58.05,59.35,57.35,58.00,2984039
17-Nov-16,56.60,58.05,56.00,58.00,3261395
16-Nov-16,55.75,57.05,55.55,56.00,2247420
15-Nov-16,56.95,59.02,55.90,55.95,4004379
14-Nov-16,58.00,58.95,57.60,58.15,3239789
11-Nov-16,57.15,57.70,55.96,57.35,5829401
10-Nov-16,55.80,57.55,55.80,56.80,3429216
9-Nov-16,55.30,56.50,54.95,55.65,2955536
8-Nov-16,55.85,56.80,55.45,55.95,2720154
7-Nov-16,55.70,56.50,55.15,56.00,2086436
4-Nov-16,56.10,56.10,54.40,55.15,3186427
3-Nov-16,53.10,56.05,53.10,55.36,5108179
2-Nov-16,53.85,54.15,53.05,53.60,5793022
1-Nov-16,53.75,54.15,53.35,53.45,3607639
31-Oct-16,54.55,54.95,53.64,53.70,2882463
28-Oct-16,54.80,55.60,54.35,55.00,3516755
27-Oct-16,54.90,56.25,54.45,55.35,3616677
26-Oct-16,53.90,54.65,52.86,53.70,3891014
25-Oct-16,55.25,55.25,53.70,54.20,2281769
24-Oct-16,54.95,55.60,54.65,54.90,2331332
21-Oct-16,55.50,55.50,53.75,54.55,3292317
20-Oct-16,55.50,55.85,54.20,54.90,3160458
19-Oct-16,55.45,55.75,54.15,54.90,3137479
18-Oct-16,54.15,56.35,53.05,55.30,3668008
17-Oct-16,53.85,54.30,52.55,53.95,4622832
14-Oct-16,56.40,57.10,54.85,55.20,2257715
13-Oct-16,56.00,57.45,55.15,56.15,2838489
12-Oct-16,57.20,58.16,56.15,56.80,1987167
11-Oct-16,56.20,57.95,55.10,57.40,1832899
10-Oct-16,55.20,56.15,54.39,55.50,2357977
7-Oct-16,57.10,57.10,54.51,54.90,2272467
6-Oct-16,57.40,57.40,55.70,57.10,1895712
5-Oct-16,56.10,57.10,55.45,56.60,1513230
4-Oct-16,55.10,57.15,54.99,56.05,3626927
3-Oct-16,56.25,56.25,55.00,55.45,2586997
30-Sep-16,55.35,56.30,54.25,55.75,3730986
29-Sep-16,57.20,57.51,55.45,55.55,1617780
28-Sep-16,55.75,57.60,55.60,57.05,1973419
27-Sep-16,56.60,56.86,55.75,55.85,1772362
26-Sep-16,56.70,56.70,55.60,56.30,1256433
23-Sep-16,56.60,57.45,55.20,57.35,1373826
22-Sep-16,55.75,56.60,54.75,56.55,2045228
21-Sep-16,56.00,56.55,55.30,55.50,3832968
20-Sep-16,57.10,57.40,56.00,56.00,1571304
19-Sep-16,57.40,58.18,56.50,57.65,1784387
16-Sep-16,57.75,59.50,56.35,57.45,4262084
15-Sep-16,57.60,58.75,56.85,58.55,1249285
14-Sep-16,60.25,60.65,57.85,57.85,1662872
13-Sep-16,59.95,61.00,58.50,60.55,1274869
12-Sep-16,60.85,60.85,59.35,59.85,1625719
9-Sep-16,62.60,63.80,60.50,60.85,2693148
8-Sep-16,62.10,64.25,62.10,64.05,1334228
7-Sep-16,62.55,63.30,61.30,62.40,1675850
6-Sep-16,60.95,63.05,60.70,62.75,1571555
5-Sep-16,61.35,62.45,60.60,60.95,1243557
2-Sep-16,62.20,62.65,59.75,61.95,2088444
1-Sep-16,61.80,63.20,58.75,61.95,2770697
31-Aug-16,60.00,61.04,59.70,60.60,1779856
30-Aug-16,61.45,62.40,59.95,60.05,2311670
26-Aug-16,63.25,63.35,61.90,62.80,1170804
25-Aug-16,62.15,62.90,61.50,62.70,1314273
24-Aug-16,62.40,63.55,62.40,63.05,1450954
23-Aug-16,62.00,63.50,61.58,62.55,1859044
22-Aug-16,60.35,62.55,60.16,62.24,1640097
19-Aug-16,60.60,60.90,59.05,59.85,1473992
18-Aug-16,58.95,60.15,58.70,60.00,1239851
17-Aug-16,59.65,60.25,58.75,58.95,1275826
16-Aug-16,58.70,61.30,58.70,59.70,1772671
15-Aug-16,58.85,60.00,58.66,59.90,1787725
12-Aug-16,56.65,59.80,56.65,58.90,2132963
11-Aug-16,56.75,57.30,55.85,56.75,1398477
10-Aug-16,58.65,59.32,56.70,57.10,2227777
9-Aug-16,55.50,58.70,55.50,58.40,2153436
8-Aug-16,55.90,56.85,55.40,55.90,1535269
5-Aug-16,55.35,56.40,55.15,55.90,1485974
4-Aug-16,55.95,56.13,54.90,55.25,1848526
3-Aug-16,55.75,56.00,54.70,55.05,2281152
2-Aug-16,55.55,56.46,54.50,54.95,1774804
1-Aug-16,57.15,57.15,55.60,55.85,1589863
29-Jul-16,58.20,58.55,55.85,56.05,2226120
28-Jul-16,58.45,59.65,58.08,58.25,1608855
27-Jul-16,56.50,59.35,56.49,58.85,1743847
26-Jul-16,57.00,57.16,55.99,56.50,1492479
25-Jul-16,56.90,57.15,56.40,56.85,1272540
22-Jul-16,56.30,56.85,55.75,56.30,2282267
21-Jul-16,56.70,57.20,56.45,57.05,1732633
20-Jul-16,56.90,57.95,56.70,57.00,1950546
19-Jul-16,56.25,57.25,56.25,56.75,1568205
18-Jul-16,57.00,58.04,56.15,57.15,1490515
15-Jul-16,55.25,56.95,55.25,56.85,1963324
14-Jul-16,55.95,57.30,55.45,56.00,1900145
13-Jul-16,56.75,58.40,55.90,55.90,2808124
12-Jul-16,57.25,59.35,56.50,56.65,3237400
11-Jul-16,55.90,58.00,55.65,57.75,7466003
8-Jul-16,52.80,57.10,52.80,55.90,2576197
7-Jul-16,53.00,54.80,52.80,53.00,2836741
6-Jul-16,52.90,53.16,51.25,52.90,3976238
5-Jul-16,54.45,55.35,52.84,53.30,3025004
4-Jul-16,55.90,56.42,54.70,54.95,1820967
1-Jul-16,55.45,56.52,55.20,56.10,2022212
30-Jun-16,54.30,56.00,54.25,55.30,2399949
29-Jun-16,54.90,55.95,53.95,54.90,3067030
28-Jun-16,53.15,55.10,52.50,54.65,4538940
