Date,Open,High,Low,Close,Volume
29-Nov-16,1238.00,1273.00,1238.00,1262.00,255690
28-Nov-16,1260.00,1261.80,1230.00,1241.00,197402
25-Nov-16,1259.00,1270.32,1241.83,1250.00,126700
24-Nov-16,1276.00,1286.00,1264.00,1269.00,163876
23-Nov-16,1301.00,1309.23,1273.00,1281.00,268108
22-Nov-16,1271.00,1303.00,1264.00,1297.00,393125
21-Nov-16,1317.00,1317.00,1286.00,1291.36,299934
18-Nov-16,1300.00,1307.00,1290.00,1300.00,255262
17-Nov-16,1290.00,1304.00,1276.00,1295.00,316882
16-Nov-16,1300.00,1300.00,1272.00,1284.00,273022
15-Nov-16,1305.00,1309.75,1282.00,1288.00,256862
14-Nov-16,1282.00,1298.00,1272.00,1288.00,302692
11-Nov-16,1266.00,1300.00,1249.00,1273.00,179092
10-Nov-16,1278.00,1305.25,1258.00,1271.00,397567
9-Nov-16,1197.00,1270.00,1162.30,1270.00,358575
8-Nov-16,1258.00,1263.76,1218.00,1226.00,212413
7-Nov-16,1237.00,1261.00,1231.00,1250.00,217172
4-Nov-16,1262.00,1262.00,1207.00,1222.00,300767
3-Nov-16,1245.00,1302.00,1223.00,1262.00,368243
2-Nov-16,1240.00,1253.32,1223.00,1238.00,309028
1-Nov-16,1241.00,1252.00,1230.54,1245.00,199245
31-Oct-16,1221.00,1237.00,1206.92,1226.00,227705
28-Oct-16,1200.00,1259.00,1193.96,1236.00,354428
27-Oct-16,1273.00,1273.00,1206.36,1210.00,274837
26-Oct-16,1298.00,1320.00,1277.00,1305.00,282258
25-Oct-16,1358.00,1363.35,1307.00,1310.00,150703
24-Oct-16,1352.00,1365.00,1334.00,1346.00,170726
21-Oct-16,1352.00,1355.00,1332.00,1342.00,172921
20-Oct-16,1347.00,1366.36,1326.00,1343.00,228806
19-Oct-16,1320.00,1347.00,1304.00,1338.00,392974
18-Oct-16,1332.00,1332.00,1298.00,1320.00,218543
17-Oct-16,1323.00,1335.56,1303.22,1311.00,155897
14-Oct-16,1337.00,1354.00,1314.00,1336.00,187527
13-Oct-16,1316.00,1368.00,1287.00,1337.00,228414
12-Oct-16,1331.00,1347.30,1308.00,1315.00,165461
11-Oct-16,1296.00,1334.00,1288.00,1326.00,131464
10-Oct-16,1329.00,1339.28,1290.00,1300.00,295742
7-Oct-16,1358.00,1362.00,1297.36,1315.00,267530
6-Oct-16,1366.00,1368.00,1340.00,1363.00,223857
5-Oct-16,1354.00,1373.00,1344.33,1367.00,153488
4-Oct-16,1357.00,1390.00,1341.00,1366.00,266329
3-Oct-16,1313.00,1357.00,1313.00,1345.00,222319
30-Sep-16,1299.00,1326.00,1277.00,1326.00,229043
29-Sep-16,1347.00,1361.00,1300.00,1302.00,223340
28-Sep-16,1317.00,1347.00,1305.00,1342.71,266797
27-Sep-16,1317.00,1317.00,1267.45,1303.00,174783
26-Sep-16,1321.00,1323.00,1289.00,1300.00,188926
23-Sep-16,1322.00,1340.00,1305.30,1321.00,199043
22-Sep-16,1325.00,1342.00,1310.00,1313.00,281978
21-Sep-16,1286.00,1319.36,1285.00,1315.00,298982
20-Sep-16,1286.00,1294.85,1259.00,1277.00,275392
19-Sep-16,1297.00,1306.00,1259.00,1279.00,308871
16-Sep-16,1216.00,1312.41,1210.00,1278.00,644175
15-Sep-16,1205.00,1240.84,1198.00,1211.00,589436
14-Sep-16,1159.00,1225.00,1152.68,1215.00,511950
13-Sep-16,1145.00,1151.13,1122.06,1131.00,126574
12-Sep-16,1147.00,1177.54,1127.00,1133.00,213491
9-Sep-16,1166.00,1202.00,1152.00,1168.00,209564
8-Sep-16,1155.00,1180.00,1149.00,1175.00,158408
7-Sep-16,1140.00,1163.00,1139.00,1143.00,158387
6-Sep-16,1168.00,1181.00,1152.00,1163.00,193447
5-Sep-16,1155.00,1155.00,1130.74,1147.00,193731
2-Sep-16,1155.00,1162.02,1108.00,1159.00,330918
1-Sep-16,1128.00,1174.00,1128.00,1155.00,319966
31-Aug-16,1119.00,1158.00,1116.40,1135.00,363299
30-Aug-16,1165.00,1174.65,1127.00,1140.00,204219
26-Aug-16,1136.00,1168.00,1135.00,1161.00,143051
25-Aug-16,1130.00,1151.39,1115.00,1140.00,267027
24-Aug-16,1107.00,1153.00,1107.00,1150.00,187142
23-Aug-16,1080.00,1130.14,1080.00,1120.00,140156
22-Aug-16,1037.00,1091.00,1037.00,1080.00,167011
19-Aug-16,1048.00,1055.62,1030.00,1047.00,151758
18-Aug-16,1022.00,1045.00,1022.00,1039.00,88203
17-Aug-16,1032.00,1038.00,1017.57,1024.00,83137
16-Aug-16,1009.00,1047.66,1008.00,1021.00,100685
15-Aug-16,1026.00,1034.32,999.48,1020.00,124767
12-Aug-16,1010.00,1046.00,995.17,1025.00,152240
11-Aug-16,1014.00,1028.12,992.46,1021.00,141324
10-Aug-16,989.50,1027.00,986.00,1027.00,227037
9-Aug-16,1004.00,1019.91,982.22,988.00,290385
8-Aug-16,989.00,1043.00,989.00,1011.00,210025
5-Aug-16,972.00,1006.00,972.00,1000.00,186941
4-Aug-16,957.50,991.00,957.50,979.00,103554
3-Aug-16,952.50,978.87,933.50,960.50,223264
2-Aug-16,947.50,961.00,915.50,952.00,195448
1-Aug-16,998.00,998.51,958.50,960.00,202125
29-Jul-16,982.00,999.50,974.00,990.00,203084
28-Jul-16,1001.00,1013.00,984.50,993.00,281004
27-Jul-16,956.00,1014.00,949.76,994.00,323052
26-Jul-16,966.50,971.41,944.50,953.50,270389
25-Jul-16,953.00,986.93,935.00,976.00,184829
22-Jul-16,977.50,978.00,943.43,943.50,261687
21-Jul-16,984.50,990.20,966.00,971.00,266521
20-Jul-16,979.50,990.00,953.00,984.00,222555
19-Jul-16,970.00,984.50,951.00,971.00,256376
18-Jul-16,939.00,986.50,932.58,976.00,251289
15-Jul-16,948.00,973.50,935.00,940.00,231137
14-Jul-16,962.50,990.22,935.00,957.50,281218
13-Jul-16,950.00,975.00,940.50,957.50,376690
12-Jul-16,875.50,957.00,870.00,957.00,554961
11-Jul-16,838.00,903.00,838.00,882.00,323229
8-Jul-16,780.00,848.50,773.65,829.50,393314
7-Jul-16,805.50,811.75,739.86,785.00,519130
6-Jul-16,835.00,835.00,786.00,807.00,323251
5-Jul-16,892.00,894.84,823.00,832.00,293674
4-Jul-16,942.00,950.00,888.00,894.00,182958
1-Jul-16,923.50,940.50,888.00,933.50,200628
30-Jun-16,920.50,929.00,899.50,912.50,163901
29-Jun-16,910.50,922.92,878.47,922.00,385625
28-Jun-16,893.00,914.78,870.50,890.00,402722
27-Jun-16,1037.00,1052.00,834.00,855.31,809384
24-Jun-16,1100.00,1115.00,1029.45,1040.00,402558
23-Jun-16,1265.00,1321.00,1234.88,1321.00,191055
22-Jun-16,1257.00,1268.03,1241.00,1260.00,79242
21-Jun-16,1251.00,1265.18,1225.00,1252.00,94871
20-Jun-16,1226.00,1273.00,1223.22,1264.00,173859
17-Jun-16,1154.00,1210.00,1150.00,1200.00,298865
16-Jun-16,1161.00,1170.00,1133.30,1134.00,211312
15-Jun-16,1198.00,1198.00,1165.00,1166.00,128332
14-Jun-16,1218.00,1221.00,1174.00,1180.00,108668
13-Jun-16,1244.00,1248.00,1219.00,1225.00,122693
10-Jun-16,1293.00,1293.00,1247.00,1247.00,148576
9-Jun-16,1289.00,1310.00,1272.00,1300.00,119602
3-Jun-16,1353.00,1353.00,1318.00,1328.00,78344
2-Jun-16,1327.00,1350.00,1327.00,1350.00,73812
1-Jun-16,1377.00,1382.78,1338.00,1343.00,113039
31-May-16,1401.00,1417.85,1377.91,1387.00,95594
27-May-16,1383.00,1410.00,1383.00,1404.00,61250
26-May-16,1417.00,1419.00,1377.00,1394.00,92787
25-May-16,1395.00,1417.00,1374.08,1417.00,103542
24-May-16,1361.00,1392.00,1354.12,1391.00,100680
23-May-16,1337.00,1375.00,1335.00,1369.00,93696
20-May-16,1330.00,1339.30,1322.94,1335.00,52186
19-May-16,1326.00,1341.00,1322.00,1327.00,94154
18-May-16,1301.00,1336.00,1301.00,1334.00,104732
17-May-16,1295.00,1324.00,1280.00,1324.00,99475
16-May-16,1285.00,1287.00,1270.00,1283.00,33854
13-May-16,1283.00,1301.00,1271.81,1277.00,82881
12-May-16,1277.00,1307.00,1273.00,1295.00,83285
11-May-16,1277.00,1285.00,1264.82,1283.00,101956
10-May-16,1291.00,1291.00,1256.00,1280.00,129115
9-May-16,1272.00,1284.00,1257.66,1276.00,56065
6-May-16,1269.00,1280.92,1262.00,1262.00,71369
5-May-16,1276.00,1282.00,1258.30,1271.00,88430
4-May-16,1297.00,1297.00,1263.00,1271.00,119044
3-May-16,1280.00,1300.00,1275.00,1292.00,139132
29-Apr-16,1293.00,1296.00,1271.00,1276.00,123736
28-Apr-16,1318.00,1318.00,1291.71,1294.00,174610
27-Apr-16,1316.00,1327.00,1292.00,1305.00,128214
26-Apr-16,1324.00,1327.00,1304.00,1320.00,129187
25-Apr-16,1289.00,1320.00,1281.26,1320.00,139175
22-Apr-16,1272.00,1298.00,1269.00,1278.00,108685
21-Apr-16,1284.00,1290.00,1270.07,1286.00,101600
20-Apr-16,1287.00,1310.14,1265.00,1277.00,108337
19-Apr-16,1294.00,1309.00,1280.00,1282.00,113728
18-Apr-16,1304.00,1320.00,1279.95,1289.00,192900
15-Apr-16,1329.00,1329.00,1307.00,1312.00,130222
14-Apr-16,1341.00,1341.00,1320.00,1322.00,182001
13-Apr-16,1307.00,1345.00,1298.65,1334.70,173742
12-Apr-16,1316.00,1342.57,1294.00,1303.00,323297
11-Apr-16,1392.00,1399.00,1292.00,1297.00,242339
8-Apr-16,1388.00,1420.00,1388.00,1400.00,108472
7-Apr-16,1393.00,1415.56,1391.00,1393.99,117401
6-Apr-16,1384.00,1420.00,1384.00,1409.00,101075
5-Apr-16,1368.00,1393.06,1359.26,1383.00,151886
4-Apr-16,1423.00,1429.56,1367.00,1372.00,149478
1-Apr-16,1433.00,1437.00,1411.26,1431.00,80072
31-Mar-16,1445.00,1445.00,1429.00,1435.00,62029
30-Mar-16,1438.00,1462.47,1427.00,1436.00,85281
29-Mar-16,1430.00,1442.00,1420.00,1440.00,99196
24-Mar-16,1431.00,1457.00,1416.16,1426.90,130258
23-Mar-16,1438.00,1461.00,1434.72,1457.00,75008
22-Mar-16,1409.00,1440.00,1409.00,1437.00,112296
21-Mar-16,1422.00,1440.85,1418.00,1432.00,95347
18-Mar-16,1425.00,1440.00,1415.00,1426.00,349585
17-Mar-16,1396.00,1429.00,1386.44,1418.00,166936
16-Mar-16,1343.00,1396.00,1343.00,1372.00,246091
15-Mar-16,1359.00,1364.00,1341.00,1341.00,163692
14-Mar-16,1372.00,1376.00,1355.00,1360.00,66263
11-Mar-16,1350.00,1370.00,1343.00,1361.00,73504
10-Mar-16,1379.00,1379.00,1338.00,1338.00,198632
9-Mar-16,1377.00,1402.08,1360.00,1371.00,150062
8-Mar-16,1424.00,1424.00,1375.00,1378.00,90345
7-Mar-16,1436.00,1468.00,1412.00,1417.00,102484
4-Mar-16,1452.00,1453.96,1423.00,1439.00,139172
3-Mar-16,1448.00,1459.00,1426.00,1440.00,166057
2-Mar-16,1460.00,1474.00,1437.00,1443.00,152679
1-Mar-16,1486.00,1492.00,1448.00,1453.00,118241
29-Feb-16,1433.00,1479.00,1425.00,1472.00,169842
26-Feb-16,1436.00,1461.00,1426.00,1432.00,122405
25-Feb-16,1411.00,1425.00,1383.00,1422.00,122114
24-Feb-16,1383.00,1388.00,1368.00,1383.00,116061
23-Feb-16,1380.00,1401.00,1371.00,1371.00,107589
22-Feb-16,1376.00,1394.00,1370.20,1376.00,92757
19-Feb-16,1404.00,1417.00,1375.00,1383.00,83472
18-Feb-16,1397.00,1425.00,1397.00,1420.00,74822
17-Feb-16,1361.00,1406.00,1361.00,1404.00,230296
16-Feb-16,1370.00,1387.93,1361.00,1366.00,89059
15-Feb-16,1376.00,1387.34,1368.00,1378.00,74129
12-Feb-16,1339.00,1370.00,1336.00,1356.00,150778
11-Feb-16,1391.00,1391.00,1348.00,1348.00,122293
10-Feb-16,1359.00,1411.00,1359.00,1400.00,90559
9-Feb-16,1389.00,1389.00,1358.00,1372.00,142796
8-Feb-16,1442.00,1442.00,1371.78,1373.00,126518
5-Feb-16,1458.00,1477.00,1433.00,1435.00,132435
4-Feb-16,1467.00,1475.00,1425.78,1463.00,111582
3-Feb-16,1478.00,1478.00,1426.00,1443.00,100102
2-Feb-16,1501.00,1501.00,1463.00,1474.00,73464
1-Feb-16,1491.00,1502.00,1470.00,1498.00,94345
29-Jan-16,1485.00,1485.00,1451.00,1485.00,177015
28-Jan-16,1485.00,1493.00,1452.00,1468.00,95958
27-Jan-16,1472.00,1481.00,1456.74,1466.29,84124
26-Jan-16,1457.00,1497.00,1445.00,1480.00,143081
25-Jan-16,1447.00,1469.00,1428.00,1463.00,119300
22-Jan-16,1408.00,1440.00,1407.85,1433.00,138707
21-Jan-16,1390.00,1406.00,1375.84,1406.00,105825
20-Jan-16,1400.00,1414.16,1369.00,1378.28,150771
19-Jan-16,1424.00,1430.00,1410.00,1420.87,139549
18-Jan-16,1462.00,1473.00,1403.00,1407.00,118752
15-Jan-16,1519.00,1519.00,1451.00,1468.00,143535
14-Jan-16,1564.00,1564.00,1489.00,1489.00,165016
13-Jan-16,1539.00,1574.00,1533.00,1547.00,149660
12-Jan-16,1482.00,1553.00,1480.00,1527.00,213046
