Date,Open,High,Low,Close,Volume
29-Nov-16,630.50,634.60,626.50,631.80,19140011
28-Nov-16,638.10,638.10,629.60,632.80,23187501
25-Nov-16,638.80,642.30,638.80,641.00,13602453
24-Nov-16,639.10,641.10,636.10,640.20,16317281
23-Nov-16,640.20,645.60,632.80,642.60,27678526
22-Nov-16,637.30,641.30,635.50,638.60,21294598
21-Nov-16,637.40,640.80,628.70,631.90,21110164
18-Nov-16,636.90,638.50,628.20,633.80,23178163
17-Nov-16,626.10,633.60,624.00,632.00,27016217
16-Nov-16,634.00,636.40,627.70,628.60,25200519
15-Nov-16,637.80,643.80,634.29,638.30,30057202
14-Nov-16,625.00,637.80,618.43,634.80,37580473
11-Nov-16,627.00,629.80,613.60,619.90,34869707
10-Nov-16,623.70,637.90,622.40,625.30,53278312
9-Nov-16,603.80,623.00,599.00,622.30,53469168
8-Nov-16,614.90,621.20,612.20,620.00,32515076
7-Nov-16,614.20,624.80,608.49,622.30,47519534
4-Nov-16,594.80,603.93,588.30,594.80,30068036
3-Nov-16,602.00,607.60,596.10,597.40,27869163
2-Nov-16,607.00,612.43,603.40,604.20,24189195
1-Nov-16,615.50,619.97,609.00,612.50,31948800
31-Oct-16,619.20,622.30,616.14,616.20,31977188
28-Oct-16,620.60,625.90,616.20,624.50,27498914
27-Oct-16,618.80,627.50,615.19,627.50,27902483
26-Oct-16,624.30,625.80,619.10,622.50,21809210
25-Oct-16,623.00,632.80,620.20,626.30,25110951
24-Oct-16,626.60,637.06,624.00,624.30,26459133
21-Oct-16,619.10,626.60,619.10,626.40,27649820
20-Oct-16,618.30,626.00,614.36,621.50,21023231
19-Oct-16,620.70,625.44,617.70,624.70,25349798
18-Oct-16,617.70,625.00,614.88,622.90,23347013
17-Oct-16,614.60,617.94,612.10,613.60,24858081
14-Oct-16,613.80,621.90,608.63,619.60,22453114
13-Oct-16,614.60,616.50,604.00,608.90,33251981
12-Oct-16,616.10,622.57,613.20,616.50,23001574
11-Oct-16,617.50,624.01,615.70,618.50,30373774
10-Oct-16,620.00,626.30,618.40,624.80,26745161
7-Oct-16,608.00,620.20,606.50,619.50,38842178
6-Oct-16,601.20,606.10,600.11,602.60,22571477
5-Oct-16,597.30,602.90,570.95,601.00,24695261
4-Oct-16,590.20,601.90,585.01,596.20,64350162
3-Oct-16,580.30,589.60,578.30,587.60,21779317
30-Sep-16,571.00,580.50,566.70,578.70,40023635
29-Sep-16,574.60,581.50,573.10,578.30,21394193
28-Sep-16,573.10,580.00,570.30,571.60,25151168
27-Sep-16,576.70,579.40,570.70,577.10,25107336
26-Sep-16,575.70,576.00,568.20,569.20,26007211
23-Sep-16,574.10,576.30,570.20,574.30,28747508
22-Sep-16,580.00,583.58,572.40,578.00,30683859
21-Sep-16,591.00,594.50,586.66,588.70,21080551
20-Sep-16,581.00,585.00,580.00,583.40,27087657
19-Sep-16,576.00,584.11,575.61,581.10,27247193
16-Sep-16,567.10,570.80,565.00,566.70,44800576
15-Sep-16,562.70,572.02,561.10,572.00,25796663
14-Sep-16,560.50,568.40,557.44,561.10,32782991
13-Sep-16,564.70,574.46,556.50,559.30,34056849
12-Sep-16,571.30,571.90,562.10,565.60,26435648
9-Sep-16,577.50,581.05,576.50,578.00,30153490
8-Sep-16,570.00,580.60,567.30,573.30,29076278
7-Sep-16,568.80,572.00,564.90,567.30,34956230
6-Sep-16,582.00,583.90,567.50,568.50,30191964
5-Sep-16,580.10,582.50,577.22,581.60,17741891
2-Sep-16,575.20,588.30,560.49,580.90,46396944
1-Sep-16,577.50,581.96,566.80,568.10,37724105
31-Aug-16,565.40,575.00,554.60,564.30,40636234
30-Aug-16,552.90,559.20,552.80,557.50,28798744
26-Aug-16,543.60,548.90,542.00,546.90,14299433
25-Aug-16,543.60,544.60,539.68,542.50,18212533
24-Aug-16,539.40,544.70,537.20,541.10,16998365
23-Aug-16,541.80,544.10,538.50,542.20,16981400
22-Aug-16,542.70,549.42,538.20,539.50,13756852
19-Aug-16,540.90,543.70,539.40,543.20,15351558
18-Aug-16,542.00,544.50,541.10,543.80,16808428
17-Aug-16,543.20,546.00,541.80,542.90,23307772
16-Aug-16,543.00,545.50,541.17,542.50,23407203
15-Aug-16,544.00,549.80,541.70,547.50,15524696
12-Aug-16,541.30,555.00,540.38,545.00,15633250
11-Aug-16,540.20,545.50,537.70,545.50,19038512
10-Aug-16,540.20,544.90,538.50,544.30,22157965
9-Aug-16,538.70,543.00,534.27,540.80,18540951
8-Aug-16,535.60,539.80,528.72,537.00,17102405
5-Aug-16,523.00,532.21,518.42,525.63,26544118
4-Aug-16,511.30,520.70,503.85,517.30,31937542
3-Aug-16,500.40,510.00,491.11,504.40,36726548
2-Aug-16,487.90,488.85,482.05,482.80,19961461
1-Aug-16,495.90,496.50,488.25,489.05,19241844
29-Jul-16,491.90,498.55,490.25,495.10,17982004
28-Jul-16,498.80,499.30,490.35,490.90,18302711
27-Jul-16,497.35,499.65,494.80,497.70,14536842
26-Jul-16,495.45,498.50,492.45,494.00,21068033
25-Jul-16,493.00,494.80,489.15,489.80,16907428
22-Jul-16,491.75,496.29,488.80,493.60,16023815
21-Jul-16,491.00,495.70,489.89,492.50,21086304
20-Jul-16,493.00,497.35,492.65,495.15,24485569
19-Jul-16,482.50,489.20,482.10,489.00,19287325
18-Jul-16,482.65,486.00,479.74,484.80,19518700
15-Jul-16,475.75,480.90,473.65,479.30,27383560
14-Jul-16,480.95,482.95,474.00,476.70,24950670
13-Jul-16,473.65,477.45,439.73,475.00,34409578
12-Jul-16,474.20,478.95,473.55,476.70,31439691
11-Jul-16,475.05,480.30,473.50,478.85,21160531
8-Jul-16,462.80,473.25,462.55,470.80,19661344
7-Jul-16,466.45,468.80,463.15,464.45,23267977
6-Jul-16,464.95,467.50,458.70,461.80,41678863
5-Jul-16,463.05,469.15,461.35,464.75,38205702
4-Jul-16,468.00,471.55,461.65,463.75,22145192
1-Jul-16,470.50,474.95,464.95,469.85,33762941
30-Jun-16,452.40,465.90,449.85,455.80,54959099
29-Jun-16,450.45,453.65,445.50,452.75,46131104
28-Jun-16,446.50,449.95,442.00,443.60,45288014
27-Jun-16,448.00,452.85,432.15,438.00,72192707
24-Jun-16,432.00,457.55,392.37,447.95,119346273
23-Jun-16,445.85,454.45,443.40,454.45,34843872
22-Jun-16,443.20,448.85,439.85,444.00,31215751
21-Jun-16,436.00,442.25,432.13,439.80,35527137
20-Jun-16,441.75,443.00,435.00,437.35,38281592
17-Jun-16,428.60,434.75,426.15,431.20,63968627
16-Jun-16,421.10,428.20,419.30,426.50,34829496
15-Jun-16,428.75,431.68,423.85,425.75,36013133
14-Jun-16,431.70,432.70,424.20,425.40,41405570
13-Jun-16,430.30,436.68,429.30,430.90,30478907
10-Jun-16,443.35,443.35,431.40,433.75,35830939
9-Jun-16,445.40,447.80,443.20,443.55,22149902
8-Jun-16,447.85,448.25,442.90,446.70,20392811
7-Jun-16,449.65,452.55,445.90,446.65,17735862
6-Jun-16,444.90,452.10,444.10,448.35,21179891
3-Jun-16,451.35,456.10,440.00,444.80,29475905
2-Jun-16,447.35,453.55,445.60,446.15,26678139
1-Jun-16,448.00,449.40,441.45,444.85,28121035
31-May-16,450.85,454.58,445.05,445.05,39715432
27-May-16,444.75,449.25,444.70,448.45,16235253
26-May-16,442.95,447.65,441.45,445.95,25666959
25-May-16,442.00,449.20,440.20,446.40,28332488
24-May-16,426.60,437.55,424.60,434.25,25282399
23-May-16,428.10,433.35,425.25,427.25,17868194
20-May-16,428.20,437.88,425.20,429.25,27263041
19-May-16,434.65,439.20,426.55,426.55,32766424
18-May-16,433.00,436.50,429.00,435.50,21130512
17-May-16,432.50,437.55,431.00,434.60,24041222
16-May-16,428.70,430.95,427.40,428.80,14061456
13-May-16,422.20,431.60,420.35,430.00,22206872
12-May-16,428.00,432.30,423.09,423.55,22651643
11-May-16,433.00,433.80,426.30,431.15,16130116
10-May-16,433.00,437.47,429.91,433.00,21394774
9-May-16,436.40,438.10,428.95,429.85,16427301
6-May-16,432.75,434.00,424.65,431.75,20481249
5-May-16,439.50,441.25,435.00,436.55,20587030
4-May-16,442.80,447.25,436.10,436.65,29829152
3-May-16,463.65,465.90,443.65,445.05,35675464
29-Apr-16,458.80,462.86,452.50,452.50,32158107
28-Apr-16,463.80,467.35,456.30,467.35,22594246
27-Apr-16,467.00,468.95,460.05,466.60,21582084
26-Apr-16,459.90,473.45,456.90,469.40,29308512
25-Apr-16,465.30,466.64,457.15,459.55,22179796
22-Apr-16,470.10,470.90,463.60,466.50,20544330
21-Apr-16,469.85,476.85,469.85,471.90,30706215
20-Apr-16,453.00,466.50,450.55,465.40,37734265
19-Apr-16,451.80,457.60,451.00,454.05,25066496
18-Apr-16,444.85,449.35,440.75,448.30,20721337
15-Apr-16,449.05,453.65,448.10,450.50,27736452
14-Apr-16,449.95,453.05,443.85,451.00,29431746
13-Apr-16,426.40,448.10,426.35,448.10,39640246
12-Apr-16,417.75,420.30,414.48,420.10,28391352
11-Apr-16,419.15,422.30,416.10,418.25,18723255
8-Apr-16,417.40,421.15,416.80,417.77,19041334
7-Apr-16,420.00,421.60,413.95,416.15,17669246
6-Apr-16,417.75,420.60,414.50,419.90,31114025
5-Apr-16,425.00,425.50,415.75,417.50,36900143
4-Apr-16,431.55,433.70,428.50,430.70,20228264
1-Apr-16,431.20,433.10,427.50,432.00,29959823
31-Mar-16,435.00,437.35,431.65,433.90,33309794
30-Mar-16,435.75,440.90,435.30,437.05,27894128
29-Mar-16,436.85,440.75,429.70,432.50,26389367
24-Mar-16,444.00,444.95,437.55,438.30,28634193
23-Mar-16,449.45,450.95,444.45,448.10,21935066
22-Mar-16,447.70,450.15,443.15,447.90,34594990
21-Mar-16,451.55,453.85,447.25,449.00,22993539
18-Mar-16,445.40,453.60,445.40,448.80,48890498
17-Mar-16,457.80,458.55,442.55,449.20,28774316
16-Mar-16,455.00,459.20,451.90,457.20,24938493
15-Mar-16,451.10,454.05,449.05,452.95,24634499
14-Mar-16,454.40,456.80,448.96,452.55,24923221
11-Mar-16,454.10,455.90,448.92,451.35,34634654
10-Mar-16,453.70,462.90,445.46,445.50,44716477
9-Mar-16,452.10,470.25,449.65,450.25,31896451
