Date,Open,High,Low,Close,Volume
29-Nov-16,237.30,238.90,235.30,238.90,9717382
28-Nov-16,237.00,238.50,234.20,236.90,11383504
25-Nov-16,237.40,238.10,236.20,237.90,10201063
24-Nov-16,236.10,237.00,234.50,236.80,8526103
23-Nov-16,235.20,237.60,232.90,234.70,12362394
22-Nov-16,231.80,235.50,230.10,235.00,14731257
21-Nov-16,231.80,233.80,228.30,229.90,10884728
18-Nov-16,235.30,236.20,230.80,232.70,11602023
17-Nov-16,231.60,235.14,230.00,233.50,12357224
16-Nov-16,235.90,236.30,230.90,232.10,15438290
15-Nov-16,235.20,235.70,231.50,235.20,18180191
14-Nov-16,231.60,239.48,231.13,234.70,21969243
11-Nov-16,231.60,235.70,228.27,229.90,20101764
10-Nov-16,224.50,233.90,224.50,232.80,36071485
9-Nov-16,206.10,221.90,204.08,221.70,26348813
8-Nov-16,212.00,214.40,208.43,212.90,10082798
7-Nov-16,211.00,213.30,208.28,212.80,11112820
4-Nov-16,212.30,212.34,207.20,207.70,14879745
3-Nov-16,207.10,215.80,206.30,213.60,23181529
2-Nov-16,207.80,209.90,206.25,207.60,11712139
1-Nov-16,210.30,211.00,207.60,209.50,10510207
31-Oct-16,211.20,211.67,208.30,209.40,13474127
28-Oct-16,209.00,212.10,208.37,211.80,13469964
27-Oct-16,209.10,210.10,205.97,210.10,12513423
26-Oct-16,207.90,209.90,206.30,209.60,9356251
25-Oct-16,211.30,211.70,208.40,208.60,11681944
24-Oct-16,210.50,212.10,210.00,210.00,7266736
21-Oct-16,209.80,211.50,208.95,209.30,11589429
20-Oct-16,208.60,211.10,207.82,210.90,10041423
19-Oct-16,209.10,211.10,206.70,208.10,11667469
18-Oct-16,206.40,210.80,205.60,210.00,15970454
17-Oct-16,209.30,211.10,204.80,205.70,19686628
14-Oct-16,211.60,213.26,210.50,210.80,13758765
13-Oct-16,215.80,216.40,210.00,211.20,18191882
12-Oct-16,214.10,217.50,214.10,217.00,21756309
11-Oct-16,216.80,218.80,214.50,214.70,17093919
10-Oct-16,221.90,223.42,217.30,218.10,17523060
7-Oct-16,222.30,225.04,219.20,221.40,22175199
6-Oct-16,222.10,224.60,220.96,221.60,11147280
5-Oct-16,220.50,223.70,218.40,222.10,12804671
4-Oct-16,217.40,221.90,216.50,220.50,28803549
3-Oct-16,217.60,218.60,215.40,216.60,15085126
30-Sep-16,215.00,219.30,210.70,218.70,20400266
29-Sep-16,221.70,221.90,218.30,218.80,11532155
28-Sep-16,215.70,220.40,215.60,219.00,11373961
27-Sep-16,221.30,221.68,214.56,216.22,13507144
26-Sep-16,222.20,223.35,217.70,218.60,14152194
23-Sep-16,224.10,224.56,222.38,223.51,11343939
22-Sep-16,224.70,226.70,223.80,224.20,15680397
21-Sep-16,217.50,223.30,216.87,222.60,19281739
20-Sep-16,213.30,216.54,212.10,214.70,12716168
19-Sep-16,211.10,213.10,210.10,212.80,10132333
16-Sep-16,211.10,211.40,208.50,208.50,19960523
15-Sep-16,208.00,211.70,207.70,211.20,10411780
14-Sep-16,209.00,211.80,208.20,208.90,11046176
13-Sep-16,210.80,211.42,207.40,207.40,9278600
12-Sep-16,211.10,213.20,208.30,209.90,11322793
9-Sep-16,216.00,218.80,215.10,215.70,12546482
8-Sep-16,213.80,217.82,212.20,217.00,13312993
7-Sep-16,215.50,215.60,212.36,214.20,13203694
6-Sep-16,215.70,216.85,213.60,214.30,10210274
5-Sep-16,217.50,219.00,214.50,215.60,10728248
2-Sep-16,212.20,217.40,209.10,216.40,19341068
1-Sep-16,211.20,215.07,209.20,210.90,14018686
31-Aug-16,208.10,212.10,207.70,210.30,11281722
30-Aug-16,207.00,209.80,206.20,208.80,9735152
26-Aug-16,207.70,208.29,206.10,207.30,7969756
25-Aug-16,209.50,210.40,206.50,207.20,9629578
24-Aug-16,209.80,212.06,207.53,210.40,7753035
23-Aug-16,208.30,211.60,207.30,210.00,9993014
22-Aug-16,206.30,209.55,204.90,206.80,9226049
19-Aug-16,209.00,209.00,204.00,205.90,10785020
18-Aug-16,208.70,209.90,206.90,208.30,9487764
17-Aug-16,211.90,213.97,210.22,210.60,13002784
16-Aug-16,214.60,216.00,211.70,211.70,13529959
15-Aug-16,214.10,216.58,212.30,215.60,8171935
12-Aug-16,213.30,215.33,212.30,214.87,11197372
11-Aug-16,214.00,215.00,201.40,213.20,17836696
10-Aug-16,205.00,213.36,203.93,212.80,20099508
9-Aug-16,210.00,212.69,203.50,206.00,38930251
8-Aug-16,214.00,219.60,212.80,218.10,11967806
5-Aug-16,208.80,214.17,208.60,213.07,10374008
4-Aug-16,206.20,212.90,205.60,209.00,20998210
3-Aug-16,205.30,207.00,202.50,205.40,11012982
2-Aug-16,205.00,207.24,200.80,205.30,14335002
1-Aug-16,208.00,209.20,204.00,205.90,14846163
29-Jul-16,202.50,206.30,200.80,205.70,13968738
28-Jul-16,204.50,205.10,200.60,200.60,13063372
27-Jul-16,199.00,205.15,199.00,203.80,14051146
26-Jul-16,199.90,201.90,197.90,199.30,11164284
25-Jul-16,195.30,200.10,194.40,199.40,14780813
22-Jul-16,195.60,196.83,193.90,195.40,9797784
21-Jul-16,198.30,199.60,195.80,196.00,16319126
20-Jul-16,192.40,198.51,190.60,197.30,17042454
19-Jul-16,191.30,193.27,189.20,191.40,12904267
18-Jul-16,187.00,193.16,187.00,191.20,15421235
15-Jul-16,189.00,192.30,185.90,188.60,21049304
14-Jul-16,187.90,192.20,186.54,190.00,14332740
13-Jul-16,188.00,190.40,161.95,185.80,21241351
12-Jul-16,184.00,190.50,183.80,188.90,17080311
11-Jul-16,178.40,183.86,174.90,183.60,18853632
8-Jul-16,172.30,178.66,169.60,177.00,16033218
7-Jul-16,166.00,173.10,165.90,171.40,21523238
6-Jul-16,172.20,172.55,165.90,167.00,38072430
5-Jul-16,183.60,183.60,173.30,173.70,30135782
4-Jul-16,192.30,192.30,185.30,187.00,11473207
1-Jul-16,193.40,194.50,185.90,191.20,23515179
30-Jun-16,187.70,191.30,185.85,190.70,34056380
29-Jun-16,178.90,189.00,178.50,188.70,38144174
28-Jun-16,177.00,181.70,173.10,178.00,41637694
27-Jun-16,185.60,187.30,160.50,165.00,54512942
24-Jun-16,171.20,203.38,166.60,188.50,71163307
23-Jun-16,236.30,239.80,233.50,236.40,15438350
22-Jun-16,232.50,237.00,230.00,233.60,14528067
21-Jun-16,227.30,231.10,224.33,229.80,14400358
20-Jun-16,223.00,227.08,222.00,226.20,14884327
17-Jun-16,214.50,218.60,214.30,215.40,14073892
16-Jun-16,211.90,213.40,208.70,211.30,12118822
15-Jun-16,214.20,216.10,213.06,214.40,12325467
14-Jun-16,215.30,217.50,211.80,212.20,14700790
13-Jun-16,218.90,220.60,217.90,218.10,10311616
10-Jun-16,229.60,230.16,221.40,222.50,14839457
9-Jun-16,233.30,234.00,230.20,230.50,9551535
8-Jun-16,231.90,234.40,230.60,234.20,11839938
7-Jun-16,236.20,237.70,232.90,233.30,11223893
6-Jun-16,233.00,236.40,232.20,235.10,9537575
3-Jun-16,237.50,238.34,230.60,232.80,11362186
2-Jun-16,236.10,237.70,234.80,235.70,13772119
1-Jun-16,239.30,239.30,233.10,235.80,13556819
31-May-16,240.10,241.40,238.90,239.40,15894811
27-May-16,239.00,240.80,238.60,240.00,8430112
26-May-16,240.10,240.10,236.80,238.60,11842350
25-May-16,238.40,241.23,238.00,239.74,10664130
24-May-16,224.50,237.20,223.50,236.50,16893305
23-May-16,226.50,227.60,223.60,225.00,11380872
20-May-16,223.60,234.68,223.00,225.40,10778513
19-May-16,222.40,224.04,220.30,220.60,11469302
18-May-16,219.30,223.40,217.00,223.40,13540491
17-May-16,218.50,220.90,217.50,220.20,15768172
16-May-16,214.10,217.30,212.50,216.80,5911066
13-May-16,212.90,215.43,209.20,215.40,10798592
12-May-16,214.50,217.20,212.40,214.10,8372708
11-May-16,217.40,218.20,215.30,217.00,6961003
10-May-16,220.00,220.70,217.70,218.20,9458833
9-May-16,217.40,219.90,216.50,218.30,8033911
6-May-16,217.00,220.18,214.70,215.80,13969519
5-May-16,219.60,221.50,217.70,217.80,8871134
4-May-16,218.50,220.03,216.00,219.00,14016506
3-May-16,222.40,224.70,219.30,219.36,14286750
29-Apr-16,224.90,226.10,222.60,223.10,12503749
28-Apr-16,227.30,227.40,223.20,227.20,15391569
27-Apr-16,240.10,248.80,236.20,237.70,13442552
26-Apr-16,243.40,245.00,240.40,240.70,12139346
25-Apr-16,245.00,246.10,241.50,243.10,10538178
22-Apr-16,245.70,247.10,243.98,244.60,7726710
21-Apr-16,246.10,246.90,244.90,246.60,9387555
20-Apr-16,243.50,246.20,241.60,245.40,13000001
19-Apr-16,240.70,244.30,240.60,243.70,11790893
18-Apr-16,237.00,240.90,235.10,240.20,10057637
15-Apr-16,242.70,243.30,237.50,239.10,14023564
14-Apr-16,244.60,245.60,241.90,242.80,12092189
13-Apr-16,240.00,245.51,239.30,243.80,18173408
12-Apr-16,234.00,238.20,232.30,237.80,12958903
11-Apr-16,232.70,236.30,230.65,234.20,8597237
8-Apr-16,229.00,235.20,228.30,233.80,12576643
7-Apr-16,233.80,233.80,225.10,227.50,16386030
6-Apr-16,228.90,232.70,228.90,232.50,9431821
5-Apr-16,236.00,236.00,227.20,229.10,12281639
4-Apr-16,230.60,234.30,230.34,231.70,7224087
1-Apr-16,230.80,232.38,229.60,231.10,16157960
31-Mar-16,235.00,236.70,231.30,235.20,14603476
30-Mar-16,233.30,235.57,231.90,235.40,13742644
29-Mar-16,232.10,236.00,230.88,234.00,9744358
24-Mar-16,237.90,237.98,230.60,231.10,16025279
23-Mar-16,239.20,239.70,237.20,239.20,9662157
22-Mar-16,237.90,239.10,235.00,239.10,11088680
21-Mar-16,240.50,241.60,238.40,240.70,12289274
18-Mar-16,239.00,241.70,236.50,241.20,29128775
17-Mar-16,236.30,238.44,233.20,238.30,18479331
16-Mar-16,230.00,235.30,229.40,234.80,22649147
15-Mar-16,236.00,240.10,227.60,228.10,38534119
14-Mar-16,242.40,247.70,241.70,243.60,17393062
11-Mar-16,238.70,242.70,237.50,242.10,16804524
10-Mar-16,234.60,244.90,232.80,234.90,28245406
9-Mar-16,235.00,236.80,233.10,234.60,11061307
8-Mar-16,235.50,236.00,232.02,233.80,11949670
7-Mar-16,237.70,240.31,235.90,237.40,6484539
4-Mar-16,235.20,239.70,233.50,239.50,9185404
3-Mar-16,236.20,238.80,234.60,235.90,8790351
2-Mar-16,238.20,240.50,234.12,236.60,13843965
1-Mar-16,227.60,236.90,225.80,236.30,17352732
29-Feb-16,224.10,228.60,223.50,227.00,14146205
26-Feb-16,221.60,226.50,221.50,226.10,10597680
25-Feb-16,217.00,221.40,215.90,219.70,10930508
24-Feb-16,218.20,218.62,212.40,213.80,12622337
23-Feb-16,223.70,225.00,218.80,218.80,12109199
22-Feb-16,224.50,225.90,222.20,225.50,5002608
19-Feb-16,222.90,224.90,219.30,222.00,10750931
18-Feb-16,227.20,228.30,221.80,223.30,13682419
17-Feb-16,212.30,227.60,211.60,226.60,22857003
16-Feb-16,214.50,214.95,209.80,211.70,10436297
15-Feb-16,210.80,216.60,210.80,212.10,13031612
12-Feb-16,201.40,207.70,201.00,207.70,17970180
11-Feb-16,208.00,208.00,199.50,199.50,28859266
10-Feb-16,206.30,213.00,200.70,209.70,26545407
9-Feb-16,206.00,212.20,199.50,202.40,35000698
8-Feb-16,213.40,214.90,201.80,203.00,26968662
5-Feb-16,215.50,217.20,211.90,211.90,25500335
4-Feb-16,220.00,222.70,213.70,216.20,26393382
3-Feb-16,223.00,224.60,216.80,218.00,29142026
2-Feb-16,239.40,240.10,222.50,224.00,27570475
1-Feb-16,245.40,245.70,235.64,240.10,14642330
29-Jan-16,237.30,243.50,236.30,243.50,15252826
28-Jan-16,237.70,239.20,233.40,234.30,12923893
27-Jan-16,235.00,237.40,232.80,237.40,10584232
26-Jan-16,231.00,236.90,228.50,235.40,14702601
25-Jan-16,240.30,240.80,233.80,234.70,8775502
22-Jan-16,239.80,240.30,237.30,238.30,10924617
21-Jan-16,234.60,238.80,232.52,235.90,15326164
20-Jan-16,240.40,240.40,232.10,233.70,16108697
