Date,Open,High,Low,Close,Volume
29-Nov-16,713.50,718.00,710.50,715.50,499453
28-Nov-16,719.00,724.34,710.50,713.50,511839
25-Nov-16,723.50,728.66,719.50,722.50,327346
24-Nov-16,727.50,732.00,723.50,724.50,371584
23-Nov-16,738.00,744.00,725.00,728.50,524637
22-Nov-16,723.50,742.00,723.50,736.50,870013
21-Nov-16,743.00,743.00,724.00,730.00,661290
18-Nov-16,738.50,744.50,734.50,740.00,580285
17-Nov-16,731.00,740.50,731.00,738.50,433960
16-Nov-16,739.50,745.50,736.50,736.50,573886
15-Nov-16,738.00,739.50,730.85,736.50,564199
14-Nov-16,738.50,744.50,730.00,735.00,506555
11-Nov-16,737.50,740.50,724.50,732.00,544077
10-Nov-16,730.00,749.50,719.72,735.50,968383
9-Nov-16,708.00,727.00,691.00,727.00,1245408
8-Nov-16,725.50,729.50,717.50,722.00,579439
7-Nov-16,725.00,725.00,713.50,723.00,495319
4-Nov-16,729.00,730.74,707.00,709.00,1080360
3-Nov-16,707.50,741.00,705.50,728.00,1400586
2-Nov-16,725.00,725.00,699.90,703.50,1538330
1-Nov-16,736.00,737.00,716.00,725.50,1348231
31-Oct-16,736.50,740.50,726.50,730.50,857651
28-Oct-16,738.00,741.64,724.50,738.50,830931
27-Oct-16,741.00,744.50,734.50,739.00,757482
26-Oct-16,761.00,762.50,739.00,741.00,997509
25-Oct-16,735.00,780.00,729.88,755.50,1586045
24-Oct-16,887.50,893.64,854.83,855.00,2043853
21-Oct-16,884.50,893.30,883.00,884.00,473072
20-Oct-16,895.50,898.00,887.00,889.50,491025
19-Oct-16,888.00,900.50,883.50,889.00,579209
18-Oct-16,873.00,894.00,873.00,893.50,570026
17-Oct-16,875.50,880.50,867.50,870.00,454848
14-Oct-16,879.00,886.00,874.00,877.50,282523
13-Oct-16,876.00,884.00,868.00,876.00,672269
12-Oct-16,877.50,885.50,875.92,879.00,501101
11-Oct-16,874.00,888.50,874.00,878.50,391772
10-Oct-16,875.00,884.75,869.50,879.00,587626
7-Oct-16,874.50,885.10,870.00,877.50,696733
6-Oct-16,876.00,885.00,869.50,874.50,457362
5-Oct-16,867.00,876.00,861.90,875.00,613919
4-Oct-16,885.00,894.50,863.00,869.50,1547176
3-Oct-16,882.50,891.00,874.55,884.00,457517
30-Sep-16,865.50,884.50,859.50,879.50,705993
29-Sep-16,876.00,886.50,865.00,880.00,597762
28-Sep-16,845.00,870.00,835.50,867.50,936550
27-Sep-16,855.00,855.74,832.00,838.50,272091
26-Sep-16,860.00,860.00,841.50,849.00,320428
23-Sep-16,866.00,866.00,855.00,859.50,220246
22-Sep-16,869.50,877.00,864.00,865.50,285468
21-Sep-16,869.50,877.50,862.00,864.00,396289
20-Sep-16,851.50,867.00,851.50,860.50,295334
19-Sep-16,849.00,858.00,845.50,856.00,233949
16-Sep-16,839.50,854.00,838.40,844.00,780311
15-Sep-16,831.00,842.00,830.00,841.50,298311
14-Sep-16,828.00,836.50,827.50,829.50,457396
13-Sep-16,837.00,842.50,826.00,827.50,417661
12-Sep-16,823.00,828.50,819.00,826.00,382727
9-Sep-16,841.00,850.00,828.00,834.00,373028
8-Sep-16,847.50,856.13,838.50,848.50,378345
7-Sep-16,878.50,879.50,868.00,873.00,439643
6-Sep-16,881.50,886.24,871.00,874.00,257186
5-Sep-16,873.00,895.96,873.00,883.50,346497
2-Sep-16,871.00,891.92,866.00,888.00,656173
1-Sep-16,866.50,875.80,864.50,869.00,536949
31-Aug-16,852.00,875.00,852.00,869.00,584292
30-Aug-16,820.50,859.50,820.50,859.00,445663
26-Aug-16,822.00,849.00,822.00,842.50,448940
25-Aug-16,840.50,849.00,820.00,829.00,476758
24-Aug-16,846.00,850.57,840.50,845.00,317977
23-Aug-16,841.00,850.75,835.96,848.50,335778
22-Aug-16,825.50,836.00,822.44,832.50,237558
19-Aug-16,839.50,842.00,827.00,827.00,363774
18-Aug-16,830.50,837.50,830.50,834.50,208562
17-Aug-16,842.50,848.25,829.00,829.50,231295
16-Aug-16,847.50,854.00,843.50,843.50,402532
15-Aug-16,845.50,858.00,842.00,855.00,279451
12-Aug-16,840.00,849.00,840.00,847.00,161462
11-Aug-16,848.50,848.50,829.00,840.50,248821
10-Aug-16,828.00,842.00,828.00,837.50,427336
9-Aug-16,834.00,843.50,828.00,838.50,354602
