Date,Open,High,Low,Close,Volume
29-Nov-16,1693.00,1731.00,1686.76,1724.00,832845
28-Nov-16,1705.00,1711.00,1683.00,1691.00,860293
25-Nov-16,1737.00,1738.00,1698.00,1705.00,577338
24-Nov-16,1758.00,1761.00,1728.00,1729.00,515505
23-Nov-16,1775.00,1808.00,1714.00,1768.78,1371737
22-Nov-16,1766.00,1800.00,1758.00,1778.00,725482
21-Nov-16,1771.00,1786.45,1733.46,1748.00,614042
18-Nov-16,1769.00,1794.00,1761.00,1774.00,920040
17-Nov-16,1714.00,1763.00,1702.00,1763.00,1178691
16-Nov-16,1734.00,1749.45,1697.00,1710.00,1125419
15-Nov-16,1751.00,1770.00,1720.45,1741.75,877249
14-Nov-16,1705.00,1745.00,1700.00,1739.00,1462250
11-Nov-16,1680.00,1719.00,1666.00,1694.70,985652
10-Nov-16,1734.00,1759.00,1666.00,1680.00,1509326
9-Nov-16,1600.00,1718.00,1600.00,1717.00,1695536
8-Nov-16,1664.00,1690.00,1652.00,1663.00,1154943
7-Nov-16,1704.00,1704.00,1651.00,1688.00,1343782
4-Nov-16,1753.00,1757.25,1668.00,1677.00,1672792
3-Nov-16,1742.00,1802.00,1715.00,1758.00,1595690
2-Nov-16,1731.00,1776.00,1721.00,1751.00,1193753
1-Nov-16,1697.00,1741.00,1693.00,1737.00,1150624
31-Oct-16,1711.00,1721.00,1684.00,1694.00,1152768
28-Oct-16,1669.00,1727.12,1650.00,1714.00,1266014
27-Oct-16,1680.00,1697.00,1648.00,1671.00,1297162
26-Oct-16,1687.00,1692.00,1649.00,1692.00,1253077
25-Oct-16,1719.00,1726.00,1688.00,1693.00,744947
24-Oct-16,1740.00,1754.00,1716.00,1716.00,748707
21-Oct-16,1755.00,1761.11,1730.84,1731.00,871044
20-Oct-16,1780.00,1792.00,1742.72,1755.00,1065321
19-Oct-16,1723.00,1788.56,1719.64,1778.00,1286305
18-Oct-16,1676.00,1725.00,1669.50,1721.00,1116225
17-Oct-16,1699.00,1707.00,1661.85,1664.00,1274621
14-Oct-16,1721.00,1740.00,1698.00,1706.00,871413
13-Oct-16,1691.00,1762.00,1664.00,1723.00,1302100
12-Oct-16,1738.00,1760.08,1683.00,1691.00,1158401
11-Oct-16,1696.00,1749.00,1674.34,1728.00,1351812
10-Oct-16,1764.00,1772.72,1690.15,1701.00,1692615
7-Oct-16,1824.00,1824.00,1726.00,1753.00,1499464
6-Oct-16,1844.00,1853.00,1812.00,1823.00,994271
5-Oct-16,1851.00,1864.79,1838.00,1842.00,972374
4-Oct-16,1831.00,1893.00,1829.00,1859.00,1825458
3-Oct-16,1810.00,1854.00,1800.60,1826.10,1261550
30-Sep-16,1718.00,1815.00,1711.00,1815.00,1656256
29-Sep-16,1811.00,1826.00,1740.64,1741.00,1363697
28-Sep-16,1787.00,1816.00,1787.00,1806.00,876873
27-Sep-16,1785.00,1787.57,1761.00,1784.00,1064447
26-Sep-16,1829.00,1841.20,1764.00,1764.00,1210697
23-Sep-16,1826.00,1883.00,1818.00,1838.00,1327615
22-Sep-16,1796.00,1820.00,1787.00,1797.00,680691
21-Sep-16,1779.00,1824.00,1778.00,1781.00,1129965
20-Sep-16,1775.00,1775.00,1746.00,1766.00,1189820
19-Sep-16,1771.00,1779.00,1758.90,1772.00,508462
16-Sep-16,1772.00,1786.00,1741.00,1748.00,1462274
15-Sep-16,1738.00,1779.00,1723.37,1772.00,1376461
14-Sep-16,1795.00,1799.00,1747.86,1748.00,919652
13-Sep-16,1815.00,1822.00,1784.84,1790.00,712194
12-Sep-16,1784.00,1804.00,1771.00,1795.00,851700
9-Sep-16,1842.00,1865.00,1804.00,1816.00,1185506
8-Sep-16,1827.00,1866.00,1827.00,1853.00,1056907
7-Sep-16,1868.00,1881.00,1811.00,1832.00,1698446
6-Sep-16,1844.00,1893.00,1834.00,1870.00,1288285
5-Sep-16,1860.00,1876.00,1829.00,1838.00,1025306
2-Sep-16,1874.00,1879.00,1797.00,1860.00,1680798
1-Sep-16,1834.00,1900.00,1829.00,1870.00,1465834
31-Aug-16,1819.00,1847.00,1781.00,1824.00,1738032
30-Aug-16,1879.00,1892.00,1798.00,1833.00,1343707
26-Aug-16,1882.00,1910.00,1869.00,1883.00,914726
25-Aug-16,1901.00,1911.00,1858.00,1881.00,1128314
24-Aug-16,1863.00,1936.00,1861.00,1911.00,1294773
23-Aug-16,1830.00,1884.00,1814.00,1870.00,1610537
22-Aug-16,1756.00,1801.00,1746.00,1794.00,885295
19-Aug-16,1782.00,1782.00,1734.00,1748.00,830684
18-Aug-16,1761.00,1813.00,1753.00,1777.00,1161126
17-Aug-16,1740.00,1759.00,1725.00,1748.00,841421
16-Aug-16,1711.00,1754.00,1711.00,1736.00,718603
15-Aug-16,1747.00,1759.00,1692.00,1733.00,1103043
12-Aug-16,1690.00,1721.00,1672.00,1712.00,856091
11-Aug-16,1705.00,1705.00,1639.18,1697.00,1207042
10-Aug-16,1693.00,1706.44,1674.00,1695.00,982377
9-Aug-16,1692.00,1722.00,1667.00,1702.00,959796
8-Aug-16,1728.00,1762.00,1693.00,1694.00,1111457
5-Aug-16,1673.00,1732.00,1659.00,1723.00,1552461
4-Aug-16,1631.00,1699.64,1621.00,1672.00,1779431
3-Aug-16,1679.00,1688.00,1633.35,1636.00,1469977
2-Aug-16,1629.00,1692.00,1599.64,1684.00,1608863
1-Aug-16,1715.00,1719.00,1628.54,1640.00,782222
29-Jul-16,1694.00,1700.00,1678.00,1687.00,1164408
28-Jul-16,1688.00,1715.00,1656.00,1692.00,1931437
27-Jul-16,1602.00,1695.00,1601.00,1681.00,1296229
26-Jul-16,1635.00,1635.00,1573.55,1588.00,1077435
25-Jul-16,1598.00,1635.00,1590.00,1625.95,1032529
22-Jul-16,1623.00,1630.00,1584.00,1598.00,1235018
21-Jul-16,1649.00,1658.00,1614.05,1633.00,1215476
20-Jul-16,1617.00,1659.00,1601.00,1650.00,1953963
19-Jul-16,1600.00,1622.00,1580.56,1611.00,1439156
18-Jul-16,1578.00,1618.00,1560.00,1605.00,1435911
15-Jul-16,1552.00,1588.00,1536.00,1571.00,2011720
14-Jul-16,1568.00,1595.00,1530.00,1549.00,2197030
13-Jul-16,1537.00,1566.00,1490.17,1553.00,2036698
12-Jul-16,1548.00,1602.00,1514.72,1548.00,2824207
11-Jul-16,1432.00,1531.00,1430.80,1521.00,3201087
8-Jul-16,1334.00,1429.00,1328.00,1398.40,2846930
7-Jul-16,1311.00,1397.00,1300.00,1337.00,3856981
6-Jul-16,1329.00,1340.06,1282.00,1289.00,3165624
5-Jul-16,1458.00,1459.06,1326.00,1332.00,3000084
4-Jul-16,1550.00,1559.58,1435.00,1435.00,2249783
1-Jul-16,1455.00,1546.00,1433.00,1540.00,2095438
30-Jun-16,1441.00,1447.00,1383.00,1447.00,2638334
29-Jun-16,1365.00,1444.00,1348.00,1444.00,2698143
28-Jun-16,1360.00,1423.00,1306.27,1344.00,4673239
27-Jun-16,1494.00,1520.00,1170.00,1310.00,5984987
24-Jun-16,1250.00,1783.00,1249.81,1520.00,5325093
23-Jun-16,2091.00,2128.00,2068.00,2098.00,1004679
22-Jun-16,2061.00,2094.85,2052.00,2086.00,1302413
21-Jun-16,2049.00,2081.00,2017.56,2046.00,865984
20-Jun-16,1980.00,2058.00,1980.00,2056.00,1247890
17-Jun-16,1875.00,1945.00,1872.00,1942.00,1809127
16-Jun-16,1882.00,1916.00,1868.00,1868.00,979998
15-Jun-16,1907.00,1923.00,1892.00,1904.00,1454533
14-Jun-16,1938.00,1955.00,1889.00,1889.00,929172
13-Jun-16,1964.00,1971.00,1930.62,1939.00,716793
10-Jun-16,2015.00,2023.00,1971.00,1976.00,593031
9-Jun-16,2011.00,2026.00,1929.00,2019.00,763402
8-Jun-16,1998.00,2028.00,1994.06,2024.00,787923
