Date,Open,High,Low,Close,Volume
29-Nov-16,2069.00,2071.00,2012.00,2031.50,4272958
28-Nov-16,2095.50,2098.21,2059.50,2072.00,5870842
25-Nov-16,2108.00,2119.00,2099.02,2111.00,3400496
24-Nov-16,2111.50,2117.50,2101.00,2117.50,2468228
23-Nov-16,2126.50,2135.50,2098.00,2106.00,3305142
22-Nov-16,2117.00,2162.48,2104.00,2110.00,4054339
21-Nov-16,2082.50,2123.50,2079.49,2100.00,3847438
18-Nov-16,2078.00,2091.00,2040.50,2069.50,5315173
17-Nov-16,2073.50,2089.00,2046.50,2079.50,4071799
16-Nov-16,2084.00,2086.00,2049.50,2066.00,4353443
15-Nov-16,2043.50,2084.50,2014.87,2076.50,5733108
14-Nov-16,2052.00,2058.00,2006.00,2017.50,4919041
11-Nov-16,2133.50,2147.00,2028.00,2038.00,5991027
10-Nov-16,2156.50,2207.85,2129.00,2135.50,5156520
9-Nov-16,2108.50,2163.50,2099.00,2163.50,6827720
8-Nov-16,2145.50,2170.08,2140.00,2165.00,3751835
7-Nov-16,2132.00,2136.50,2115.00,2135.50,3964232
4-Nov-16,2110.00,2111.50,2076.00,2090.50,4376991
3-Nov-16,2160.00,2176.50,2110.50,2110.50,4657807
2-Nov-16,2191.00,2202.50,2136.00,2136.50,4803695
1-Nov-16,2184.00,2217.50,2176.50,2199.00,7362300
31-Oct-16,2137.00,2144.50,2110.95,2115.00,6067774
28-Oct-16,2150.50,2167.00,2127.00,2155.00,3658316
27-Oct-16,2134.00,2170.55,2121.00,2170.50,3985620
26-Oct-16,2171.50,2174.50,2117.50,2135.50,4477846
25-Oct-16,2164.00,2199.50,2164.00,2182.50,3473525
24-Oct-16,2182.50,2192.50,2163.50,2163.50,3386539
21-Oct-16,2170.00,2174.50,2161.50,2168.50,3330200
20-Oct-16,2171.00,2185.00,2160.50,2179.45,3300324
19-Oct-16,2154.00,2173.00,2141.00,2164.50,3280184
18-Oct-16,2170.00,2177.95,2142.50,2145.00,5010051
17-Oct-16,2177.00,2179.50,2140.10,2147.39,6424672
14-Oct-16,2170.00,2213.00,2167.16,2184.50,3500718
13-Oct-16,2178.00,2181.00,2153.00,2176.50,3913010
12-Oct-16,2201.50,2217.00,2184.50,2187.00,4561089
11-Oct-16,2222.50,2251.50,2205.00,2212.00,4888014
10-Oct-16,2172.00,2234.73,2167.00,2227.00,6747888
7-Oct-16,2141.00,2188.50,2128.00,2167.50,6333850
6-Oct-16,2130.00,2140.50,2118.50,2122.00,4986283
5-Oct-16,2101.00,2127.00,2091.43,2125.00,4462962
4-Oct-16,2057.00,2130.41,2053.00,2097.50,11813781
3-Oct-16,2015.50,2057.50,2009.50,2044.00,4104754
30-Sep-16,1997.50,2013.00,1978.50,1997.00,5544227
29-Sep-16,1994.50,2022.00,1987.50,2022.00,6320665
28-Sep-16,1890.00,1914.50,1890.00,1895.50,4197129
27-Sep-16,1934.00,1940.00,1878.50,1882.50,4130513
26-Sep-16,1930.00,1937.62,1916.91,1931.13,3114304
23-Sep-16,1946.00,1970.00,1937.65,1954.00,3940863
22-Sep-16,1932.00,1975.50,1931.00,1950.50,5262314
21-Sep-16,1918.00,1926.50,1908.58,1917.50,4333177
20-Sep-16,1911.00,1932.50,1902.50,1910.00,4059379
19-Sep-16,1906.50,1931.08,1901.00,1922.00,4298898
16-Sep-16,1890.00,1900.08,1873.50,1888.50,10468790
15-Sep-16,1880.00,1895.00,1869.25,1888.50,4224087
14-Sep-16,1911.50,1921.50,1887.00,1890.50,4415279
13-Sep-16,1936.50,1942.00,1905.00,1906.50,4624094
12-Sep-16,1930.00,1937.00,1913.21,1929.50,5067830
