Date,Open,High,Low,Close,Volume
29-Nov-16,3100.00,3100.00,3029.00,3067.00,3181191
28-Nov-16,3149.00,3158.58,3095.50,3140.00,3323351
25-Nov-16,3190.00,3190.00,3096.50,3113.00,2725179
24-Nov-16,3100.00,3118.00,3065.50,3103.00,2807649
23-Nov-16,3125.00,3138.50,3021.50,3099.50,3919859
22-Nov-16,3085.00,3085.00,3038.00,3073.00,3806169
21-Nov-16,2982.50,3000.50,2939.50,2969.50,3174117
18-Nov-16,2976.00,2981.00,2919.00,2934.00,3626330
17-Nov-16,2990.00,3022.00,2968.00,3021.00,3902394
16-Nov-16,3024.00,3047.00,2963.23,2963.50,4572475
15-Nov-16,3095.00,3098.88,2982.50,3002.78,5918823
14-Nov-16,3112.00,3180.00,3071.00,3145.50,4666016
11-Nov-16,3151.00,3172.50,3028.00,3069.00,5272411
10-Nov-16,3155.00,3217.00,3121.50,3147.50,8023785
9-Nov-16,2798.00,3069.42,2775.00,3068.50,7920255
8-Nov-16,2836.00,2878.50,2818.82,2872.00,3337962
7-Nov-16,2798.00,2836.50,2797.00,2825.00,3309175
4-Nov-16,2765.00,2792.06,2709.50,2727.50,4066605
3-Nov-16,2792.50,2815.57,2764.50,2788.50,3418221
2-Nov-16,2816.50,2845.50,2797.00,2830.00,3271700
1-Nov-16,2863.00,2890.00,2833.50,2844.00,3343466
31-Oct-16,2822.00,2856.50,2818.83,2839.50,2629681
28-Oct-16,2801.00,2832.00,2771.50,2831.50,3089801
27-Oct-16,2763.00,2806.00,2752.00,2796.50,2935573
26-Oct-16,2768.00,2791.00,2756.00,2791.00,3140542
25-Oct-16,2721.00,2818.50,2721.00,2796.00,5119451
24-Oct-16,2695.00,2734.50,2671.00,2675.50,3209825
21-Oct-16,2625.00,2677.50,2616.00,2668.50,3370873
20-Oct-16,2635.00,2662.50,2588.50,2618.50,2019412
19-Oct-16,2620.00,2637.00,2592.00,2623.50,2132950
18-Oct-16,2616.50,2654.50,2609.00,2615.50,3401679
17-Oct-16,2607.50,2623.00,2581.50,2588.50,3244571
14-Oct-16,2652.50,2664.64,2593.10,2596.00,3556131
13-Oct-16,2600.00,2623.00,2550.05,2576.00,5896663
12-Oct-16,2704.50,2719.00,2656.50,2707.50,3883494
11-Oct-16,2744.00,2800.00,2673.50,2679.50,4982322
10-Oct-16,2692.50,2736.00,2677.00,2732.50,3288034
7-Oct-16,2645.00,2717.00,2613.68,2676.50,4109110
6-Oct-16,2647.00,2647.00,2605.50,2619.50,2619306
5-Oct-16,2612.50,2642.50,2590.50,2640.50,3098117
4-Oct-16,2622.00,2685.50,2592.07,2619.00,5672157
3-Oct-16,2561.00,2618.00,2561.00,2606.50,2840506
30-Sep-16,2584.00,2614.63,2560.00,2574.50,4659448
29-Sep-16,2596.50,2635.00,2575.50,2634.00,4983758
28-Sep-16,2490.00,2545.50,2482.00,2525.50,4223183
27-Sep-16,2500.50,2515.00,2434.50,2460.00,3142185
26-Sep-16,2510.00,2525.00,2473.00,2483.50,3286257
23-Sep-16,2450.00,2521.00,2449.50,2519.00,3146600
22-Sep-16,2524.50,2524.50,2434.82,2498.61,4820382
21-Sep-16,2390.50,2424.08,2368.38,2411.00,3324664
20-Sep-16,2366.00,2398.00,2353.50,2360.00,2948089
19-Sep-16,2305.50,2365.50,2305.50,2359.00,3271770
16-Sep-16,2280.50,2302.50,2260.50,2279.50,4050206
15-Sep-16,2270.00,2301.00,2258.00,2297.00,4202813
14-Sep-16,2273.00,2320.00,2263.00,2277.00,3282179
13-Sep-16,2291.00,2318.00,2253.50,2257.00,3349116
12-Sep-16,2292.50,2305.00,2256.00,2294.50,4308199
9-Sep-16,2365.50,2398.00,2337.00,2350.00,2890984
8-Sep-16,2337.00,2387.00,2326.00,2369.50,4246639
7-Sep-16,2330.00,2336.50,2296.00,2334.00,2834678
6-Sep-16,2332.50,2356.00,2313.00,2322.32,2120577
5-Sep-16,2340.00,2370.50,2318.50,2327.00,1939027
2-Sep-16,2318.50,2347.00,2287.00,2327.00,4450331
1-Sep-16,2315.00,2339.00,2274.00,2299.00,4314160
31-Aug-16,2314.00,2331.00,2281.50,2301.00,5363110
30-Aug-16,2397.50,2409.50,2345.00,2350.50,3914183
26-Aug-16,2404.50,2471.50,2401.50,2467.50,4194804
25-Aug-16,2375.00,2398.50,2336.00,2389.00,3294940
24-Aug-16,2434.00,2437.00,2380.00,2390.00,3124164
23-Aug-16,2400.00,2454.50,2386.79,2450.00,2619037
22-Aug-16,2435.00,2435.00,2365.50,2386.50,3217565
19-Aug-16,2470.00,2473.00,2420.00,2446.00,2266980
18-Aug-16,2466.00,2492.00,2459.00,2465.00,2681376
17-Aug-16,2484.00,2497.00,2411.67,2436.50,2523326
16-Aug-16,2442.00,2522.00,2442.00,2486.50,4319291
15-Aug-16,2402.00,2442.50,2397.00,2435.50,2199380
12-Aug-16,2494.00,2509.50,2401.50,2409.00,4604029
11-Aug-16,2484.50,2516.00,2445.00,2489.00,3419235
10-Aug-16,2520.00,2536.40,2492.50,2501.00,3049311
9-Aug-16,2528.50,2542.00,2507.73,2525.00,3486898
8-Aug-16,2511.00,2562.50,2457.00,2525.50,2954653
5-Aug-16,2472.50,2517.00,2456.50,2484.50,5045128
4-Aug-16,2399.00,2441.50,2374.00,2420.50,4586942
3-Aug-16,2452.00,2462.00,2403.50,2423.00,3631847
2-Aug-16,2440.00,2496.50,2421.00,2441.50,3450344
1-Aug-16,2484.00,2519.50,2475.00,2486.00,3771590
29-Jul-16,2450.00,2466.50,2417.50,2461.50,4126110
28-Jul-16,2475.50,2507.50,2415.98,2460.50,3406149
27-Jul-16,2445.00,2493.00,2438.00,2456.50,3221864
26-Jul-16,2371.50,2426.00,2370.00,2423.00,3033116
25-Jul-16,2372.50,2394.50,2331.50,2350.50,2090828
22-Jul-16,2369.50,2383.50,2324.50,2363.00,2699321
21-Jul-16,2355.00,2405.50,2352.00,2377.00,3973037
20-Jul-16,2346.00,2355.00,2298.00,2339.00,4003800
19-Jul-16,2440.00,2440.00,2355.00,2377.00,5157072
18-Jul-16,2425.00,2469.00,2410.73,2462.50,3062190
15-Jul-16,2490.00,2496.50,2445.00,2469.50,3860115
14-Jul-16,2489.50,2543.00,2480.50,2490.50,3666554
13-Jul-16,2485.00,2543.00,2460.50,2460.50,5322886
12-Jul-16,2445.00,2497.50,2432.50,2486.50,4658151
11-Jul-16,2416.00,2462.00,2412.00,2445.00,4048242
8-Jul-16,2377.50,2405.00,2341.00,2368.00,4125653
7-Jul-16,2361.50,2394.45,2334.00,2370.90,3692785
6-Jul-16,2318.50,2396.00,2270.50,2330.00,4712678
5-Jul-16,2351.50,2368.00,2292.00,2326.50,3857265
4-Jul-16,2392.00,2407.00,2354.00,2356.00,2819125
1-Jul-16,2313.00,2351.50,2286.00,2345.00,3676191
30-Jun-16,2214.50,2296.00,2179.00,2294.00,5885444
29-Jun-16,2166.00,2216.50,2150.00,2216.50,4433072
28-Jun-16,2134.00,2166.50,2025.00,2132.50,4476920
27-Jun-16,2105.00,2125.92,2061.00,2085.50,5594661
24-Jun-16,1932.00,2119.00,1932.00,2077.50,7721114
23-Jun-16,2071.00,2127.00,2051.50,2090.00,3508341
22-Jun-16,2058.00,2086.00,2021.50,2067.50,4134679
21-Jun-16,2003.50,2043.50,1990.00,2026.08,3254927
20-Jun-16,2054.00,2055.00,2013.50,2040.50,3429402
17-Jun-16,1960.00,2018.00,1958.00,2005.50,5766895
16-Jun-16,1938.50,1962.00,1926.00,1955.00,4407163
15-Jun-16,1911.50,1993.00,1911.50,1969.50,4930104
14-Jun-16,1933.50,1957.50,1891.00,1895.50,4692032
13-Jun-16,1922.50,1964.50,1922.50,1951.50,3593151
10-Jun-16,1960.00,1973.50,1922.34,1942.00,3809589
9-Jun-16,2040.00,2060.00,1961.00,1967.50,3730025
8-Jun-16,2009.00,2064.50,2008.81,2040.00,3704590
7-Jun-16,2032.50,2077.00,2001.00,2014.00,4572702
6-Jun-16,1970.50,2032.00,1964.00,2015.50,6009190
3-Jun-16,1883.50,1912.00,1876.50,1895.00,4768284
2-Jun-16,1875.00,1890.00,1853.00,1865.50,4163668
1-Jun-16,1928.50,1930.00,1858.50,1868.00,7576523
31-May-16,1977.00,2010.91,1932.50,1942.50,5096725
27-May-16,1982.00,2018.00,1943.50,1964.00,3813040
26-May-16,2010.50,2035.00,1958.50,1969.00,3537057
25-May-16,1992.00,2005.00,1950.50,1982.50,3188320
24-May-16,1935.00,1987.00,1926.00,1963.00,3569907
23-May-16,1940.00,1950.00,1910.50,1944.00,3332403
20-May-16,1966.50,1999.00,1952.00,1952.50,3374930
19-May-16,1930.00,1942.00,1885.50,1939.50,6155479
18-May-16,2008.00,2010.00,1949.50,1993.50,4042493
17-May-16,2031.50,2071.00,1989.00,2034.00,4385187
16-May-16,1980.00,2048.50,1980.00,2012.00,2826928
13-May-16,1948.50,1999.00,1929.00,1992.00,4559397
12-May-16,2025.00,2034.00,1953.50,1972.00,4951635
11-May-16,2006.50,2050.50,1999.50,2031.50,4184871
10-May-16,1975.50,2018.00,1938.50,2001.00,5330249
9-May-16,2065.00,2065.00,1954.50,1964.50,7245475
6-May-16,2099.00,2142.00,2051.00,2133.50,4664370
5-May-16,2113.00,2142.50,2079.50,2114.50,3013023
4-May-16,2115.00,2144.50,2092.50,2102.00,6823702
3-May-16,2233.00,2248.50,2136.00,2154.50,7719666
29-Apr-16,2300.00,2355.00,2282.00,2300.50,4711603
28-Apr-16,2227.50,2332.50,2223.00,2329.50,6276188
