Date,Open,High,Low,Close,Volume
29-Nov-16,331.20,340.34,330.10,336.60,926901
28-Nov-16,336.00,338.10,329.87,333.10,838712
25-Nov-16,342.30,347.55,338.40,343.20,623554
24-Nov-16,364.00,365.00,343.60,343.60,998589
23-Nov-16,367.00,373.60,357.10,357.70,763408
22-Nov-16,363.50,371.10,363.50,368.00,417249
21-Nov-16,374.60,376.50,364.10,364.90,507087
18-Nov-16,371.20,376.40,368.60,374.40,540673
17-Nov-16,364.90,376.70,363.50,369.80,449070
16-Nov-16,372.00,373.70,364.20,365.50,374160
15-Nov-16,378.50,378.50,366.20,368.70,682023
14-Nov-16,375.60,383.10,369.20,374.60,421146
11-Nov-16,380.00,380.00,371.10,372.40,620161
10-Nov-16,368.50,383.80,368.50,377.40,759411
9-Nov-16,354.50,370.80,349.50,368.30,688514
8-Nov-16,370.00,371.40,356.40,361.90,439653
7-Nov-16,364.50,368.20,358.80,368.10,470199
4-Nov-16,370.60,370.60,355.80,360.10,772886
3-Nov-16,371.70,384.70,366.60,369.90,1251537
2-Nov-16,385.40,392.40,373.76,375.10,1101581
1-Nov-16,379.60,385.90,372.10,383.60,1097591
31-Oct-16,374.90,379.32,369.10,375.50,508334
28-Oct-16,372.50,380.90,369.40,379.20,541194
27-Oct-16,377.20,380.82,371.30,376.10,509022
26-Oct-16,380.70,381.30,370.30,380.90,575583
25-Oct-16,389.00,392.00,375.70,379.80,588499
24-Oct-16,389.50,393.60,382.92,386.40,532770
21-Oct-16,387.90,392.50,383.40,391.20,788384
20-Oct-16,389.00,390.50,379.90,384.70,818507
19-Oct-16,385.00,386.10,376.60,383.30,888249
18-Oct-16,357.30,386.90,357.20,384.60,1186139
17-Oct-16,361.10,362.90,353.00,353.40,612579
14-Oct-16,357.30,362.30,357.22,359.70,431881
13-Oct-16,352.70,362.30,349.00,357.20,788456
12-Oct-16,363.40,367.80,352.60,354.91,657965
11-Oct-16,351.10,364.00,344.10,361.90,852637
10-Oct-16,358.00,359.70,349.70,350.60,1037083
7-Oct-16,371.80,372.56,353.90,358.00,993676
6-Oct-16,380.70,380.70,367.10,371.30,834270
5-Oct-16,387.20,388.40,379.10,380.40,438289
4-Oct-16,381.30,396.30,381.01,387.90,1159098
3-Oct-16,381.20,388.20,378.10,383.50,536134
30-Sep-16,371.20,386.10,371.20,384.30,745192
29-Sep-16,384.60,384.60,371.20,378.60,792316
28-Sep-16,376.40,385.30,370.43,381.20,514777
27-Sep-16,380.00,380.00,368.30,373.80,1142753
26-Sep-16,389.20,389.20,374.30,377.10,1082710
23-Sep-16,385.30,410.10,381.70,384.60,939191
22-Sep-16,391.00,391.00,379.30,384.40,1117772
21-Sep-16,390.60,394.40,384.70,386.00,1104157
20-Sep-16,391.20,396.00,387.90,390.60,637013
19-Sep-16,397.90,397.90,389.22,395.10,1296174
16-Sep-16,390.90,394.00,380.90,391.30,1510058
15-Sep-16,379.20,386.30,376.60,386.00,1051981
14-Sep-16,387.70,393.20,378.80,386.00,1282721
13-Sep-16,395.80,398.10,385.60,388.30,1538005
12-Sep-16,397.40,397.40,387.30,395.00,1721350
9-Sep-16,402.10,406.70,398.60,398.80,1181194
8-Sep-16,388.30,405.00,388.30,400.30,1244579
7-Sep-16,377.60,392.00,377.60,387.90,1354689
6-Sep-16,379.40,382.80,372.70,382.10,787606
5-Sep-16,381.30,384.10,374.10,381.00,744957
2-Sep-16,378.20,383.75,372.59,381.20,1234737
1-Sep-16,370.20,380.60,361.90,376.50,2458879
31-Aug-16,387.90,393.40,367.50,372.50,4983133
30-Aug-16,427.80,429.00,394.60,396.00,3130815
26-Aug-16,425.00,437.50,404.91,427.70,4999299
25-Aug-16,415.00,417.20,401.30,407.40,1793593
24-Aug-16,418.40,428.00,416.00,417.50,1591254
23-Aug-16,417.90,424.60,415.39,422.90,1530937
22-Aug-16,424.80,426.67,418.60,421.33,1160227
19-Aug-16,424.00,434.80,423.80,423.80,1065051
18-Aug-16,421.20,436.00,418.70,427.40,1247374
17-Aug-16,410.00,424.27,410.00,420.80,780564
16-Aug-16,410.30,420.30,410.00,410.00,915088
15-Aug-16,426.40,427.20,410.10,414.10,999754
