Date,Open,High,Low,Close,Volume
29-Nov-16,344.70,347.90,341.60,347.80,2755170
28-Nov-16,343.60,345.12,339.00,343.60,2865437
25-Nov-16,353.20,353.22,344.90,345.80,2589853
24-Nov-16,354.60,354.60,348.90,353.60,1646679
23-Nov-16,353.10,357.00,349.60,352.00,2893389
22-Nov-16,346.00,355.80,344.80,353.40,3271483
21-Nov-16,343.20,346.20,341.20,342.80,3242640
18-Nov-16,348.50,350.00,335.80,342.80,5410433
17-Nov-16,347.70,351.94,345.40,347.90,2297781
16-Nov-16,355.70,359.70,346.90,347.40,3807868
15-Nov-16,364.40,365.20,352.90,355.00,4318529
14-Nov-16,367.60,370.60,360.40,363.70,3888109
11-Nov-16,365.50,377.40,350.00,363.70,4763199
10-Nov-16,357.40,370.50,357.40,362.20,5991505
9-Nov-16,326.50,354.10,322.76,353.70,7152018
8-Nov-16,337.80,341.90,336.10,341.90,2052478
7-Nov-16,337.40,341.62,335.14,339.10,2964878
4-Nov-16,337.80,339.40,330.70,331.30,4596931
3-Nov-16,334.30,347.70,333.20,341.70,4210079
2-Nov-16,337.70,338.60,333.80,334.90,3051900
1-Nov-16,337.30,340.00,334.10,339.40,3288080
31-Oct-16,337.80,338.93,336.10,337.80,2892555
28-Oct-16,337.10,340.80,334.30,340.00,3819215
27-Oct-16,335.40,339.20,333.10,339.20,2458590
26-Oct-16,337.70,340.40,332.90,336.60,2516086
25-Oct-16,342.60,343.60,338.40,339.80,2769953
24-Oct-16,339.90,344.10,339.20,341.40,3267410
21-Oct-16,332.60,339.00,332.60,336.70,4771084
20-Oct-16,332.40,334.70,330.20,334.00,3084638
19-Oct-16,326.50,332.00,324.60,330.50,3814648
18-Oct-16,326.30,331.12,325.60,326.60,5202234
17-Oct-16,336.60,338.50,324.11,324.60,5545755
14-Oct-16,332.70,340.40,331.90,337.10,3290905
13-Oct-16,342.00,342.00,326.18,331.20,6630047
12-Oct-16,346.20,351.90,345.05,348.90,2737953
11-Oct-16,350.50,351.70,345.40,345.90,2741884
10-Oct-16,362.50,362.50,350.50,351.40,3139581
7-Oct-16,358.50,362.20,354.20,355.40,3885178
6-Oct-16,361.60,364.50,355.90,356.50,2957299
5-Oct-16,357.70,360.90,351.64,360.00,3744258
4-Oct-16,348.00,361.20,346.90,358.50,7556231
3-Oct-16,344.90,349.60,343.00,347.30,2440650
30-Sep-16,337.20,344.70,332.50,343.90,3313025
29-Sep-16,345.20,348.10,343.87,345.10,2154460
28-Sep-16,338.00,345.64,337.40,343.30,2794600
27-Sep-16,345.50,345.50,335.17,337.60,3445012
26-Sep-16,351.50,351.50,342.30,342.30,2782893
23-Sep-16,357.80,359.00,352.82,353.20,2549697
22-Sep-16,356.40,359.30,354.40,358.00,2421477
21-Sep-16,354.70,357.20,350.60,355.20,2820423
20-Sep-16,342.10,350.16,340.60,348.20,3604729
19-Sep-16,344.10,345.80,340.96,342.50,2480484
16-Sep-16,343.30,348.54,339.60,339.80,6540327
15-Sep-16,334.10,343.62,332.60,343.60,3547869
14-Sep-16,335.90,341.58,332.10,334.50,3241763
13-Sep-16,344.30,344.40,334.10,334.70,3645859
12-Sep-16,346.50,346.90,339.38,342.10,4792976
9-Sep-16,355.00,358.70,351.78,353.90,3618376
8-Sep-16,354.40,357.80,350.30,356.50,4381218
7-Sep-16,370.00,370.00,359.77,361.40,5772904
6-Sep-16,369.60,369.60,360.20,361.90,5218782
5-Sep-16,375.10,375.10,366.76,368.00,3358903
2-Sep-16,366.10,375.10,360.60,373.40,4997526
1-Sep-16,365.00,370.60,361.50,364.10,3763299
31-Aug-16,357.60,366.90,357.50,364.50,5725984
30-Aug-16,354.90,361.80,353.79,358.50,2881054
26-Aug-16,355.10,357.30,352.00,353.70,2660539
25-Aug-16,356.40,356.90,352.70,354.00,2877284
24-Aug-16,357.50,359.50,353.10,357.80,2408490
23-Aug-16,353.30,361.70,351.40,359.50,4171812
22-Aug-16,352.20,356.30,349.00,349.90,3894300
19-Aug-16,353.70,353.70,348.10,352.90,3511494
18-Aug-16,356.00,357.20,349.70,352.20,3910930
17-Aug-16,358.10,361.74,352.94,353.80,3605003
16-Aug-16,354.90,357.70,352.40,355.30,4547474
15-Aug-16,355.00,357.60,352.10,356.60,3646570
12-Aug-16,350.40,356.40,350.40,354.30,6084382
11-Aug-16,345.30,351.00,338.20,351.00,5913982
10-Aug-16,335.20,344.70,332.30,343.40,6006391
9-Aug-16,319.00,341.70,316.20,340.00,7811044
8-Aug-16,314.80,323.00,314.40,318.50,5385445
5-Aug-16,305.40,314.70,305.00,314.70,4201734
4-Aug-16,300.90,308.30,298.78,305.30,3733615
3-Aug-16,297.90,300.70,294.10,300.20,2769708
2-Aug-16,299.90,300.62,292.38,297.90,4067420
1-Aug-16,306.20,307.40,297.80,300.10,4086429
29-Jul-16,293.90,303.20,290.90,302.90,5062121
28-Jul-16,298.10,298.90,292.20,292.20,3299018
27-Jul-16,292.60,298.60,292.20,297.50,3268105
26-Jul-16,290.60,295.00,289.50,293.60,3843211
25-Jul-16,288.20,293.20,287.20,291.10,3316314
22-Jul-16,289.40,290.00,286.70,288.00,2527801
21-Jul-16,291.50,293.70,287.80,289.50,3244453
20-Jul-16,286.50,291.10,283.40,290.60,2934813
19-Jul-16,287.00,288.30,280.30,284.50,2941578
18-Jul-16,284.50,290.20,283.00,287.10,3055754
15-Jul-16,288.10,291.20,283.80,284.50,5142500
14-Jul-16,284.90,292.00,282.00,288.00,5798327
13-Jul-16,283.00,286.50,262.63,282.30,7050433
12-Jul-16,277.30,285.90,276.30,283.00,5398590
11-Jul-16,272.00,278.10,267.90,276.30,3985339
8-Jul-16,263.00,272.00,262.30,270.00,5912561
7-Jul-16,266.40,268.10,263.00,264.00,4410145
6-Jul-16,269.00,271.10,258.80,262.10,5699656
5-Jul-16,284.50,285.00,270.40,271.60,6853730
4-Jul-16,301.40,301.80,284.60,286.50,4274614
1-Jul-16,298.20,300.90,291.90,300.00,4873241
30-Jun-16,288.20,295.01,282.00,293.60,7213692
29-Jun-16,283.80,288.00,278.30,288.00,6977210
28-Jun-16,274.30,279.80,270.70,276.80,7084004
27-Jun-16,280.00,286.94,258.80,265.80,13213836
24-Jun-16,296.00,300.00,248.20,283.90,15907624
23-Jun-16,343.20,349.70,339.00,343.30,5234724
22-Jun-16,333.10,343.50,329.10,340.70,5432707
21-Jun-16,322.10,331.70,319.83,331.40,5256593
20-Jun-16,316.50,323.70,316.20,323.30,3894535
17-Jun-16,300.50,309.20,299.80,307.40,6248725
16-Jun-16,298.00,300.50,295.10,298.20,3507150
15-Jun-16,303.10,305.80,301.20,302.30,3861118
14-Jun-16,306.80,308.00,300.80,301.00,4818828
13-Jun-16,311.70,313.40,308.70,309.10,4069388
10-Jun-16,330.30,330.30,316.20,316.20,6027014
9-Jun-16,329.80,332.50,326.30,330.60,5350037
3-Jun-16,336.10,336.90,325.90,327.20,2995264
2-Jun-16,335.00,337.30,333.10,333.60,3010850
1-Jun-16,339.20,339.85,332.40,334.90,2714679
31-May-16,343.90,347.00,338.80,339.10,5809382
27-May-16,342.30,342.96,340.50,342.80,2335005
26-May-16,342.80,343.10,339.70,341.90,2595780
25-May-16,341.40,343.90,340.80,342.60,2787121
24-May-16,327.20,340.20,325.60,338.60,5298123
23-May-16,331.20,334.30,327.50,327.90,4387581
20-May-16,331.60,334.88,329.30,331.50,4313567
19-May-16,331.40,333.40,327.40,328.90,3435381
18-May-16,319.20,333.30,317.70,333.30,5764846
17-May-16,319.70,323.80,317.40,320.10,2480671
16-May-16,317.20,319.40,315.10,319.30,1841322
13-May-16,313.60,318.10,309.58,318.10,2865304
12-May-16,317.40,319.90,313.90,314.90,3006838
11-May-16,321.70,322.20,316.90,319.30,2470230
10-May-16,322.50,324.70,320.20,322.00,3296920
9-May-16,320.90,323.98,319.05,320.80,3538166
6-May-16,317.50,320.20,315.60,318.70,3719974
5-May-16,316.20,321.90,314.90,318.80,4325808
4-May-16,318.30,322.40,314.50,314.70,3499956
3-May-16,326.80,327.50,318.30,319.90,4799442
29-Apr-16,329.10,331.00,326.10,326.10,3929216
28-Apr-16,329.80,331.80,327.60,331.80,4540483
27-Apr-16,331.90,333.90,328.50,332.40,4188987
26-Apr-16,335.50,336.53,333.10,333.10,2469853
25-Apr-16,338.90,339.50,332.90,334.70,2782754
22-Apr-16,340.70,342.70,337.10,338.40,2554978
21-Apr-16,345.80,347.50,340.90,342.70,2563893
20-Apr-16,338.80,346.20,338.10,345.50,3369956
19-Apr-16,340.90,342.60,339.20,339.60,3615988
18-Apr-16,336.40,340.84,333.80,339.80,2978469
15-Apr-16,346.90,348.04,339.10,339.60,4030568
14-Apr-16,348.30,351.85,344.80,346.70,5017930
13-Apr-16,351.50,362.23,349.70,359.30,5460556
12-Apr-16,345.20,348.10,341.20,346.60,4087741
11-Apr-16,338.90,347.20,336.90,344.10,2930328
8-Apr-16,335.40,343.70,335.20,339.90,3244568
7-Apr-16,340.70,342.40,332.20,334.70,4953787
6-Apr-16,336.90,341.00,333.00,340.40,3387179
5-Apr-16,346.70,347.25,335.00,335.70,4368028
4-Apr-16,350.20,353.30,348.50,349.20,2131525
1-Apr-16,351.90,354.04,348.10,351.50,3367110
31-Mar-16,356.10,357.80,352.40,356.10,2800741
30-Mar-16,352.70,358.40,352.70,357.10,2740603
29-Mar-16,351.50,357.00,348.06,351.00,2152544
24-Mar-16,357.10,357.73,348.80,348.80,2644759
23-Mar-16,359.30,361.53,357.50,359.80,2066396
22-Mar-16,368.70,368.74,357.72,360.10,4240415
21-Mar-16,368.00,374.30,366.50,369.30,1626869
18-Mar-16,367.10,372.60,366.00,369.80,5305229
17-Mar-16,369.80,370.80,360.60,367.20,2894229
16-Mar-16,364.00,371.20,359.80,367.80,4106521
15-Mar-16,360.90,365.90,359.10,362.70,4095936
14-Mar-16,364.40,369.50,359.40,362.10,3196420
11-Mar-16,358.00,364.50,356.68,364.40,3682416
10-Mar-16,355.20,368.30,352.80,352.80,6848448
9-Mar-16,355.60,360.32,353.40,355.10,2529368
8-Mar-16,354.10,357.50,351.80,353.70,2395904
7-Mar-16,349.20,361.90,348.90,356.70,4907319
4-Mar-16,347.50,352.66,347.26,351.90,3402146
3-Mar-16,343.10,349.40,341.98,348.00,3521728
2-Mar-16,339.70,343.20,338.10,341.90,3546637
1-Mar-16,332.60,339.70,331.80,338.50,2956618
29-Feb-16,330.00,334.40,328.00,333.80,3488236
26-Feb-16,328.70,333.80,328.40,332.80,3618695
25-Feb-16,320.20,328.50,319.40,325.90,3525410
24-Feb-16,327.10,329.70,314.90,317.10,5011778
23-Feb-16,333.90,335.80,327.60,327.60,5976937
22-Feb-16,339.60,343.20,333.50,337.70,4684966
19-Feb-16,338.90,352.00,333.30,336.80,7738079
18-Feb-16,347.00,350.00,336.60,338.50,6455621
17-Feb-16,342.80,350.30,341.00,346.30,8623041
16-Feb-16,346.50,347.40,339.90,341.60,3569147
15-Feb-16,339.20,346.30,339.20,342.40,2834800
12-Feb-16,327.20,335.40,327.10,333.40,6133489
11-Feb-16,343.40,343.45,324.70,324.70,5919158
10-Feb-16,340.50,349.90,337.20,344.80,4258900
9-Feb-16,344.90,348.90,334.80,337.40,3060902
8-Feb-16,355.70,361.30,343.20,344.90,4585854
5-Feb-16,355.50,360.70,351.40,353.50,4012358
4-Feb-16,349.90,356.70,345.80,354.75,5090454
3-Feb-16,349.70,353.60,341.40,344.50,5416851
2-Feb-16,361.50,361.50,348.50,350.80,4506817
1-Feb-16,366.10,367.40,356.70,363.20,4683197
29-Jan-16,358.60,363.50,356.80,363.50,7066965
28-Jan-16,357.60,363.30,352.60,354.70,3647129
27-Jan-16,357.40,359.60,352.30,359.60,2980486
26-Jan-16,353.20,359.60,349.60,357.90,2725313
25-Jan-16,366.70,367.89,356.50,358.40,2708977
22-Jan-16,369.00,369.30,361.80,363.90,3607459
21-Jan-16,351.70,361.80,349.20,361.80,4883828
20-Jan-16,356.80,358.90,345.80,350.30,4620574
19-Jan-16,365.00,369.37,363.10,364.60,2243619
18-Jan-16,359.60,366.93,357.44,359.70,3631983
