Date,Open,High,Low,Close,Volume
29-Nov-16,155.90,165.74,155.29,162.00,3643814
28-Nov-16,154.30,157.10,149.10,157.10,4084340
25-Nov-16,156.00,157.06,152.40,156.00,1543685
24-Nov-16,158.20,158.20,152.90,155.40,1611506
23-Nov-16,168.00,168.20,161.70,162.00,2387403
22-Nov-16,170.40,173.07,159.30,164.00,4312237
21-Nov-16,181.60,181.60,170.50,171.00,2944778
18-Nov-16,184.60,188.00,179.20,180.00,2226304
17-Nov-16,188.80,191.06,182.85,185.00,1763786
16-Nov-16,191.70,192.83,186.90,189.50,1902978
15-Nov-16,200.60,207.63,182.70,190.00,3799656
14-Nov-16,200.90,203.30,198.79,201.10,921207
11-Nov-16,200.20,201.98,199.10,200.00,1096224
10-Nov-16,202.50,203.23,198.40,201.10,1618378
9-Nov-16,197.00,203.00,194.51,201.50,866379
8-Nov-16,200.60,202.32,199.70,201.30,1045593
7-Nov-16,205.20,205.60,198.80,201.40,1231984
4-Nov-16,205.80,206.10,200.30,202.30,1170836
3-Nov-16,202.10,207.40,201.50,205.20,1425720
2-Nov-16,199.70,203.20,199.10,201.40,1044099
1-Nov-16,205.60,208.70,199.80,200.10,1752854
31-Oct-16,205.50,209.00,202.90,203.60,1471269
28-Oct-16,204.10,208.37,201.90,206.90,1351972
27-Oct-16,205.60,207.60,200.70,204.00,1149553
26-Oct-16,208.80,209.10,203.00,205.00,1353480
25-Oct-16,203.00,210.20,203.00,206.90,1474798
24-Oct-16,208.60,210.19,203.60,203.90,803401
21-Oct-16,208.80,209.70,206.60,208.40,615197
20-Oct-16,206.90,210.00,203.80,206.90,1602620
19-Oct-16,211.70,211.70,206.60,207.60,1177915
18-Oct-16,213.60,214.00,210.30,211.00,1403898
17-Oct-16,216.00,217.00,211.70,212.50,723829
14-Oct-16,214.20,217.02,212.30,216.20,726414
13-Oct-16,217.60,217.60,210.80,212.90,785718
12-Oct-16,219.60,220.90,215.80,216.30,1229086
11-Oct-16,214.40,221.30,214.40,219.10,1500276
10-Oct-16,214.70,217.00,210.70,216.50,1275787
7-Oct-16,211.30,215.80,207.20,215.80,1935030
6-Oct-16,211.00,212.01,205.54,211.50,2007566
5-Oct-16,209.00,212.70,207.40,210.30,1446247
4-Oct-16,206.30,212.50,205.40,209.40,2160315
3-Oct-16,205.40,205.60,200.10,205.00,1490122
30-Sep-16,197.60,203.40,193.00,202.00,1546996
29-Sep-16,198.70,200.30,194.30,200.00,1133662
28-Sep-16,198.00,199.50,194.60,196.00,1207707
27-Sep-16,203.90,203.90,196.50,197.50,985627
26-Sep-16,206.20,208.20,199.20,201.70,1054738
23-Sep-16,205.90,207.80,203.90,205.40,1057751
22-Sep-16,206.10,208.80,203.90,207.00,933512
21-Sep-16,208.00,210.00,201.20,206.00,1816938
20-Sep-16,198.60,208.90,197.50,204.20,2511991
19-Sep-16,200.00,200.48,194.93,197.00,983717
16-Sep-16,192.60,200.00,189.70,198.10,10542802
15-Sep-16,191.30,193.80,186.10,191.30,1998933
14-Sep-16,198.60,200.79,191.82,192.20,1638620
13-Sep-16,202.40,203.30,196.80,197.50,1894177
12-Sep-16,200.80,204.85,199.20,200.40,1402627
9-Sep-16,210.20,210.87,202.89,204.00,1448397
8-Sep-16,203.10,210.00,203.10,210.00,1663771
7-Sep-16,198.10,202.10,197.10,201.89,1834536
6-Sep-16,199.20,203.17,198.00,199.20,1169818
5-Sep-16,202.70,205.00,195.70,199.60,1730498
2-Sep-16,204.70,207.78,200.87,203.10,2491303
1-Sep-16,209.70,213.10,207.73,210.00,771564
31-Aug-16,211.00,214.21,209.10,211.00,1442976
30-Aug-16,217.00,218.60,212.20,212.30,1030581
26-Aug-16,213.20,218.40,213.20,216.30,609682
25-Aug-16,218.70,219.60,215.50,217.00,604168
24-Aug-16,218.00,220.65,215.60,219.60,659835
23-Aug-16,222.90,222.90,216.70,217.70,488131
22-Aug-16,219.90,221.30,213.30,218.40,454743
