Date,Open,High,Low,Close,Volume
29-Nov-16,869.00,876.50,849.00,860.00,573950
28-Nov-16,869.00,884.50,851.00,868.00,350761
25-Nov-16,881.50,886.00,868.00,883.00,439584
24-Nov-16,880.00,884.42,855.50,871.50,424327
23-Nov-16,870.00,879.84,841.00,875.50,551964
22-Nov-16,820.00,869.50,820.00,852.50,592449
21-Nov-16,816.50,833.00,802.50,803.50,556477
18-Nov-16,809.50,809.50,787.50,805.00,803975
17-Nov-16,805.50,830.50,797.88,810.00,924924
16-Nov-16,793.00,818.00,781.00,801.50,697776
15-Nov-16,799.00,801.87,751.50,760.00,727053
14-Nov-16,832.50,870.02,813.50,814.00,743819
11-Nov-16,863.50,878.50,812.50,821.50,924464
10-Nov-16,791.50,904.50,789.78,867.00,1091436
9-Nov-16,723.50,781.00,718.75,781.00,534229
8-Nov-16,753.00,753.97,731.97,742.50,431607
7-Nov-16,731.50,753.10,727.25,745.50,341024
4-Nov-16,745.00,745.88,709.00,714.50,545068
3-Nov-16,753.50,758.00,738.50,742.00,478957
2-Nov-16,730.00,755.50,723.50,750.50,407117
1-Nov-16,719.00,754.00,717.15,741.00,415114
31-Oct-16,706.50,717.50,697.36,713.50,304119
28-Oct-16,703.50,716.89,694.00,712.50,236123
27-Oct-16,699.50,719.78,677.02,713.00,367748
26-Oct-16,710.00,710.00,691.50,697.50,570958
25-Oct-16,685.50,715.56,685.50,705.00,469389
24-Oct-16,686.00,695.50,676.50,681.50,551930
21-Oct-16,668.50,682.00,659.00,679.50,579796
20-Oct-16,665.50,667.96,652.50,661.00,390191
19-Oct-16,653.00,664.50,643.45,660.00,435134
18-Oct-16,645.50,663.00,636.50,650.00,597979
17-Oct-16,635.00,655.52,635.00,637.00,488719
14-Oct-16,628.50,649.00,626.50,635.00,680751
13-Oct-16,639.00,650.50,610.90,614.50,914718
12-Oct-16,641.50,654.00,633.50,651.00,293019
11-Oct-16,662.00,662.96,637.50,642.00,461137
10-Oct-16,627.50,663.60,621.74,658.00,483945
7-Oct-16,615.00,641.00,615.00,632.00,521201
6-Oct-16,621.50,624.24,606.00,614.50,468706
5-Oct-16,600.00,619.50,598.00,617.50,409762
4-Oct-16,605.00,623.50,587.45,605.50,582922
3-Oct-16,586.50,604.04,585.00,603.50,448326
30-Sep-16,581.50,597.10,578.21,583.00,461516
29-Sep-16,575.00,608.00,573.58,591.50,1065570
28-Sep-16,564.00,569.00,556.50,565.00,376118
27-Sep-16,560.50,562.70,542.50,556.00,428425
26-Sep-16,555.50,563.00,543.50,560.50,259004
23-Sep-16,568.00,568.00,527.00,555.00,517247
22-Sep-16,525.50,559.50,525.50,554.50,697439
21-Sep-16,514.00,526.00,510.00,518.00,365201
20-Sep-16,511.00,523.00,504.50,509.00,389950
19-Sep-16,501.50,528.50,501.26,522.00,375896
16-Sep-16,502.00,509.00,494.20,495.30,421923
15-Sep-16,490.10,502.00,489.60,500.50,211879
14-Sep-16,501.50,511.50,493.10,500.50,323586
13-Sep-16,499.00,515.00,490.90,501.00,396054
12-Sep-16,495.60,504.96,476.30,499.10,497028
9-Sep-16,525.50,532.50,501.00,506.50,323253
8-Sep-16,517.00,531.50,513.00,526.50,345457
7-Sep-16,499.80,529.50,494.70,518.00,366681
6-Sep-16,505.00,509.00,494.30,502.00,342420
5-Sep-16,504.00,518.00,499.91,506.50,316661
2-Sep-16,497.50,508.50,485.90,499.30,322853
1-Sep-16,493.40,496.70,483.02,489.40,289041
31-Aug-16,507.50,511.00,488.49,493.00,321306
30-Aug-16,527.50,527.50,509.50,510.50,275759
26-Aug-16,513.50,533.50,513.50,527.50,251051
25-Aug-16,523.00,528.00,518.00,523.50,282654
24-Aug-16,534.00,537.00,521.00,534.00,555619
23-Aug-16,528.00,541.00,528.00,537.50,223035
22-Aug-16,543.50,543.50,516.50,530.50,362138
19-Aug-16,551.00,556.00,541.50,550.00,287779
18-Aug-16,540.00,549.50,540.00,546.00,164954
17-Aug-16,550.00,550.00,528.50,535.50,217225
16-Aug-16,532.00,554.50,524.68,546.50,477911
15-Aug-16,532.00,545.28,530.00,531.00,250050
12-Aug-16,551.50,563.00,541.00,542.00,237902
11-Aug-16,540.50,552.50,531.50,551.00,366958
10-Aug-16,535.50,548.50,531.00,538.00,255195
9-Aug-16,541.00,545.50,528.00,544.50,388466
8-Aug-16,530.50,556.00,530.50,536.00,332013
5-Aug-16,537.50,555.46,529.00,542.00,429167
4-Aug-16,532.50,542.00,517.00,532.50,509119
3-Aug-16,548.50,548.50,524.00,535.00,314950
2-Aug-16,535.00,551.00,535.00,543.00,332871
1-Aug-16,559.00,574.00,535.00,543.00,486745
29-Jul-16,555.00,574.50,554.36,573.50,442764
28-Jul-16,567.50,576.00,556.00,566.50,454996
27-Jul-16,554.00,565.82,550.50,562.50,340265
26-Jul-16,541.50,547.00,529.50,546.50,314240
25-Jul-16,556.00,563.10,531.00,537.00,340365
22-Jul-16,526.50,554.00,502.13,549.00,763531
21-Jul-16,499.40,527.50,498.70,520.00,314409
20-Jul-16,522.00,525.00,493.10,500.50,558475
19-Jul-16,518.00,523.00,508.00,516.50,281086
18-Jul-16,525.50,541.00,512.50,523.50,374165
15-Jul-16,531.00,531.00,506.50,523.50,343414
14-Jul-16,542.00,547.76,511.00,530.50,534740
13-Jul-16,520.50,544.95,506.49,529.00,585636
12-Jul-16,496.00,530.00,496.00,525.50,719254
11-Jul-16,481.00,502.00,481.00,496.30,409193
8-Jul-16,468.90,483.34,460.39,472.20,424967
7-Jul-16,446.30,483.90,446.30,456.80,577879
6-Jul-16,436.00,460.70,435.20,454.70,469673
5-Jul-16,440.00,443.45,422.10,425.00,343901
4-Jul-16,441.20,447.00,427.96,445.20,306564
1-Jul-16,422.40,432.70,402.40,432.70,358418
30-Jun-16,390.20,416.70,386.50,416.70,474656
29-Jun-16,395.40,402.50,391.50,399.90,410840
28-Jun-16,405.00,408.42,384.40,394.70,420346
27-Jun-16,415.00,427.90,381.00,393.00,555593
24-Jun-16,419.70,421.50,385.03,418.10,897446
23-Jun-16,433.10,436.30,420.30,431.40,212181
22-Jun-16,435.60,437.43,410.46,423.40,347436
21-Jun-16,422.00,433.05,417.60,425.70,443693
20-Jun-16,424.50,429.60,373.14,420.40,396111
17-Jun-16,384.80,424.00,382.20,411.60,2323023
16-Jun-16,381.00,389.00,371.70,384.10,343152
15-Jun-16,375.40,393.10,375.36,389.50,265837
14-Jun-16,380.20,394.10,372.10,373.00,299835
13-Jun-16,392.00,393.70,375.00,385.10,271872
10-Jun-16,405.50,410.90,387.50,400.00,298077
9-Jun-16,420.60,424.10,401.50,403.40,369705
3-Jun-16,381.00,381.00,370.30,375.00,228580
2-Jun-16,370.90,380.40,366.60,372.80,362474
1-Jun-16,373.90,379.60,366.10,375.00,382504
31-May-16,387.10,387.10,370.30,376.50,308497
27-May-16,379.00,384.50,370.00,380.30,263883
26-May-16,376.70,390.10,372.20,372.30,491612
25-May-16,370.50,382.50,362.60,380.50,313291
24-May-16,366.90,375.24,360.80,369.30,222502
23-May-16,385.50,389.67,364.10,372.00,352309
20-May-16,377.70,387.80,373.20,379.50,303319
19-May-16,383.80,383.80,365.80,377.60,336508
18-May-16,388.80,391.70,380.13,390.00,889610
17-May-16,390.00,394.70,375.80,391.40,414816
16-May-16,361.20,391.00,361.20,381.70,357407
13-May-16,354.10,375.90,341.50,368.50,505289
12-May-16,390.10,390.10,342.70,345.00,487497
11-May-16,371.00,388.10,365.80,380.00,393983
10-May-16,361.90,374.00,351.01,373.00,199802
9-May-16,386.80,386.80,351.67,359.00,506276
6-May-16,389.80,389.80,368.50,387.20,306873
5-May-16,372.90,392.80,367.20,386.50,312974
4-May-16,389.80,393.44,365.30,375.00,664408
3-May-16,425.00,427.30,386.00,396.00,362583
29-Apr-16,425.80,425.99,411.00,421.90,436642
28-Apr-16,411.90,427.40,410.04,427.40,331276
27-Apr-16,406.50,416.06,405.80,415.50,237776
26-Apr-16,409.70,419.00,398.80,408.40,225848
25-Apr-16,434.20,435.00,402.78,409.70,240040
22-Apr-16,428.80,433.50,420.24,426.90,215865
21-Apr-16,432.40,449.15,424.70,435.20,378794
20-Apr-16,405.50,428.00,385.62,428.00,543714
19-Apr-16,387.40,405.17,386.07,402.00,476228
18-Apr-16,380.40,387.20,357.24,387.10,234272
15-Apr-16,389.60,391.78,376.32,388.20,244844
14-Apr-16,387.30,397.37,380.00,388.90,492919
13-Apr-16,380.60,393.40,377.36,393.40,618553
12-Apr-16,362.00,380.79,360.40,377.40,572533
11-Apr-16,345.00,364.35,345.00,359.00,1248994
8-Apr-16,340.20,353.00,340.20,351.50,424430
7-Apr-16,334.90,346.10,334.90,344.00,489731
6-Apr-16,335.50,343.00,324.83,332.10,317603
5-Apr-16,335.10,335.63,323.90,331.20,366377
4-Apr-16,342.60,347.00,331.98,341.00,576955
1-Apr-16,338.10,348.70,336.87,340.60,485332
31-Mar-16,332.40,343.00,322.20,343.00,767750
30-Mar-16,317.20,334.13,316.37,333.70,712616
29-Mar-16,325.60,326.87,303.40,313.00,433827
24-Mar-16,315.90,326.30,303.66,321.40,344398
23-Mar-16,328.20,340.30,315.60,320.00,534380
22-Mar-16,320.90,333.50,314.87,325.60,569095
21-Mar-16,312.60,326.00,302.63,322.50,726657
18-Mar-16,320.00,338.20,310.00,310.00,4486463
17-Mar-16,313.30,327.74,302.00,319.30,746486
16-Mar-16,320.20,335.70,292.00,298.80,493963
15-Mar-16,327.60,327.60,301.10,305.00,328744
14-Mar-16,340.00,344.85,320.20,328.50,315428
11-Mar-16,323.60,335.30,313.99,335.30,308454
10-Mar-16,322.20,332.10,308.10,313.50,382389
9-Mar-16,331.10,341.86,311.60,315.00,662621
8-Mar-16,385.20,386.14,324.72,332.70,650850
7-Mar-16,377.50,389.28,350.68,381.20,672514
4-Mar-16,360.40,371.40,352.13,368.60,530762
3-Mar-16,311.50,390.20,311.50,352.60,828235
2-Mar-16,277.50,313.00,270.72,312.20,418949
1-Mar-16,279.60,284.12,266.70,277.00,376991
29-Feb-16,248.30,277.60,248.30,276.10,605663
26-Feb-16,243.90,260.90,243.84,253.30,318151
25-Feb-16,241.90,262.20,240.20,242.60,316589
24-Feb-16,260.00,260.00,236.10,241.90,218126
23-Feb-16,270.00,273.92,257.35,258.00,347321
22-Feb-16,250.40,270.10,250.40,268.50,584660
19-Feb-16,258.80,266.32,248.90,250.30,434235
18-Feb-16,266.90,277.17,256.98,263.30,402495
17-Feb-16,240.90,273.70,239.00,269.30,721416
16-Feb-16,240.10,248.60,227.23,241.10,685994
15-Feb-16,234.90,245.00,229.50,239.10,488995
12-Feb-16,210.20,230.00,210.20,229.60,640215
11-Feb-16,208.40,215.20,195.16,208.90,566151
10-Feb-16,221.50,223.58,202.90,212.90,562340
9-Feb-16,238.80,240.40,212.20,217.50,910221
8-Feb-16,247.60,253.71,236.40,244.00,487109
5-Feb-16,228.00,247.54,225.00,244.00,576487
4-Feb-16,216.40,236.26,210.70,230.90,814420
3-Feb-16,217.70,223.29,207.30,211.40,723833
2-Feb-16,229.90,235.54,210.82,220.90,427342
1-Feb-16,242.40,246.40,226.70,233.80,569105
29-Jan-16,240.00,258.91,234.47,244.10,704021
28-Jan-16,218.00,241.00,216.53,235.80,773885
27-Jan-16,212.90,215.17,198.50,213.40,502029
26-Jan-16,208.00,212.00,198.40,207.00,1021185
25-Jan-16,218.00,218.00,207.30,208.30,428663
22-Jan-16,222.00,230.47,209.10,212.70,788489
21-Jan-16,209.60,219.02,204.50,213.40,584885
20-Jan-16,208.20,218.00,200.00,212.80,492406
19-Jan-16,209.50,222.80,207.94,214.40,472748
18-Jan-16,222.10,224.70,200.70,205.80,857640
15-Jan-16,236.50,243.22,219.90,225.30,657649
14-Jan-16,218.60,243.90,211.00,241.00,841178
13-Jan-16,233.50,250.40,217.00,223.40,946483
12-Jan-16,210.00,240.20,209.81,234.00,1560016
11-Jan-16,223.60,228.00,207.60,207.60,576550
8-Jan-16,243.60,252.86,225.30,226.50,602438
7-Jan-16,255.50,258.32,235.30,239.60,692149
6-Jan-16,276.50,276.50,258.30,260.20,549945
5-Jan-16,278.00,291.42,270.60,275.00,478230
4-Jan-16,268.40,281.70,260.50,272.20,598150
31-Dec-15,277.50,277.50,266.10,275.20,54209
30-Dec-15,276.60,277.32,266.90,271.70,293512
29-Dec-15,280.90,284.20,269.50,276.10,453381
24-Dec-15,280.70,291.90,278.50,284.00,126924
23-Dec-15,278.80,290.80,278.20,281.60,510251
22-Dec-15,262.20,277.62,262.00,274.60,363922
21-Dec-15,262.10,280.05,260.90,263.00,439689
18-Dec-15,265.70,269.70,258.00,266.30,576421
16-Dec-15,285.50,290.20,271.36,277.20,805147
15-Dec-15,279.90,294.10,276.99,288.50,362503
14-Dec-15,286.30,292.10,274.20,276.30,433035
11-Dec-15,310.90,318.25,282.76,289.90,620110
10-Dec-15,327.20,332.00,304.30,311.30,449366
9-Dec-15,331.00,335.60,308.93,320.00,647176
8-Dec-15,331.40,350.00,317.57,323.10,794395
7-Dec-15,366.60,366.60,334.49,334.50,480527
4-Dec-15,362.70,379.57,345.70,359.70,656539
3-Dec-15,370.70,381.80,362.20,367.80,402111
2-Dec-15,376.50,382.70,367.70,374.00,439634
