Date,Open,High,Low,Close,Volume
29-Nov-16,235795.33,236900.00,235320.00,236391.00,249
28-Nov-16,236659.00,237660.00,235370.00,235400.00,249
25-Nov-16,237150.00,237635.00,236510.00,237085.00,155
23-Nov-16,238250.00,238250.00,236070.00,237070.00,284
22-Nov-16,238589.99,238589.99,236740.00,237801.00,341
21-Nov-16,236340.01,238050.00,236160.00,237500.00,379
18-Nov-16,237240.00,237685.65,236000.00,236391.00,455
17-Nov-16,234910.00,237893.29,234470.00,237550.00,374
16-Nov-16,235101.00,236320.00,234130.00,235470.00,444
15-Nov-16,236300.00,236370.00,234000.00,236000.00,665
14-Nov-16,236150.00,237153.29,234930.00,236650.00,865
11-Nov-16,233310.00,235870.00,232770.50,234860.00,430
10-Nov-16,227499.00,234910.00,227499.00,233750.00,1403
9-Nov-16,218930.00,227368.29,218500.00,227134.98,1107
8-Nov-16,220425.00,222150.00,219650.00,221484.80,551
7-Nov-16,216850.00,220720.00,216600.00,220303.00,936
4-Nov-16,214960.00,215680.00,213680.00,214545.00,469
3-Nov-16,214860.00,216630.00,214860.00,215001.00,330
2-Nov-16,214640.00,215700.00,214640.00,214900.00,592
1-Nov-16,216798.00,217090.00,214835.15,215370.00,669
31-Oct-16,215900.02,217000.00,215700.00,215700.00,298
28-Oct-16,217010.00,217810.00,214470.00,216200.00,293
27-Oct-16,216400.00,217110.00,215860.00,216820.00,427
26-Oct-16,214900.00,216660.00,214710.00,215840.00,480
25-Oct-16,215347.00,216190.00,214880.00,215249.96,307
24-Oct-16,216440.00,217260.00,215500.00,215500.00,194
21-Oct-16,215400.00,215940.00,214259.00,215600.00,247
20-Oct-16,217014.00,218000.00,216340.00,216975.00,153
19-Oct-16,216700.00,218500.00,216700.00,217350.00,216
18-Oct-16,216599.90,217480.00,216200.00,216300.00,203
17-Oct-16,216899.99,216899.99,215100.00,216225.00,123
14-Oct-16,215620.33,217280.00,215620.33,216370.00,201
13-Oct-16,216100.00,216100.00,213030.00,214660.00,618
12-Oct-16,216351.00,217800.00,216300.00,217230.00,125
11-Oct-16,217599.00,217599.00,215372.69,215920.00,228
10-Oct-16,217530.00,218470.00,217500.00,217730.00,109
7-Oct-16,215890.00,217370.00,215780.00,216640.00,300
6-Oct-16,215970.00,215970.00,214945.00,215860.00,195
5-Oct-16,215458.99,216400.00,215010.00,216300.00,143
4-Oct-16,215960.00,216210.00,214270.00,214519.73,188
3-Oct-16,216000.00,216380.00,214820.00,215700.00,256
30-Sep-16,216620.00,218049.00,216220.00,216220.00,291
29-Sep-16,217790.00,218200.00,215208.19,215300.00,292
28-Sep-16,217700.00,217930.00,216070.00,217695.00,251
27-Sep-16,216160.00,218030.00,216120.00,217960.00,327
26-Sep-16,217000.05,217350.00,216080.00,216160.00,241
23-Sep-16,219440.00,219530.00,217432.00,217750.00,214
22-Sep-16,219900.00,220500.00,219250.00,219999.90,313
21-Sep-16,218939.38,219680.00,217500.00,219440.00,450
20-Sep-16,218859.99,218970.00,217250.50,217870.00,172
19-Sep-16,218379.00,219210.00,217360.00,218000.00,320
16-Sep-16,218380.01,218530.00,216810.00,218400.00,685
15-Sep-16,218700.00,220564.48,218434.45,220339.00,214
14-Sep-16,219040.00,220310.00,218079.99,218609.99,279
13-Sep-16,221900.00,221900.00,218000.00,219150.00,529
12-Sep-16,219640.00,224000.00,219000.00,223520.00,271
9-Sep-16,224100.00,224210.50,219870.00,220109.99,330
8-Sep-16,224499.99,225100.00,224055.00,224740.00,264
7-Sep-16,225510.00,225659.50,224080.00,224230.00,183
6-Sep-16,226340.00,226340.00,224000.00,225849.00,192
2-Sep-16,225970.00,226490.00,225040.00,226050.00,99
1-Sep-16,225680.00,226440.00,223240.00,225350.01,212
31-Aug-16,225280.00,226145.00,223040.00,225760.00,228
30-Aug-16,224040.00,225330.00,224040.00,224850.00,219
29-Aug-16,222800.00,224450.00,222800.00,223400.05,365
26-Aug-16,222930.00,223630.00,220890.00,222040.00,493
25-Aug-16,222699.80,223060.00,222250.00,222999.00,375
24-Aug-16,223000.01,223201.00,222270.00,222824.00,147
23-Aug-16,223020.00,223870.00,222850.50,223500.00,230
22-Aug-16,222750.00,223050.01,221970.00,222446.00,100
19-Aug-16,223000.00,223220.00,221900.00,223040.00,280
18-Aug-16,223850.00,224000.00,222855.00,223200.00,347
17-Aug-16,220920.00,223960.00,220920.00,223889.98,362
16-Aug-16,221605.00,221995.00,220805.00,220805.00,481
15-Aug-16,221523.00,221995.00,220750.00,221995.00,255
12-Aug-16,220630.00,221750.00,220630.00,221750.00,281
11-Aug-16,220495.00,222030.00,220000.00,221890.00,564
10-Aug-16,220740.00,221039.99,219260.00,220000.00,450
9-Aug-16,218500.00,221140.00,218310.00,220605.05,774
8-Aug-16,218000.00,218500.00,216460.00,218300.00,449
5-Aug-16,215970.00,218150.00,215800.00,218010.00,571
4-Aug-16,215610.00,215620.00,214400.00,214830.00,116
3-Aug-16,215735.00,215735.00,214620.00,215300.00,151
2-Aug-16,215350.00,215630.00,214520.00,214900.00,173
1-Aug-16,216540.00,216790.00,215430.00,215960.00,84
29-Jul-16,215800.00,216750.00,215710.00,216000.00,129
28-Jul-16,216000.00,217011.00,215250.00,216660.00,86
27-Jul-16,216220.00,217100.00,215670.00,216300.00,91
26-Jul-16,216640.00,217190.00,215901.00,216400.00,118
25-Jul-16,217600.00,217600.00,215430.00,216005.00,89
22-Jul-16,216760.00,217157.50,215920.00,216805.00,154
21-Jul-16,218900.00,219043.72,216315.00,216315.00,250
20-Jul-16,220003.00,220270.00,218590.00,219187.00,156
19-Jul-16,219060.00,220360.00,218900.00,220265.00,506
18-Jul-16,219000.00,220000.00,219000.00,219900.00,367
15-Jul-16,219280.00,219400.00,217660.00,218990.00,125
14-Jul-16,219250.00,219940.00,218280.01,218590.50,259
13-Jul-16,216975.00,218950.00,216690.00,218950.00,324
12-Jul-16,216140.00,217500.00,216070.00,217050.00,242
11-Jul-16,216405.00,216405.00,215200.00,215824.00,174
8-Jul-16,214590.00,215550.00,214035.00,214720.00,242
7-Jul-16,214036.12,214450.00,211900.00,212501.00,295
6-Jul-16,212010.00,213950.00,211500.00,213620.00,240
5-Jul-16,214710.00,215270.00,212650.00,212960.00,191
1-Jul-16,216421.00,217209.99,215600.00,216298.00,232
30-Jun-16,213399.90,217030.00,213220.01,216975.00,581
29-Jun-16,212100.00,213080.00,210000.00,212645.00,432
28-Jun-16,209504.98,210500.00,207650.00,210400.00,347
27-Jun-16,208860.00,208860.00,205074.00,208000.00,444
24-Jun-16,210505.00,212730.00,209500.00,209852.00,895
23-Jun-16,217021.00,218850.00,216983.21,218850.00,428
22-Jun-16,215420.00,216940.00,215420.00,216266.00,205
21-Jun-16,213140.00,215420.00,212830.00,215420.00,281
20-Jun-16,213200.00,214396.00,212500.00,212630.00,199
17-Jun-16,212350.00,212350.00,210650.50,211200.00,277
16-Jun-16,210100.00,213000.00,208609.50,213000.00,333
15-Jun-16,212405.00,213210.00,210050.00,210050.00,268
14-Jun-16,211240.00,212250.00,210880.00,212070.00,467
13-Jun-16,212299.98,213925.00,211450.00,211450.00,222
10-Jun-16,211800.01,213460.00,211800.01,212622.00,124
9-Jun-16,213286.50,213650.00,211810.00,213210.00,111
8-Jun-16,212620.00,214000.00,212620.00,213500.00,106
7-Jun-16,213200.01,213662.12,212180.00,212210.00,151
6-Jun-16,212205.00,213710.00,212205.00,212880.00,253
3-Jun-16,211700.00,212239.60,210210.00,211615.00,201
2-Jun-16,212147.60,213060.00,211570.00,212355.00,170
1-Jun-16,211100.00,213090.00,210702.70,212360.00,225
31-May-16,215900.00,216070.00,211695.00,211695.00,253
27-May-16,215379.99,215379.99,214290.00,214303.00,187
26-May-16,215750.00,215970.00,214360.00,214600.00,153
25-May-16,215650.00,217300.00,215565.00,216185.00,250
24-May-16,213080.00,216090.00,213000.01,215650.00,324
23-May-16,213050.00,213050.00,211650.00,212210.00,186
20-May-16,211810.00,213680.00,211810.00,212833.00,259
19-May-16,211250.00,212070.01,209600.00,211179.99,254
18-May-16,210155.00,212700.00,209940.00,212200.00,174
17-May-16,212780.00,212780.00,209865.00,210695.00,318
16-May-16,211905.00,213150.00,211905.00,212530.00,298
13-May-16,214550.00,215200.00,211749.99,212140.00,269
12-May-16,214900.00,215570.00,213435.00,214860.00,161
11-May-16,217100.00,217205.00,214210.50,214468.00,158
10-May-16,214700.00,217280.00,214700.00,216975.00,277
9-May-16,216580.00,216580.00,212950.00,214430.00,206
6-May-16,215390.00,217245.00,215135.00,216999.99,181
5-May-16,216515.00,217200.00,215230.00,215880.00,174
4-May-16,215755.00,216550.00,215103.00,216515.00,178
3-May-16,219799.98,219799.98,216300.00,217354.00,251
2-May-16,219180.00,220640.00,218730.00,220252.50,207
29-Apr-16,218679.00,219750.00,216860.00,219000.00,211
28-Apr-16,219870.00,221030.23,218661.00,219120.00,236
27-Apr-16,220329.90,221985.00,219979.99,221430.00,193
