Date,Open,High,Low,Close,Volume
29-Nov-16,788.38,796.44,785.34,789.44,1561981
28-Nov-16,778.35,799.74,778.10,785.79,2575432
25-Nov-16,782.61,782.90,778.19,780.23,613549
23-Nov-16,789.52,789.52,772.65,779.00,1312981
22-Nov-16,788.99,793.77,783.74,785.00,1394174
21-Nov-16,778.10,786.55,776.30,784.80,1630835
18-Nov-16,787.17,791.29,775.35,775.97,1806264
17-Nov-16,782.50,788.90,779.85,786.16,1533679
16-Nov-16,770.42,783.50,766.33,779.98,1798360
15-Nov-16,765.47,780.24,765.22,775.16,2943889
14-Nov-16,771.76,771.78,743.59,753.22,3688274
11-Nov-16,776.81,777.29,765.54,771.75,3592641
10-Nov-16,810.00,810.06,768.23,780.29,5909609
9-Nov-16,801.83,811.71,792.04,805.59,3098510
8-Nov-16,802.03,816.04,799.62,811.98,1769069
7-Nov-16,794.95,805.00,792.90,802.03,1992570
4-Nov-16,771.30,788.48,771.00,781.10,1970603
3-Nov-16,784.50,790.00,778.63,782.19,2175216
2-Nov-16,806.76,806.76,785.00,788.42,2350736
1-Nov-16,810.87,813.96,798.26,805.48,2355890
31-Oct-16,822.43,822.63,808.00,809.90,2242679
28-Oct-16,829.94,839.00,817.00,819.56,4354884
27-Oct-16,823.01,826.58,814.61,817.35,2973486
26-Oct-16,827.12,827.71,816.35,822.10,1794868
25-Oct-16,838.50,838.50,825.30,828.55,1890712
24-Oct-16,830.09,837.94,829.04,835.74,1447616
21-Oct-16,820.00,824.29,818.31,824.06,1615814
20-Oct-16,827.56,828.46,820.55,821.63,1393870
19-Oct-16,824.52,829.81,823.20,827.09,1500142
18-Oct-16,814.21,828.81,813.33,821.49,2289265
17-Oct-16,805.99,813.49,803.83,806.84,1056367
14-Oct-16,807.45,810.09,802.32,804.60,1111934
13-Oct-16,806.07,806.56,798.62,804.08,1368981
12-Oct-16,811.96,814.50,808.55,811.77,907876
11-Oct-16,814.17,819.86,807.37,809.57,1721575
10-Oct-16,803.93,817.38,802.24,814.17,1496115
7-Oct-16,805.93,805.94,796.82,800.71,1163899
6-Oct-16,804.08,806.94,800.51,803.08,1099909
5-Oct-16,806.00,808.50,800.71,801.23,1213820
4-Oct-16,805.00,806.50,799.67,802.79,1258706
3-Oct-16,802.55,803.54,796.23,800.38,1489212
30-Sep-16,803.60,808.09,801.50,804.06,1660201
29-Sep-16,807.23,813.91,800.86,802.64,1349974
28-Sep-16,804.08,810.25,802.78,810.06,1470280
27-Sep-16,801.83,813.49,801.83,810.73,1367271
26-Sep-16,809.82,810.08,800.45,802.65,1472732
23-Sep-16,815.14,817.00,812.73,814.96,1411673
22-Sep-16,810.00,819.06,807.71,815.95,1759290
21-Sep-16,801.26,805.91,796.03,805.03,1348476
20-Sep-16,800.00,802.75,798.26,799.78,1050041
19-Sep-16,801.11,803.99,793.56,795.39,1149522
16-Sep-16,799.02,799.02,793.62,797.97,2130571
15-Sep-16,790.01,803.64,788.66,801.23,1566360
14-Sep-16,787.53,796.33,787.53,790.46,1313912
13-Sep-16,794.01,795.79,784.33,788.72,1809044
12-Sep-16,784.52,800.17,783.50,798.82,1863737
9-Sep-16,798.77,801.75,788.05,788.48,1887633
8-Sep-16,805.22,808.42,801.01,802.84,1177660
7-Sep-16,807.93,810.60,803.72,807.99,1145724
6-Sep-16,798.39,810.89,795.43,808.02,1989537
2-Sep-16,795.27,797.10,793.26,796.87,1347368
1-Sep-16,791.98,792.89,786.33,791.40,1303460
31-Aug-16,789.60,791.57,787.20,789.85,1071420
30-Aug-16,792.88,798.00,789.47,791.92,1167413
29-Aug-16,793.05,798.52,790.32,795.82,773698
26-Aug-16,792.49,799.40,789.41,793.22,1248881
25-Aug-16,792.00,794.72,787.23,791.30,1202680
24-Aug-16,796.86,798.46,790.76,793.60,1284437
