Date,Open,High,Low,Close,Volume
29-Nov-16,112.95,113.41,112.16,112.48,7799649
28-Nov-16,113.79,114.12,113.05,113.13,9065730
25-Nov-16,113.60,114.23,113.38,114.13,3433340
23-Nov-16,112.25,113.43,111.56,113.07,8467037
22-Nov-16,114.59,115.00,112.27,112.74,11649748
21-Nov-16,115.44,115.68,114.80,115.00,5843313
18-Nov-16,115.79,115.92,114.81,115.36,7717773
17-Nov-16,116.68,116.68,116.12,116.57,5702591
16-Nov-16,116.65,116.78,116.08,116.36,6594838
15-Nov-16,116.40,116.69,115.82,116.32,7446670
14-Nov-16,118.58,118.99,116.50,116.60,10054905
11-Nov-16,119.49,119.49,118.13,118.47,8134783
10-Nov-16,120.77,121.10,119.02,119.54,11905170
9-Nov-16,120.00,122.50,118.10,120.31,16219977
8-Nov-16,116.48,117.57,116.47,117.05,6675268
7-Nov-16,115.89,116.72,115.84,116.66,6398177
4-Nov-16,115.04,115.94,115.04,115.11,7160570
3-Nov-16,114.88,115.44,114.75,115.03,6227110
2-Nov-16,115.52,115.76,114.83,114.86,6591318
1-Nov-16,114.76,115.94,114.63,115.34,7591930
31-Oct-16,115.28,116.23,114.50,115.99,8552528
28-Oct-16,115.82,115.91,114.57,115.33,8813324
27-Oct-16,114.98,116.55,114.79,115.70,7548667
26-Oct-16,113.64,115.22,113.60,114.56,6429241
25-Oct-16,113.64,114.16,113.09,113.96,5594989
24-Oct-16,113.93,114.19,113.44,113.61,6141858
21-Oct-16,114.11,114.24,112.99,113.44,8422032
20-Oct-16,114.83,115.70,114.59,114.87,6973009
19-Oct-16,115.57,115.89,114.46,114.59,7400937
18-Oct-16,117.38,118.48,115.16,115.41,12598255
17-Oct-16,117.50,118.55,117.50,118.49,6956374
14-Oct-16,118.50,118.80,117.56,117.56,5640519
13-Oct-16,117.54,119.20,117.28,118.26,7387365
12-Oct-16,117.96,118.43,117.50,117.97,4686022
11-Oct-16,119.41,119.63,117.06,117.64,6394159
10-Oct-16,119.51,120.20,119.35,119.80,3657049
7-Oct-16,119.17,119.56,118.69,119.24,4799292
