Date,Open,High,Low,Close,Volume
29-Nov-16,31.85,31.97,31.61,31.92,21642215
28-Nov-16,31.69,31.84,31.50,31.54,17735150
25-Nov-16,31.60,31.74,31.55,31.69,10452948
23-Nov-16,31.18,31.45,30.63,31.42,21270415
22-Nov-16,31.93,31.99,31.05,31.33,26434849
21-Nov-16,31.51,31.69,31.49,31.57,21872759
18-Nov-16,31.95,31.95,31.44,31.48,24156427
17-Nov-16,32.01,32.12,31.68,31.73,26073099
16-Nov-16,32.20,32.33,31.93,31.96,22641562
15-Nov-16,32.76,32.76,31.88,32.23,29614279
14-Nov-16,32.85,32.90,32.13,32.38,30568352
11-Nov-16,33.22,33.34,32.19,32.59,35803589
10-Nov-16,33.32,33.83,32.85,33.49,67275205
9-Nov-16,33.01,33.37,31.50,32.12,118753768
8-Nov-16,30.13,30.45,29.96,30.00,35451303
7-Nov-16,30.23,30.44,30.08,30.38,30877493
4-Nov-16,29.91,30.37,29.90,30.00,35028231
3-Nov-16,30.70,30.70,29.83,29.89,36329216
2-Nov-16,30.99,31.04,30.36,30.63,36084519
1-Nov-16,30.94,31.72,30.75,31.07,54350118
31-Oct-16,32.04,32.04,31.61,31.71,35949424
28-Oct-16,32.52,32.56,31.88,31.93,28508651
27-Oct-16,32.58,32.81,32.37,32.48,18253037
26-Oct-16,32.28,32.60,32.15,32.40,17102660
25-Oct-16,32.02,32.37,31.98,32.28,19336056
24-Oct-16,32.30,32.36,32.05,32.13,19586374
21-Oct-16,32.42,32.45,32.18,32.18,18834961
20-Oct-16,32.49,32.74,32.49,32.54,19292363
19-Oct-16,32.75,32.84,32.49,32.60,16363791
18-Oct-16,32.74,32.87,32.61,32.69,14823626
17-Oct-16,32.58,32.71,32.48,32.50,16923468
14-Oct-16,32.73,32.90,32.66,32.66,15569339
13-Oct-16,32.57,32.90,32.52,32.76,24182290
12-Oct-16,33.14,33.24,32.94,33.07,15138764
11-Oct-16,33.56,33.57,32.94,33.13,17332125
10-Oct-16,33.65,33.84,33.57,33.61,16383660
7-Oct-16,33.70,34.00,33.42,33.56,14819706
6-Oct-16,33.78,33.80,33.47,33.65,15948590
5-Oct-16,33.73,33.98,33.68,33.90,13945331
4-Oct-16,33.61,33.90,33.51,33.72,20901129
3-Oct-16,33.73,33.73,33.38,33.68,17895999
30-Sep-16,33.44,34.02,33.40,33.87,28593974
29-Sep-16,33.94,34.07,33.30,33.32,25043991
28-Sep-16,33.85,34.00,33.69,33.99,14307758
27-Sep-16,33.78,33.88,33.48,33.83,15610585
26-Sep-16,33.92,34.01,33.42,33.64,29525632
23-Sep-16,34.16,34.37,34.01,34.26,12937101
22-Sep-16,34.33,34.43,34.07,34.15,16737398
21-Sep-16,33.90,34.33,33.74,34.28,15557394
20-Sep-16,33.84,33.94,33.60,33.81,14113245
19-Sep-16,33.99,34.03,33.59,33.65,17542252
16-Sep-16,34.19,34.22,33.83,33.94,25615509
15-Sep-16,33.89,34.33,33.55,34.14,20852944
14-Sep-16,34.12,34.35,33.86,33.94,18904147
13-Sep-16,34.44,34.44,33.85,34.04,20757597
12-Sep-16,34.00,34.73,33.94,34.65,19423820
9-Sep-16,34.55,34.59,34.09,34.10,22386204
8-Sep-16,34.71,34.81,34.62,34.72,18231711
7-Sep-16,34.72,34.89,34.68,34.84,14815540
6-Sep-16,34.88,34.99,34.75,34.77,16965863
2-Sep-16,34.78,34.84,34.61,34.77,14435849
1-Sep-16,34.73,34.94,34.61,34.68,15921155
31-Aug-16,34.86,34.94,34.61,34.80,20796612
30-Aug-16,35.11,35.18,34.85,34.88,14492181
29-Aug-16,34.94,35.17,34.82,35.11,15124885
26-Aug-16,34.80,35.10,34.66,34.82,18771960
25-Aug-16,34.76,35.19,34.66,34.77,18105382
24-Aug-16,35.23,35.38,34.76,34.82,22538088
23-Aug-16,35.00,35.27,34.91,35.09,16957910
22-Aug-16,34.80,35.28,34.76,34.84,26042442
19-Aug-16,35.06,35.12,34.82,34.98,19568121
18-Aug-16,35.14,35.36,34.99,35.19,16131301
17-Aug-16,34.75,35.15,34.75,35.14,17040893
16-Aug-16,34.94,35.08,34.77,34.79,15127343
15-Aug-16,35.05,35.17,34.93,35.11,12354034
12-Aug-16,35.08,35.11,34.75,34.98,15029166
11-Aug-16,35.13,35.28,35.10,35.15,13384075
10-Aug-16,35.17,35.18,34.91,35.13,14124597
9-Aug-16,34.99,35.30,34.90,35.08,17129391
8-Aug-16,35.28,35.28,34.71,34.93,30540494
5-Aug-16,35.36,35.53,35.22,35.44,27196405
4-Aug-16,35.50,35.52,35.15,35.15,25125802
3-Aug-16,35.91,35.95,35.06,35.29,42638656
2-Aug-16,36.76,36.82,36.13,36.39,33125741
1-Aug-16,37.02,37.39,36.98,37.31,28378613
29-Jul-16,36.68,36.95,36.65,36.89,21513828
28-Jul-16,36.88,36.91,36.50,36.67,16256954
27-Jul-16,36.75,36.92,36.65,36.85,15064000
26-Jul-16,36.83,36.87,36.65,36.83,12119508
25-Jul-16,36.80,36.84,36.51,36.78,12175764
22-Jul-16,36.80,36.84,36.68,36.74,13481509
21-Jul-16,36.67,36.82,36.52,36.71,13212689
20-Jul-16,36.90,36.93,36.68,36.68,12274287
19-Jul-16,36.67,36.87,36.55,36.64,16712509
18-Jul-16,36.69,36.99,36.55,36.64,16914164
15-Jul-16,36.97,37.19,36.63,36.77,25090491
14-Jul-16,36.49,36.96,36.25,36.92,27661388
13-Jul-16,36.28,36.43,36.21,36.31,13862889
12-Jul-16,36.15,36.30,36.03,36.24,16192018
11-Jul-16,36.07,36.35,36.03,36.15,16515071
8-Jul-16,35.88,36.19,35.70,36.12,17792142
7-Jul-16,35.79,35.93,35.56,35.77,18103472
6-Jul-16,35.82,35.90,35.38,35.86,25832015
5-Jul-16,35.54,35.92,35.45,35.81,20847146
1-Jul-16,35.15,35.65,35.12,35.57,19327637
30-Jun-16,35.14,35.27,34.94,35.21,26993796
29-Jun-16,34.62,35.15,34.57,35.01,24864130
28-Jun-16,34.15,34.47,33.92,34.44,23784246
27-Jun-16,33.80,33.98,33.53,33.80,29846683
24-Jun-16,33.80,34.45,33.74,33.97,44000223
23-Jun-16,34.70,34.74,34.30,34.59,23824757
22-Jun-16,34.74,34.95,34.41,34.47,25157102
21-Jun-16,34.51,34.88,34.51,34.75,25356674
20-Jun-16,34.48,34.70,34.18,34.50,22594776
17-Jun-16,34.78,34.81,34.06,34.22,33608565
16-Jun-16,34.68,34.79,34.42,34.75,22334530
