Date,Open,High,Low,Close,Volume
29-Nov-16,85.42,86.08,85.08,85.90,9181096
28-Nov-16,86.95,87.13,86.37,86.47,7449634
25-Nov-16,86.71,87.14,86.54,87.12,5043042
23-Nov-16,86.54,87.08,86.31,86.92,6061281
22-Nov-16,86.69,87.24,85.97,86.68,9390248
21-Nov-16,86.44,86.69,86.14,86.49,8861469
18-Nov-16,85.21,85.65,84.83,85.28,8457804
17-Nov-16,86.44,86.88,85.02,85.23,8200464
16-Nov-16,86.74,86.78,85.58,85.75,8201169
15-Nov-16,85.77,87.06,85.77,86.82,12883542
14-Nov-16,85.30,85.65,84.32,85.28,12607502
11-Nov-16,86.53,86.73,84.89,85.67,13812176
10-Nov-16,85.91,87.99,85.66,87.05,14106227
9-Nov-16,84.05,86.71,83.66,86.25,15901269
8-Nov-16,84.73,85.83,84.49,85.31,9735164
7-Nov-16,84.49,85.47,84.40,85.45,13576246
4-Nov-16,83.63,84.33,82.76,83.57,13877124
3-Nov-16,83.68,83.88,83.05,83.66,8836546
2-Nov-16,83.30,83.88,82.94,83.45,11226097
1-Nov-16,83.50,83.92,83.27,83.65,13050607
31-Oct-16,83.88,84.40,82.99,83.32,16663771
28-Oct-16,85.28,86.36,84.14,84.78,19072186
27-Oct-16,87.28,87.66,86.80,86.92,9071099
26-Oct-16,86.25,87.45,85.95,87.09,8488064
25-Oct-16,86.67,87.65,86.60,86.72,6835886
24-Oct-16,86.74,87.32,86.07,86.91,8354850
21-Oct-16,86.42,86.82,85.70,86.62,10736170
20-Oct-16,86.79,87.50,86.60,87.21,6866873
19-Oct-16,87.19,87.85,86.88,87.17,9373416
18-Oct-16,87.17,87.33,86.38,86.77,5429319
17-Oct-16,86.48,86.79,86.07,86.54,7263061
14-Oct-16,87.19,87.54,86.48,86.54,7991654
13-Oct-16,86.35,86.87,85.43,86.56,9890258
12-Oct-16,87.22,87.72,86.67,87.13,8172591
11-Oct-16,88.08,88.19,87.30,87.74,9309029
10-Oct-16,87.54,88.67,87.51,88.44,10060038
7-Oct-16,86.95,87.40,86.42,86.74,6614908
6-Oct-16,87.25,87.47,86.44,87.04,7718259
5-Oct-16,86.83,87.17,86.70,87.00,8796215
4-Oct-16,87.38,87.50,86.07,86.25,8222033
3-Oct-16,86.94,87.20,86.54,87.05,7111178
30-Sep-16,86.84,87.81,86.65,87.28,15961506
