Date,Open,Closing Price,Daily High,Daily Low,Volume (Pcs.)
11/29/16,716,716,721,712,4142000
11/28/16,710,715,717,708,6364000
11/25/16,730,712,737,711,10036000
11/24/16,737,727,739,726,5158000
11/22/16,731,733,733,727,3242000
11/21/16,725,728,729,723,3338000
11/18/16,722,722,724,720,4142000
11/17/16,713,713,717,709,3571000
11/16/16,725,719,725,716,3964000
11/15/16,723,720,725,715,2950000
11/14/16,715,720,725,711,3620000
11/11/16,720,708,725,706,7232000
11/10/16,714,715,718,705,5836000
11/09/16,712,671,713,664,6912000
11/08/16,706,711,712,702,3023000
11/07/16,703,708,710,701,3844000
11/04/16,692,693,695,682,5792000
11/02/16,696,698,706,691,5291000
11/01/16,726,707,727,701,6934000
10/31/16,728,735,735,724,3926000
10/28/16,730,730,733,716,8159000
10/27/16,730,728,733,720,4852000
10/26/16,723,725,726,712,4962000
10/25/16,716,722,730,716,6967000
10/24/16,702,714,715,701,5875000
10/21/16,700,695,702,693,6152000
10/20/16,691,701,702,690,6316000
10/19/16,687,689,690,680,4957000
10/18/16,675,684,689,673,4168000
10/17/16,664,674,674,663,3344000
10/14/16,666,663,668,656,3285000
10/13/16,663,661,667,658,3481000
10/12/16,657,661,665,656,2580000
10/11/16,665,665,670,661,2983000
10/07/16,666,664,668,658,4116000
10/06/16,667,667,670,665,3241000
10/05/16,667,664,670,662,2985000
10/04/16,659,666,668,655,4134000
10/03/16,659,654,661,652,3379000
09/30/16,646,650,656,641,4691000
09/29/16,668,665,669,655,5285000
09/28/16,656,664,666,654,4119000
09/27/16,638,661,661,637,5612000
09/26/16,650,644,652,642,2856000
09/23/16,658,652,658,645,2952000
09/21/16,639,659,659,636,4289000
09/20/16,630,646,652,624,5612000
09/16/16,644,639,649,637,6612000
09/15/16,650,650,662,647,5710000
09/14/16,646,652,657,641,3443000
09/13/16,658,653,661,650,3406000
09/12/16,649,651,654,646,3673000
09/09/16,643,655,659,641,5321000
09/08/16,649,643,653,637,4278000
09/07/16,641,654,659,639,6691000
09/06/16,633,641,644,632,4198000
09/05/16,644,632,647,630,3724000
09/02/16,642,632,642,630,4278000
09/01/16,652,645,652,641,3670000
08/31/16,645,658,660,644,6306000
08/30/16,636,634,640,633,3052000
08/29/16,630,641,645,629,4383000
08/26/16,625,622,628,618,4188000
08/25/16,620,626,628,617,3997000
08/24/16,617,623,624,617,2628000
08/23/16,619,611,619,606,3237000
08/22/16,622,621,622,615,1566000
08/19/16,623,621,627,619,2302000
08/18/16,618,617,623,613,3108000
08/17/16,607,623,625,606,2827000
08/16/16,624,606,627,606,5287000
08/15/16,621,621,628,619,2117000
08/12/16,635,621,635,615,5208000
08/10/16,625,629,634,624,4163000
08/09/16,626,628,630,621,3486000
08/08/16,617,627,627,616,4507000
08/05/16,610,608,615,607,4868000
08/04/16,592,600,602,585,6160000
08/03/16,602,592,606,591,8600000
08/02/16,603,610,618,599,10022000
08/01/16,587,587,589,577,3389000
07/29/16,590,597,601,585,5336000
07/28/16,595,595,599,588,11063000
07/27/16,590,600,604,589,6838000
07/26/16,589,577,590,573,5442000
07/25/16,596,592,600,587,5055000
07/22/16,594,601,604,593,4116000
07/21/16,606,601,607,595,5319000
07/20/16,601,600,602,592,6187000
07/19/16,599,605,606,593,7576000
07/15/16,613,587,613,577,11837000
07/14/16,539,557,559,539,6697000
07/13/16,551,546,555,544,6723000
07/12/16,528,531,541,526,9882000
07/11/16,510,518,523,507,11158000
07/08/16,518,490,519,487,25857000
07/07/16,544,534,545,533,5639000
07/06/16,541,540,543,531,6649000
07/05/16,554,551,556,549,4111000
07/04/16,550,552,554,539,4333000
07/01/16,557,557,559,549,3935000
06/30/16,562,552,562,551,6472000
06/29/16,546,550,552,541,5451000
06/28/16,539,536,541,520,8196000
06/27/16,562,556,565,552,6064000
06/24/16,620,557,621,553,12059000
06/23/16,602,612,612,598,3943000
06/22/16,602,604,605,598,658000
06/21/16,595,599,602,591,4336000
06/20/16,589,600,603,587,6169000
06/17/16,583,585,589,577,7160000
06/16/16,590,573,595,572,6064000
06/15/16,580,590,594,579,7021000
06/14/16,586,581,594,569,7918000
06/13/16,598,584,598,584,4498000
06/10/16,614,608,615,602,6600000
06/09/16,620,614,623,609,5002000
06/08/16,633,625,635,619,7444000
06/07/16,627,632,634,625,5483000
06/06/16,620,628,632,619,5772000
06/03/16,629,633,633,622,8072000
06/02/16,640,625,645,621,14371000
06/01/16,678,660,680,657,8314000
05/31/16,678,672,679,666,9517000
05/30/16,688,687,689,682,3144000
05/27/16,683,679,686,677,3773000
05/26/16,673,675,681,672,4906000
05/25/16,671,666,673,663,2395000
05/24/16,663,661,666,657,3542000
05/23/16,665,664,666,652,3472000
05/20/16,660,667,671,660,3771000
05/19/16,675,660,676,656,5193000
05/18/16,679,665,684,663,6153000
05/17/16,665,664,666,654,3430000
05/16/16,658,657,671,649,4429000
05/13/16,675,651,677,651,5884000
05/12/16,659,675,678,656,5457000
05/11/16,678,662,678,656,8265000
05/10/16,664,674,681,658,9432000
05/09/16,618,624,626,617,3726000
05/06/16,611,612,619,604,5259000
05/02/16,609,611,616,606,7131000
04/28/16,680,649,686,648,6388000
04/27/16,668,673,678,665,6523000
04/26/16,663,658,663,647,2962000
04/25/16,670,668,673,664,3935000
04/22/16,656,667,668,652,3231000
04/21/16,664,664,664,654,4629000
04/20/16,660,654,679,648,9574000
04/19/16,643,643,649,638,4548000
04/18/16,625,633,634,624,3587000
04/15/16,640,644,649,637,3906000
04/14/16,633,645,646,632,5656000
04/13/16,611,623,623,607,5371000
04/12/16,588,602,603,584,5228000
04/11/16,579,587,587,570,5750000
04/08/16,556,585,592,554,10859000
04/07/16,558,561,569,555,7926000
04/06/16,550,548,557,543,7857000
04/05/16,562,551,564,550,5946000
04/04/16,580,572,587,566,5446000
04/01/16,613,581,614,578,7378000
03/31/16,604,616,624,603,7020000
03/30/16,602,602,609,601,3397000
03/29/16,607,611,616,601,4612000
03/28/16,610,617,617,605,4863000
03/25/16,608,603,613,591,5400000
03/24/16,605,605,609,597,4641000
03/23/16,617,608,620,604,4039000
03/22/16,611,619,620,606,4823000
03/18/16,601,599,608,591,4220000
03/17/16,611,605,614,597,3705000
03/16/16,602,606,615,601,3439000
03/15/16,612,609,614,606,3401000
03/14/16,603,614,616,596,4236000
03/11/16,575,598,603,572,7027000
03/10/16,585,583,589,576,4731000
03/09/16,580,582,585,575,3825000
03/08/16,598,587,603,582,6364000
03/07/16,601,598,604,594,4356000
03/04/16,584,599,602,583,4499000
03/03/16,566,584,587,566,4638000
03/02/16,558,569,575,555,5495000
03/01/16,545,545,547,530,8821000
02/29/16,559,547,565,547,6456000
02/26/16,564,556,566,556,3875000
02/25/16,552,562,567,547,5045000
02/24/16,540,551,555,533,6109000
02/23/16,550,546,559,544,4907000
02/22/16,541,545,548,539,4624000
02/19/16,552,548,554,542,5405000
02/18/16,563,562,569,557,5835000
02/17/16,551,550,561,541,7379000
02/16/16,554,553,567,550,8388000
02/15/16,555,568,573,546,8733000
02/12/16,540,525,542,524,12818000
02/10/16,584,554,586,545,12211000
02/09/16,586,564,587,558,16201000
02/08/16,645,624,656,615,19326000
02/05/16,701,715,716,694,6918000
02/04/16,693,707,710,691,6279000
02/03/16,705,698,709,694,5720000
02/02/16,724,726,733,722,3888000
02/01/16,739,735,739,725,7160000
01/29/16,714,727,728,697,8685000
01/28/16,714,713,724,711,6872000
01/27/16,708,713,715,703,6480000
01/26/16,700,697,706,694,5824000
01/25/16,708,706,712,699,9282000
01/22/16,692,703,705,682,12551000
01/21/16,663,670,687,661,17770000
01/20/16,654,638,659,637,6830000
01/19/16,646,656,658,644,4226000
01/18/16,646,646,654,635,5758000
01/15/16,658,654,663,649,6290000
01/14/16,636,647,648,629,5585000
01/13/16,646,658,658,643,3404000
01/12/16,657,638,660,636,6071000
01/08/16,653,664,676,653,6917000
01/07/16,685,662,693,661,7268000
01/06/16,687,688,698,677,5907000
01/05/16,676,685,690,676,4160000
01/04/16,686,676,694,674,5239000
12/30/15,705,696,709,694,2943000
12/29/15,693,704,705,690,2775000
12/28/15,695,696,699,691,2804000
12/25/15,705,700,709,697,3560000
12/24/15,710,705,718,702,4378000
12/22/15,699,701,703,693,3154000
12/21/15,694,698,700,686,4452000
12/18/15,708,698,722,697,6506000
12/17/15,710,712,715,709,4801000
12/16/15,694,699,701,691,4341000
12/15/15,691,684,694,684,5093000
12/14/15,687,691,693,682,4971000
12/11/15,687,694,699,687,6403000
12/10/15,699,696,701,694,6270000
12/09/15,714,706,721,704,7102000
12/08/15,725,719,727,716,3623000
12/07/15,722,725,728,721,3356000
