Date,Open,Closing Price,Daily High,Daily Low,Volume (Pcs.)
11/29/16,657.8,655.4,663,652.6,8189000
11/28/16,655,657.6,658.3,651.2,8573000
11/25/16,656.6,654.8,664.2,648.1,15615000
11/24/16,663.8,659.8,666.3,655.5,11229000
11/22/16,653,653.8,654.9,645.7,8308000
11/21/16,656,654.1,659.5,648.7,9549000
11/18/16,665,651.5,668.3,651.5,13371000
11/17/16,655.1,659,660.8,652.3,12801000
11/16/16,656,655.1,662.9,652.1,11837000
11/15/16,650,648.3,651.3,639,15167000
11/14/16,631.4,630.5,640.4,627.2,9680000
11/11/16,640,625.3,642.9,623.9,16214000
11/10/16,624.5,631,634,618.1,20105000
11/09/16,619,577.5,619.9,571,16565000
11/08/16,616.9,608.8,620.1,607.2,8049000
11/07/16,615,611.6,615.6,602.4,10262000
11/04/16,597.1,598.3,604,589.3,11251000
11/02/16,605,604,610.5,601.5,12603000
11/01/16,614.2,617.9,619.2,611.8,11596000
10/31/16,603.4,623.1,627,601.3,23386000
10/28/16,599,608.4,611.3,586.5,34927000
10/27/16,565,599.3,604.7,558.8,42245000
10/26/16,559.4,555.8,559.5,551,15255000
10/25/16,568.2,565.9,572.4,564.5,6412000
10/24/16,569.1,563.7,570.9,559.3,9264000
10/21/16,568,573,576.6,566.3,10791000
10/20/16,557.3,561.8,564.6,554.4,17398000
10/19/16,571,563.7,577.1,563.3,14050000
10/18/16,572.8,574.9,579.5,570.4,9473000
10/17/16,563.7,572.8,573.1,561.7,15015000
10/14/16,563,563.5,577.6,562,22824000
10/13/16,551,551.4,559.3,546.2,9740000
10/12/16,548.3,553.3,555.6,546.9,10746000
10/11/16,560.1,558.3,568.2,557.1,12340000
10/07/16,566.9,570.1,571,554.9,18082000
10/06/16,566.5,568.7,584.7,566.5,29846000
10/05/16,545,538.2,545.8,535.5,9980000
10/04/16,545.3,544.5,554.3,542.6,8168000
10/03/16,547.4,541.7,555,541.3,8547000
09/30/16,543,540,543.5,535.1,13347000
09/29/16,542.9,550.3,554.3,541.4,10979000
09/28/16,535.2,537,538,529.1,10123000
09/27/16,530.7,540,540.4,524.5,13499000
09/26/16,536.2,539.5,543.8,535.5,11144000
09/23/16,543.6,539.4,547.7,533.4,15431000
09/21/16,536.4,547,553,531.9,19091000
09/20/16,520.5,536.2,538.9,519.3,14669000
09/16/16,528.2,524.8,529.5,520.9,11328000
09/15/16,520,526.6,527.7,518,11348000
09/14/16,524,522.4,527,520.6,11695000
09/13/16,531.2,528.1,537.4,527.1,9764000
09/12/16,535.1,528.1,541,524,15277000
09/09/16,529.9,533.2,537.4,526.9,13054000
09/08/16,534,529.1,535.8,520.5,14484000
09/07/16,520,532.2,532.8,515.1,13572000
09/06/16,537.6,536.3,548.8,534.4,14511000
09/05/16,535.7,535.6,545.1,532,10991000
09/02/16,521,528,529.6,518.1,10056000
09/01/16,528,527,530.7,522.1,15159000
08/31/16,520.7,525.2,527.9,517.5,12590000
08/30/16,502.1,515,516.2,502.1,9442000
08/29/16,515,507.8,516.4,501.5,16622000
08/26/16,504.8,502.8,507.2,501,7202000
08/25/16,509.2,506.1,511.2,504.5,10285000
08/24/16,510,507.1,520,506,12324000
08/23/16,508.7,507.7,512.9,503,14080000
08/22/16,510.2,517.1,522.5,506.7,16875000
08/19/16,495,512,517.3,493.1,29740000
08/18/16,469,468.6,472.6,464.1,14924000
08/17/16,458.7,471,474.1,458,15877000
08/16/16,451,461.2,466.5,450.7,16053000
08/15/16,443.3,448.3,449,442.3,7162000
08/12/16,446,448,449.2,444.2,8304000
08/10/16,440.4,439.5,443.9,434.6,7304000
08/09/16,442,448.4,448.9,433.8,8731000
08/08/16,442,439.5,442,435.4,5806000
08/05/16,428,427.2,432,425.2,7251000
08/04/16,405.3,428.5,431,405.3,10132000
08/03/16,407.7,409.3,414.7,406,9601000
08/02/16,430.2,421.1,436.9,421,10270000
08/01/16,425,433,434.3,422.4,9733000
07/29/16,420,433,434.5,406.2,21018000
07/28/16,399.2,400.3,401,393.8,7209000
07/27/16,404,402.8,407.8,396.7,8729000
07/26/16,392.8,391.5,396,387.1,8053000
07/25/16,397.3,395.6,402.5,394.2,9743000
07/22/16,397.1,395.5,400,392.6,11212000
07/21/16,407.8,405.1,413.1,402,11011000
07/20/16,400,401.6,402.7,397.6,5576000
07/19/16,404.3,405.6,405.7,394.5,8346000
07/15/16,393.4,396.3,400.8,390.2,12382000
07/14/16,390,390.3,393.2,384.7,7761000
07/13/16,400,390.4,402.3,389.4,11282000
07/12/16,377.5,382.6,387.6,376.9,11506000
