Date,Open,Closing Price,Daily High,Daily Low,Volume (Pcs.)
11/29/16,2625,2638,2645,2620,516900
11/28/16,2620,2642,2648,2613,474500
11/25/16,2620,2645,2657,2620,530800
11/24/16,2594,2611,2623,2589,494800
11/22/16,2574,2589,2599,2561,379200
11/21/16,2550,2583,2585,2538,653800
11/18/16,2528,2531,2538,2504,667400
11/17/16,2463,2499,2517,2463,590900
11/16/16,2471,2467,2481,2437,643000
11/15/16,2463,2454,2470,2448,503500
11/14/16,2508,2478,2513,2458,844300
11/11/16,2533,2471,2533,2466,896500
11/10/16,2500,2495,2514,2468,1166300
11/09/16,2493,2400,2544,2364,984700
11/08/16,2510,2477,2510,2463,510600
11/07/16,2501,2508,2515,2480,438100
11/04/16,2490,2478,2493,2462,623400
11/02/16,2551,2516,2551,2508,380100
11/01/16,2558,2556,2567,2536,522100
10/31/16,2589,2537,2590,2529,603300
10/28/16,2640,2603,2640,2589,596800
10/27/16,2603,2619,2640,2596,765400
10/26/16,2577,2603,2608,2566,536500
10/25/16,2572,2587,2599,2564,438300
10/24/16,2535,2563,2567,2531,481500
10/21/16,2511,2520,2531,2491,444300
10/20/16,2473,2511,2514,2468,340500
10/19/16,2436,2471,2472,2429,292400
10/18/16,2427,2443,2447,2411,226400
10/17/16,2433,2440,2446,2423,328400
10/14/16,2425,2434,2450,2421,530900
10/13/16,2479,2442,2490,2434,270900
10/12/16,2445,2462,2475,2445,299600
10/11/16,2456,2461,2476,2447,338500
10/07/16,2491,2452,2520,2443,622600
10/06/16,2520,2507,2535,2500,387800
10/05/16,2506,2504,2514,2490,301100
10/04/16,2523,2504,2523,2492,385700
10/03/16,2536,2530,2558,2514,343400
09/30/16,2550,2513,2550,2482,593200
09/29/16,2521,2557,2577,2521,520500
09/28/16,2580,2539,2581,2519,558200
09/27/16,2562,2636,2638,2550,895000
09/26/16,2642,2594,2664,2584,616500
09/23/16,2634,2650,2668,2608,609500
09/21/16,2576,2624,2634,2538,591500
09/20/16,2504,2562,2570,2502,393000
09/16/16,2514,2540,2540,2502,347500
09/15/16,2520,2492,2520,2478,447000
09/14/16,2508,2526,2542,2494,274500
09/13/16,2532,2522,2548,2502,271000
09/12/16,2514,2516,2522,2480,338500
09/09/16,2562,2538,2568,2524,647000
09/08/16,2586,2574,2612,2556,369500
09/07/16,2580,2598,2606,2568,466500
09/06/16,2552,2578,2588,2544,417000
09/05/16,2552,2538,2562,2530,498500
09/02/16,2536,2550,2570,2536,478500
09/01/16,2490,2520,2536,2484,371500
08/31/16,2474,2488,2494,2460,345000
08/30/16,2486,2454,2490,2446,357000
08/29/16,2498,2484,2516,2478,442000
08/26/16,2498,2466,2498,2430,622500
08/25/16,2492,2514,2526,2486,794500
08/24/16,2434,2482,2482,2430,379500
08/23/16,2392,2436,2456,2392,517500
08/22/16,2388,2416,2430,2372,434500
08/19/16,2434,2376,2436,2336,968000
08/18/16,2476,2454,2504,2454,544000
08/17/16,2484,2496,2504,2476,466000
08/16/16,2532,2500,2540,2500,540000
08/15/16,2522,2540,2550,2508,491000
08/12/16,2550,2530,2550,2502,611000
08/10/16,2556,2522,2566,2500,477000
08/09/16,2508,2534,2544,2506,400000
08/08/16,2510,2526,2530,2474,518500
08/05/16,2480,2484,2504,2462,583500
08/04/16,2566,2498,2570,2458,1047000
08/03/16,2644,2578,2652,2572,956500
08/02/16,2782,2704,2800,2702,653500
08/01/16,2786,2834,2838,2744,1384500
07/29/16,2620,2704,2706,2620,768000
07/28/16,2708,2660,2710,2644,505500
07/27/16,2746,2716,2776,2712,530500
07/26/16,2720,2710,2738,2688,523500
07/25/16,2756,2742,2780,2736,471000
07/22/16,2698,2714,2740,2690,370500
07/21/16,2778,2752,2778,2734,416500
07/20/16,2724,2754,2756,2714,338500
07/19/16,2720,2742,2750,2684,599500
07/15/16,2736,2668,2746,2656,685500
07/14/16,2724,2724,2734,2698,385000
07/13/16,2784,2704,2784,2694,502500
07/12/16,2720,2722,2752,2716,489500
07/11/16,2672,2682,2700,2650,479500
07/08/16,2676,2588,2678,2586,821000
07/07/16,2680,2678,2688,2666,620000
07/06/16,2662,2664,2670,2624,589000
07/05/16,2648,2666,2670,2630,423000
07/04/16,2632,2650,2650,2626,383000
07/01/16,2626,2630,2640,2590,527000
06/30/16,2648,2628,2656,2624,482000
06/29/16,2610,2618,2632,2562,666500
06/28/16,2508,2602,2614,2508,733000
06/27/16,2476,2590,2592,2466,809000
06/24/16,2672,2412,2672,2396,1066000
06/23/16,2686,2646,2692,2634,480500
06/22/16,2686,2672,2692,2668,73000
06/21/16,2676,2720,2724,2658,344500
06/20/16,2638,2672,2678,2632,613000
06/17/16,2664,2608,2678,2608,986000
06/16/16,2714,2642,2724,2638,533000
06/15/16,2706,2714,2732,2688,374500
06/14/16,2760,2716,2760,2702,471000
06/13/16,2802,2754,2806,2750,568000
06/10/16,2888,2856,2888,2844,802000
06/09/16,2906,2898,2922,2880,346000
06/08/16,2906,2914,2914,2874,560500
06/07/16,2920,2896,2930,2894,579000
06/06/16,2812,2922,2924,2792,739500
06/03/16,2778,2830,2832,2778,467500
06/02/16,2850,2788,2870,2778,656000
06/01/16,2932,2878,2932,2872,570500
05/31/16,2864,2976,2980,2856,1285000
05/30/16,2856,2860,2868,2838,485500
05/27/16,2882,2850,2884,2834,627000
05/26/16,2886,2904,2930,2882,614500
05/25/16,2864,2840,2878,2838,469500
05/24/16,2860,2836,2866,2828,578000
05/23/16,2856,2862,2868,2820,523000
05/20/16,2890,2878,2894,2862,431500
05/19/16,2860,2896,2908,2844,572000
05/18/16,2842,2866,2882,2838,389500
05/17/16,2848,2860,2868,2818,418000
05/16/16,2816,2818,2858,2802,371000
05/13/16,2888,2838,2896,2830,617500
05/12/16,2856,2852,2868,2828,450500
05/11/16,2946,2862,2954,2850,624500
05/10/16,2890,2912,2924,2876,604500
05/09/16,2902,2884,2910,2858,572000
05/06/16,2914,2880,2916,2854,829000
05/02/16,2966,2886,3026,2856,1133000
