Date,Open,Closing Price,Daily High,Daily Low,Volume (Pcs.)
11/29/16,504,512,513,504,4776000
11/28/16,499,509,510,497,5955000
11/25/16,510,509,518,507,10091000
11/24/16,507,509,509,504,6102000
11/22/16,500,503,503,498,5794000
11/21/16,502,499,505,495,7017000
11/18/16,495,495,499,492,8161000
11/17/16,494,487,495,480,11475000
11/16/16,501,495,501,493,5696000
11/15/16,495,494,502,492,6936000
11/14/16,484,494,495,480,7357000
11/11/16,492,483,493,482,13520000
11/10/16,481,484,486,477,10270000
11/09/16,483,449,488,442,17109000
11/08/16,481,481,486,478,9862000
11/07/16,478,481,486,475,9945000
11/04/16,466,470,472,461,11487000
11/02/16,485,468,486,463,19986000
11/01/16,515,493,525,485,25024000
10/31/16,526,518,526,515,9600000
10/28/16,531,531,532,525,10169000
10/27/16,528,525,531,521,4452000
10/26/16,521,531,532,520,5778000
10/25/16,517,517,522,515,6437000
10/24/16,507,515,517,506,4710000
10/21/16,510,508,512,506,6878000
10/20/16,515,506,519,504,10612000
10/19/16,518,508,521,507,8975000
10/18/16,499,515,519,498,12379000
10/17/16,494,491,498,486,8264000
10/14/16,495,491,498,490,5840000
10/13/16,504,498,508,496,6571000
10/12/16,506,502,509,502,5543000
10/11/16,506,513,519,506,7354000
10/07/16,508,505,511,503,6522000
10/06/16,504,505,506,500,5245000
10/05/16,506,501,515,498,9669000
10/04/16,494,505,505,490,8492000
10/03/16,483,486,489,479,5804000
09/30/16,482,477,484,473,7874000
09/29/16,494,494,500,492,6777000
09/28/16,497,494,500,488,5644000
09/27/16,483,501,501,478,20616000
09/26/16,474,467,476,465,3710000
09/23/16,478,478,481,473,4874000
09/21/16,466,477,478,460,6261000
09/20/16,459,466,471,458,5296000
09/16/16,463,462,467,460,6337000
09/15/16,453,459,462,453,6036000
09/14/16,459,455,462,454,4486000
09/13/16,459,461,466,454,5624000
09/12/16,462,459,464,458,4128000
09/09/16,469,470,473,467,5386000
09/08/16,480,467,482,466,6329000
09/07/16,470,478,479,465,7558000
09/06/16,471,472,477,471,5697000
09/05/16,481,472,482,472,6854000
09/02/16,479,475,479,470,8548000
09/01/16,493,481,494,476,15269000
08/31/16,495,495,498,493,7336000
08/30/16,496,494,497,492,5839000
08/29/16,492,498,505,492,9386000
08/26/16,478,478,483,476,5628000
08/25/16,475,477,481,473,4454000
08/24/16,480,480,487,480,5129000
08/23/16,488,478,493,473,12570000
08/22/16,478,483,487,473,12339000
08/19/16,460,470,477,459,11246000
08/18/16,448,447,450,444,6369000
08/17/16,442,453,454,440,6639000
08/16/16,450,440,454,440,6049000
08/15/16,447,447,450,445,3549000
08/12/16,451,451,453,447,9848000
08/10/16,438,439,442,437,4838000
08/09/16,440,446,447,439,5797000
08/08/16,435,437,439,427,8680000
08/05/16,433,429,434,425,7049000
08/04/16,424,435,440,419,11042000
08/03/16,417,416,427,413,8885000
08/02/16,424,423,439,417,13454000
08/01/16,428,431,432,421,6837000
07/29/16,439,440,441,429,13053000
07/28/16,433,441,449,433,13276000
07/27/16,426,441,447,423,24293000
07/26/16,398,390,399,387,5632000
07/25/16,404,400,408,400,4336000
07/22/16,403,404,407,400,4907000
07/21/16,407,411,414,404,7428000
07/20/16,407,397,408,391,10012000
07/19/16,392,399,399,388,7426000
07/15/16,386,392,397,386,7157000
07/14/16,384,389,392,382,9296000
07/13/16,390,382,396,381,14790000
07/12/16,370,376,383,367,11221000
