Date,Open,Closing Price,Daily High,Daily Low,Volume (Pcs.)
11/29/16,2221,2242,2246,2221,981000
11/28/16,2201,2220,2224,2186,834200
11/25/16,2194,2190,2198,2166,982900
11/24/16,2226,2199,2226,2187,1231900
11/22/16,2162,2176,2180,2153,625800
11/21/16,2157,2151,2173,2148,824600
11/18/16,2150,2146,2154,2108,1078500
11/17/16,2167,2164,2198,2155,1438700
11/16/16,2155,2169,2177,2132,1376300
11/15/16,2127,2130,2139,2091,1031400
11/14/16,2168,2127,2170,2117,985400
11/11/16,2211,2138,2211,2125,1476600
11/10/16,2319,2204,2333,2183,2016100
11/09/16,2347,2269,2369,2260,1057000
11/08/16,2368,2337,2368,2322,633400
11/07/16,2398,2365,2400,2336,639900
11/04/16,2383,2387,2415,2350,1101600
11/02/16,2340,2398,2445,2339,2352700
11/01/16,2296,2312,2407,2268,2027600
10/31/16,2280,2299,2312,2275,818400
10/28/16,2368,2309,2368,2276,1644300
10/27/16,2395,2351,2396,2348,808900
10/26/16,2339,2367,2376,2337,853700
10/25/16,2342,2326,2342,2313,664000
10/24/16,2299,2312,2323,2285,473500
10/21/16,2326,2285,2345,2265,1179200
10/20/16,2315,2326,2334,2306,577400
10/19/16,2324,2318,2333,2302,911700
10/18/16,2238,2308,2312,2236,1047700
10/17/16,2231,2238,2251,2211,617000
10/14/16,2225,2238,2253,2215,823800
10/13/16,2222,2222,2226,2192,548900
10/12/16,2231,2214,2240,2203,852000
10/11/16,2215,2232,2238,2184,866100
10/07/16,2215,2209,2231,2194,1319800
10/06/16,2222,2247,2256,2206,910300
10/05/16,2291,2249,2291,2237,970300
10/04/16,2308,2304,2310,2285,895500
10/03/16,2284,2318,2356,2280,886900
09/30/16,2291,2264,2298,2241,1542300
09/29/16,2312,2266,2322,2217,1389900
09/28/16,2344,2340,2369,2314,631700
09/27/16,2260,2340,2340,2252,1080000
09/26/16,2278,2314,2356,2256,1929500
09/23/16,2200,2194,2212,2178,604500
09/21/16,2138,2190,2224,2136,1351000
09/20/16,2060,2122,2130,2052,613500
09/16/16,2084,2104,2106,2080,766000
09/15/16,2114,2110,2144,2100,647000
09/14/16,2116,2116,2150,2108,729000
09/13/16,2082,2116,2120,2080,545000
09/12/16,2034,2070,2080,2030,397500
09/09/16,2066,2050,2096,2040,840500
09/08/16,2130,2098,2130,2082,454500
09/07/16,2102,2110,2128,2098,540000
09/06/16,2060,2094,2100,2060,436500
09/05/16,2040,2046,2050,2020,367500
09/02/16,2002,2032,2038,2000,879500
09/01/16,2040,2028,2048,2010,945500
08/31/16,2046,2050,2056,1976,1073000
08/30/16,2104,2056,2108,2046,677500
08/29/16,2140,2116,2158,2108,789500
08/26/16,2098,2104,2146,2082,1414000
08/25/16,2114,2104,2146,2094,1094500
08/24/16,2024,2108,2116,2024,1245500
08/23/16,1994,2038,2052,1994,823000
08/22/16,1950,1958,1964,1936,447000
08/19/16,1962,1930,1964,1908,744000
