Date,Open,Closing Price,Daily High,Daily Low,Volume (Pcs.)
11/29/16,347,346,350,344,8255000
11/28/16,348,349,351,344,9622000
11/25/16,352,350,360,346,18557000
11/24/16,350,350,353,348,10463000
11/22/16,347,349,350,343,9956000
11/21/16,347,345,352,344,12157000
11/18/16,346,350,355,345,20573000
11/17/16,345,342,346,341,12273000
11/16/16,345,346,349,343,14722000
11/15/16,347,342,352,342,15841000
11/14/16,344,348,351,340,18514000
11/11/16,328,348,358,327,67393000
11/10/16,318,317,322,311,40307000
11/09/16,296,286,297,278,28091000
11/08/16,297,295,298,294,14330000
11/07/16,299,301,305,299,10862000
11/04/16,292,296,298,291,11330000
11/02/16,297,295,301,294,11120000
11/01/16,300,301,302,297,6940000
10/31/16,302,301,303,298,10406000
10/28/16,302,303,307,302,11740000
10/27/16,305,304,308,301,16515000
10/26/16,313,309,320,304,54042000
10/25/16,286,282,289,282,10226000
10/24/16,278,284,284,278,8572000
10/21/16,278,276,280,276,7450000
10/20/16,274,278,278,273,10049000
10/19/16,275,276,277,274,6775000
10/18/16,275,278,279,272,7337000
10/17/16,275,278,281,275,5969000
10/14/16,274,281,281,273,9483000
10/13/16,286,275,286,274,15020000
10/12/16,286,283,288,283,8450000
10/11/16,287,290,293,286,6354000
10/07/16,290,285,291,281,9901000
10/06/16,289,290,293,288,6821000
10/05/16,290,288,290,286,5078000
10/04/16,283,288,290,282,7051000
10/03/16,293,283,293,282,10275000
09/30/16,293,289,294,286,11449000
09/29/16,294,298,300,293,8261000
09/28/16,288,290,292,288,8556000
09/27/16,288,293,293,285,9313000
09/26/16,299,293,303,292,8122000
09/23/16,299,300,302,297,5029000
09/21/16,292,301,301,289,8473000
09/20/16,289,292,296,288,8797000
09/16/16,302,295,303,293,8510000
09/15/16,293,301,303,292,8441000
09/14/16,295,296,297,293,6438000
09/13/16,302,299,305,297,4308000
09/12/16,301,300,303,297,9747000
09/09/16,304,305,308,302,6931000
09/08/16,307,303,309,302,7883000
09/07/16,313,308,318,306,13587000
09/06/16,304,313,315,304,14787000
09/05/16,309,305,310,304,6034000
09/02/16,309,306,309,303,7325000
09/01/16,314,311,314,309,8846000
08/31/16,311,314,316,307,13276000
08/30/16,310,311,315,309,10395000
08/29/16,303,310,313,303,16339000
08/26/16,287,295,298,285,12848000
08/25/16,288,285,289,282,11504000
08/24/16,295,292,298,291,7657000
08/23/16,296,289,298,288,8535000
08/22/16,292,297,299,291,7875000
08/19/16,295,292,295,284,9984000
08/18/16,290,289,296,288,14652000
08/17/16,279,287,288,279,8094000
08/16/16,286,282,294,282,10179000
08/15/16,289,284,291,284,6746000
08/12/16,295,293,295,289,8898000
08/10/16,278,292,298,276,26061000
08/09/16,278,280,282,277,10098000
08/08/16,276,284,286,274,11636000
08/05/16,277,272,277,271,6992000
08/04/16,273,276,277,267,11713000
08/03/16,276,273,279,272,12689000
08/02/16,287,284,292,283,9681000
08/01/16,289,289,294,282,12749000
07/29/16,293,297,297,288,15329000
07/28/16,297,292,297,291,7464000
07/27/16,293,297,301,291,19086000
07/26/16,292,291,294,288,15304000
07/25/16,285,293,293,284,13059000
07/22/16,286,284,290,282,11068000
07/21/16,290,292,293,284,18411000
07/20/16,289,286,291,283,9443000
07/19/16,287,292,292,285,15543000
07/15/16,285,280,287,278,12985000
07/14/16,270,279,281,270,16083000
07/13/16,273,274,277,269,19064000
07/12/16,273,265,273,262,14673000
07/11/16,254,262,265,254,13915000
07/08/16,243,248,251,243,13500000
07/07/16,250,245,251,245,8976000
07/06/16,243,247,248,241,13296000
07/05/16,247,249,249,245,6810000
07/04/16,243,251,253,243,10452000
07/01/16,243,243,244,234,17545000
06/30/16,240,241,247,239,13826000
06/29/16,237,236,239,234,10311000
06/28/16,229,230,233,225,9851000
06/27/16,230,236,237,230,7704000
06/24/16,253,230,258,223,19687000
06/23/16,246,249,251,244,8148000
06/22/16,246,250,251,244,3286000
06/21/16,250,246,251,242,13056000
06/20/16,250,251,252,246,9295000
06/17/16,247,245,251,242,13858000
06/16/16,256,243,256,241,16624000
06/15/16,249,254,258,245,17491000
06/14/16,255,252,259,251,8192000
06/13/16,255,257,259,254,7796000
06/10/16,267,266,269,264,10618000
06/09/16,277,271,277,269,8922000
06/08/16,278,277,279,273,5808000
06/07/16,276,277,281,276,8986000
06/06/16,270,274,275,267,5433000
06/03/16,275,277,278,274,10200000
06/02/16,280,273,281,272,13138000
06/01/16,289,283,290,281,17703000
05/31/16,295,292,296,289,15386000
05/30/16,284,298,301,284,20320000
05/27/16,274,281,281,272,10014000
05/26/16,270,272,275,267,14458000
05/25/16,272,276,278,267,16911000
05/24/16,268,265,272,265,14960000
05/23/16,271,270,274,264,16072000
05/20/16,271,277,278,267,14336000
05/19/16,284,271,285,271,15332000
05/18/16,287,285,291,284,11603000
05/17/16,293,292,296,289,8638000
05/16/16,298,294,303,292,9019000
05/13/16,279,299,302,279,19177000
05/12/16,280,279,282,278,8217000
05/11/16,293,282,293,280,8730000
05/10/16,279,286,288,278,10462000
05/09/16,278,279,283,277,5349000
05/06/16,280,274,284,272,14143000
05/02/16,279,280,285,277,12820000
04/28/16,305,292,307,290,20217000
04/27/16,299,305,308,299,11110000
04/26/16,307,299,308,295,12064000
04/25/16,312,309,314,308,8227000
04/22/16,304,311,312,304,9030000
04/21/16,308,306,308,301,11767000
04/20/16,308,300,309,300,10301000
04/19/16,305,302,307,296,14971000
04/18/16,293,302,315,292,27790000
04/15/16,294,294,297,292,10708000
04/14/16,289,295,298,287,19447000
04/13/16,275,282,282,274,10746000
04/12/16,267,270,272,265,15031000
04/11/16,259,268,270,255,11589000
04/08/16,246,261,265,245,10797000
04/07/16,250,252,258,250,9225000
04/06/16,243,248,250,243,10590000
04/05/16,250,246,254,244,8182000
04/04/16,249,253,255,242,11409000
04/01/16,259,250,260,249,8448000
03/31/16,258,259,265,258,11066000
03/30/16,256,255,259,253,10429000
03/29/16,256,261,262,255,10808000
03/28/16,266,264,269,261,9359000
03/25/16,266,264,268,262,12307000
03/24/16,269,266,270,260,20348000
03/23/16,279,272,279,269,16965000
